Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income
STANTON,Orange County,IN,10/15/2021,Adopted & Reviewed,7/8/2022,SCAG,https://letstalkstanton.com/10424/widgets/40250/documents/24697,http://www.hcd.ca.gov/community-development/housing-element/docs/oraStantonAdopted042622.pdf,8/30/2022,38186,"$57,598"
PALMDALE,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.palmdale2045.org/draft-housing-element,http://www.hcd.ca.gov/community-development/housing-element/docs/LanPalmdaleAdoptedOut051322.pdf,8/26/2022,152750,"$62,865"
RIVERSIDE COUNTY UNINCORPORATED,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://planning.rctlma.org/HE6/Info#PRD,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/RivRiversideCountyRevisedDraftOut082622.pdf,8/26/2022,,$0
BELL GARDENS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/27/2022,SCAG,https://www.bellgardens.org/home/showpublisheddocument/4752,http://www.hcd.ca.gov/community-development/housing-element/docs/lanBellGardensAdopted042222.pdf,8/18/2022,42072,"$42,223"
RANCHO MIRAGE,Riverside County,IN,10/15/2021,Adopted & Reviewed,7/28/2022,SCAG,https://1elrsd35mlri2z7zmm3qkz2t-wpengine.netdna-ssl.com/wp-content/uploads/2021/09/Rancho-Mirage-Housing-Element-Update-Draft-Web-Posting-9.3.21.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/RivRanchoMIrageDraftIn060122.pdf,8/17/2022,17218,"$78,682"
SIERRA MADRE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/28/2022,SCAG,https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Departments/Planning%20&%20Community%20Preservation%20Department/Housing%20Element/Draft%20Housing%20Element/Sierra%20Madre%20Preliminary%20Draft%202021_2029%20Housing%20Element_reduced.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanSierraMadreDraftOut052722.pdf,8/10/2022,10917,"$100,988"
SAN FERNANDO,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,6/10/2022,SCAG,https://ci.san-fernando.ca.us/wp-content/uploads/2021/10/DRAFT-San-Fernando-Housing-Element.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/lanSanFernandoAdoptIn080922.pdf,8/9/2022,23645,"$58,425"
BISHOP,Inyo County,IN,4/30/2021,Adopted & Reviewed,,HCD,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/inyBishopadoptedin080122.pdf,8/1/2022,3879,"$62,067"
ROSEMEAD,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofrosemead.org/UserFiles/Servers/Server_10034989/File/Gov/City%20Departments/Community%20Development/Planning/Housing%20Element/Rosemead%20HE%20PUBLIC%20REVIEW%20DRAFT%20with%20Appendices%209-2-21.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/lanRosemeadAdoptIn080122.pdf,8/1/2022,53764,"$57,999"
HOLTVILLE,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/ImpHoltvilleAdoptedIn072222.pdf,7/22/2022,5939,"$46,161"
CUDAHY,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/LanCudahyDraftOut072222.pdf,7/22/2022,23805,"$46,642"
SANTEE,San Diego County,OUT,4/15/2021,Adopted,,SANDAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/SdiSanteeAdoptedOut071222.pdf,7/12/2022,53413,"$87,098"
MONTEBELLO,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://planmontebello.com/wp-content/uploads/2021/09/Housing-Element-Draft.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/LanMontebelloAdoptedIn71122.pdf,7/11/2022,62500,"$56,150"
SANTA CLARITA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.santa-clarita.com/home/showpublisheddocument/20288,http://www.hcd.ca.gov/community-development/housing-element/docs/lanSantaClaritaAdoptedOUT070722.pdf,7/7/2022,176320,"$99,666"
TEMPLE CITY,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,http://www.ci.temple-city.ca.us/DocumentCenter/View/16480/Draft-Temple-City-Housing-Element-2021-2029,http://www.hcd.ca.gov/community-development/housing-element/docs/LanTempleCityDraftOut070122.pdf,7/1/2022,35558,"$78,516"
WALNUT,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityofwalnut.org/home/showpublisheddocument/17546/637680751589970000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanWalnutAdoptedOut070122.pdf,7/1/2022,29172,"$108,669"
LOS ANGELES,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,11/24/2021,SCAG,https://planning.lacity.org/plans-policies/housing-element-update#draft-plan,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLACityAdoptedIN062922.pdf,6/29/2022,3792621,"$62,142"
ROLLING HILLS ESTATES,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.ci.rolling-hills-estates.ca.us/home/showpublisheddocument/19390/637571101910200000, https://www.hcd.ca.gov/HousingElements/downloadFileServlet?id=1251http://rollinghillsestatesca.legistar.com/gateway.aspx?M=F&ID=d94aa55f-6045-4287-966c-b7217bcb813a.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/LanRollingHillsEstatesAdoptedOut062422.pdf,6/24/2022,8067,"$150,135"
EASTVALE,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://ehq-production-us-california.s3.us-west-1.amazonaws.com/c7ec8a0584c871d1ac39c168b6fb67a4b57c1272/original/1635543635/846892c8764c1394bc2f994534c67152_EASTVALE_2021-2029_Housing_Element_10.29.21.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIBJCUKKD4ZO4WUUA%2F20211103%2Fus-west-1%2Fs3%2Faws4_request&X-Amz-Date=20211103T152242Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=137065336b4acf299ec544f902dc640936c56bfe86dda4eeaaec7c0853b8349c,http://www.hcd.ca.gov/community-development/housing-element/docs/RivEastvaleAdoptedIn062122.pdf,6/21/2022,53670,"$119,213"
VERNON,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.hcd.ca.gov/housing-elements/docs/vernon-6th-draft031622.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/LanVernonDraftOut061522.pdf,6/15/2022,112,"$67,917"
MONTCLAIR,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.montclairplan.org/wp-content/uploads/2021/09/Montclair-2021-2029-PRD-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdMontclairDraft061022.pdf,6/10/2022,36664,"$62,024"
YUCCA VALLEY,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.yucca-valley.org/home/showpublisheddocument/5829/637624852947230000,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdYuccaValleyAdoptedIN061022.pdf,6/10/2022,20700,"$44,757"
WHEATLAND,Yuba County,OUT,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/yubWheatlandAdoptOut060722.pdf,6/7/2022,3456,"$75,066"
TWENTYNINE PALMS,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://app.box.com/s/xweqz8999vllxzs1xvsi6wm99f6ipmie,http://www.hcd.ca.gov/community-development/housing-element/docs/TwentyNinePalmsDraft2Out060722.pdf,6/7/2022,25048,"$44,226"
MURRIETA,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/RivMurriettaDraftOut060222.pdf,6/3/2022,103466,"$90,535"
HESPERIA,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.cityofhesperia.us/DocumentCenter/View/16120/Housing-Element-Staff-Report, https://www.cityofhesperia.us/DocumentCenter/View/16121/Draft-Housing-Element---April-2020",http://www.hcd.ca.gov/community-development/housing-element/docs/sbdHesperiaDraftOut060322.pdf,6/3/2022,90173,"$53,561"
LOS ANGELES COUNTY UNINCORPORATED,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,11/30/2021,SCAG,https://planning.lacounty.gov/housing/he,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLACountyAdopted052722IN.pdf,5/27/2022,,$0
APPLE VALLEY,San Bernardino County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.applevalley.org/home/showpublisheddocument/31147/637583928465230000,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdAppleValleyAdopt052722.pdf,5/27/2022,69135,"$54,527"
SANTA FE SPRINGS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.reimaginesantafesprings.org/files/managed/Document/120/PublicReview_SFS_DraftHousingElement.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/LanSantaFeSpringsAdoptedOut052422.pdf,5/24/2022,16223,"$68,685"
IRVINE,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://legacy.cityofirvine.org/civica/filebank/blobdload.asp?BlobID=33368, https://www.cityofirvine.org/housing-element-update",http://www.hcd.ca.gov/community-development/housing-element/docs/oraIrvineAdoptedIN052422.pdf,5/24/2022,212375,"$105,126"
PICO RIVERA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.pico-rivera.org/depts/ced/planning/housing_element/default.asp,http://www.hcd.ca.gov/community-development/housing-element/docs/LanPicoRiveraDraftOut052322.pdf,5/23/2022,62942,"$67,636"
LA HABRA,Orange County,OUT,10/15/2021,Adopted,,SCAG,https://www.lahabracity.com/DocumentCenter/View/11723/Draft-Housing-Element--7-29-21,http://www.hcd.ca.gov/community-development/housing-element/docs/oraLaHabraDraftOUT052322.pdf,5/23/2022,60239,"$79,325"
ARTESIA,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofartesia.us/DocumentCenter/View/5051/Artesia-6th-HE_2021-10-22_draft-HCD,http://www.hcd.ca.gov/community-development/housing-element/docs/LanArtesiaAdoptedOut052022.pdf,5/20/2022,16522,"$67,647"
AZUSA,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://oc-apa.org/city-of-azusa-housing-element-update-services-6th-cycle-2020-2029/, https://www.ci.azusa.ca.us/DocumentCenter/View/43933/City-of-Azusa-Housing-Element-6th-Cycle-2021-2029---Public-Review-Document",http://www.hcd.ca.gov/community-development/housing-element/docs/LanAzusaAdoptedOut052022.pdf,5/20/2022,46361,"$68,216"
PLACENTIA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.placentia.org/ArchiveCenter/ViewFile/Item/4574,http://www.hcd.ca.gov/community-development/housing-element/docs/oraPlacentiaAdoptedOUT051622.pdf,5/16/2022,50533,"$95,757"
ORLAND,Glenn County,OUT,11/30/2021,Adopted & Reviewed,,HCD,,http://www.hcd.ca.gov/community-development/housing-element/docs/gleOrlandAdoptedOUT051222.pdf,5/12/2022,7291,"$44,046"
GALT,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/SacGaltAdoptedIn051222.pdf,5/11/2022,23647,"$75,638"
WINTERS,Yolo County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/YolWintersAdoptedIn051122.pdf,5/11/2022,6624,"$87,050"
EL DORADO COUNTY - UNINCORPORATED TAHOE BASIN,El Dorado County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/eldElDoradoCountyAdoptedIN051022.pdf,5/10/2022,,$0
SACRAMENTO COUNTY UNINCORPORATED,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,"https://planning.saccounty.net/applicants/Documents/Combined%20Housing%20Element_07.02.2021.pdf, https://planning.saccounty.net/PlansandProjectsIn-Progress/Documents/2021-2029%20Housing%20Element%20No%20Appendices_Adopted%2007.27.2021.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/SacSacramentoCountyAdoptedIn050922.pdf,5/9/2022,,$0
YUBA CITY,Sutter County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/YubYubaCityAdoptedIn050522.pdf,5/5/2022,64925,"$56,816"
INGLEWOOD,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityofinglewood.org/DocumentCenter/View/16914/Inglewood-Housing-Element-20211124,http://www.hcd.ca.gov/community-development/housing-element/docs/lanInglewoodDraftOut042922.pdf,4/29/2022,109673,"$54,400"
CALABASAS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.cityofcalabasas.com/home/showpublisheddocument/21688, https://www.cityofcalabasas.com/home/showpublisheddocument/22199/637686101072670000",http://www.hcd.ca.gov/community-development/housing-element/docs/LanCalabasasAdoptedIn042522.pdf,4/25/2022,23058,"$125,814"
MONROVIA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityofmonrovia.org/home/showpublisheddocument/25934/637599804112770000,http://www.hcd.ca.gov/community-development/housing-element/docs/lanMonrovia3rdDraftOUT042522.pdf,4/25/2022,36590,"$77,111"
OCEANSIDE,San Diego County,OUT,4/15/2021,Draft Reviewed,,SANDAG,https://static1.squarespace.com/static/5e793179d41a22445c4efa55/t/606b46822de7a32d13fd48ac/1617643143577/Oceanside+2021-2029+Draft+Housing+Element+Update_PR.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/SdiOceansideAdoptedOut042222.pdf,4/22/2022,167086,"$72,697"
GLENDALE,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,2/22/2022,SCAG,https://4235fbe0-1093-4181-8070-c95b69c5a1f4.filesusr.com/ugd/81c7a2_f284aca6cc5b4434b92f872d2d6e6c79.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanGlendaleAdoptedOUT042222.pdf,4/22/2022,191719,"$66,130"
VENTURA,Ventura County,OUT,10/15/2021,Adopted & Reviewed,2/22/2022,SCAG,https://www.cityofventura.ca.gov/DocumentCenter/View/28459/13A,http://www.hcd.ca.gov/community-development/housing-element/docs/venVenturaAdoptedOUT042222.pdf,4/22/2022,106433,"$78,882"
JURUPA VALLEY,Riverside County,IN,10/15/2021,Adopted & Reviewed,2/22/2022,SCAG,https://www.jurupavalley.org/DocumentCenter/View/1856/JV-HE-Public-Review-Draft-for-website,http://www.hcd.ca.gov/community-development/housing-element/docs/RivJurupaValleyAdoptIn042122.pdf,4/21/2022,95004,"$70,642"
INDIO,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.indio.org/civica/filebank/blobdload.asp?BlobID=32236,http://www.hcd.ca.gov/community-development/housing-element/docs/RivIndioAdoptedIn042022.pdf,4/20/2022,76036,"$53,669"
CHINO,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,2/18/2022,SCAG,"https://www.cityofchino.org/UserFiles/Servers/Server_10382578/File/City%20Hall/Departments/Community%20Development/Housing/Housing%20Element/March%202%202021%20Housing%20Element%20Update%20Attachments.pdf, https://www.cityofchino.org/residents/housing/housing_element_update",http://www.hcd.ca.gov/community-development/housing-element/docs/sbdChinoAdopt041822.pdf,4/18/2022,77983,"$81,711"
HIGHLAND,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofhighland.org/DocumentCenter/View/1869/City-of-Highland-6th-Cycle-Draft-Housing-Element-PDF,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdHighlandAdoptedOUT041422.pdf,4/14/2022,53104,"$64,868"
PALOS VERDES ESTATES,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.pvestates.org/home/showdocument?id=15666&t=637594531086149863,http://www.hcd.ca.gov/community-development/housing-element/docs/LanPalosVerdesEstatesAdoptedOut041222.pdf,4/12/2022,13438,"$194,543"
SAN MARINO,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.cityofsanmarino.org/DRAFT%20San%20Marino%206th%20Cycle%20Housing%20Element%20Update.pdf, https://www.cityofsanmarino.org/REVISED%20Draft%20Housing%20Element%20July%2030%202021.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/lanSanMarinoAdoptedOUT041222.pdf,4/12/2022,13147,"$166,607"
ORANGE,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityoforange.org/DocumentCenter/View/12889/Housing-Element-Public-Review-Draft_May-2021,http://www.hcd.ca.gov/community-development/housing-element/docs/oraOrangeCityAdoptedOUT041222.pdf,4/12/2022,134616,"$91,793"
SAN JACINTO,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/rivSanJacintoAdoptedOUT041222.pdf,4/12/2022,44199,"$52,009"
EL CENTRO,Imperial County,IN,10/15/2021,Adopted & Reviewed,2/18/2022,SCAG,http://www.cityofelcentro.org/userfiles/file/Planning/Housing%20Element/2021-2029%20Housing%20Element%20Update/El%20Centro%20HE%202021%20PRD%20(08-24-21)_Reduced%20Size.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/impElCentroAdoptIn041122.pdf,4/11/2022,42598,"$47,864"
EL SEGUNDO,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.elsegundo.org/home/showpublisheddocument/3762/637593605300270000, https://www.elsegundo.org/home/showpublisheddocument/4235/637683457378530000",http://www.hcd.ca.gov/community-development/housing-element/docs/LanElSegundoAdoptedOut040822.pdf,4/8/2022,16654,"$109,577"
LONG BEACH,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,2/11/2022,SCAG,https://www.longbeach.gov/globalassets/lbds/media-library/documents/planning/housing-element-update/he_admin-draft_07-09-21     https://www.longbeach.gov/globalassets/lbds/media-library/documents/planning/housing-element-update/he_appendix_07-09-21,http://www.hcd.ca.gov/community-development/housing-element/docs/LanLongBeachAdoptedIn040822.pdf,4/8/2022,462257,"$63,017"
SEAL BEACH,Orange County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.sealbeachca.gov/Portals/0/Documents/FAQs%20-%20Housing%20Element%20Update%202021-2029.pdf, https://www.sealbeachca.gov/Portals/0/Documents/6th%20Seal%20Beach%20Housing%20Element%20-%20Draft%2021-0909.pdf?ver=2021-09-14-101823-887",http://www.hcd.ca.gov/community-development/housing-element/docs/OraSealBeachAdoptedOut040822.pdf,4/8/2022,24168,"$68,852"
YORBA LINDA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://c350e09e-9e90-4566-900c-9869c2c04398.filesusr.com/ugd/b90adb_ffb633e54c574be69a415a58aa21ecc0.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/OraYorbaLindaAdoptedIn040822.pdf,4/8/2022,64234,"$129,995"
HEMET,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.hemetca.gov/1029/Housing-Element-Update,http://www.hcd.ca.gov/community-development/housing-element/docs/RivHemetAdoptedOut040822.pdf,4/8/2022,78657,"$39,726"
THOUSAND OAKS,Ventura County,ADOPTED-IN REVIEW,10/15/2021,Adopted & Reviewed,,SCAG,https://www.toaks2045.org/s/Draft-Thousand-Oaks-2021-2029-HE_complete.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/venThousandOaksAdoptedOut040722.pdf,4/7/2022,126683,"$109,378"
COSTA MESA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.costamesaca.gov/city-hall/city-departments/development-services/planning/housing-element-update,lanCovinaDraftOUT012722.pdf,4/5/2022,109960,"$84,138"
MONTEREY PARK,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://mpkhousingupdate.com/wp-content/uploads/2021/10/City-of-Monterey-Park-Housing-Element-Public-Draft-October-2021.pdf,,4/1/2022,60269,"$61,819"
WESTMINSTER,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.westminster-ca.gov/home/showdocument?id=4182&t=637701703266581122,,4/1/2022,89701,"$62,625"
LAGUNA BEACH,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://lagunabeachcity.granicus.com/MetaViewer.php?view_id=3&clip_id=1345&meta_id=104879, https://www.lagunabeachcity.net/civicax/filebank/blobdload.aspx?t=1814.093&BlobID=28527",oraLagunaHillsDraftallfindings010422.pdf,3/30/2022,22723,"$129,983"
HERMOSA BEACH,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.hermosabeach.gov/our-government/community-development/plan-hermosa,SBDHesperiaDraftOut012122.pdf,3/23/2022,19506,"$136,702"
MALIBU,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.malibucity.org/DocumentCenter/View/28345/PC210722_Item1A---Combined,lanManhattanBeachdraftout121421.pdf,3/22/2022,12645,"$150,747"
DEL MAR,San Diego County,OUT,4/15/2021,Adopted & Reviewed,,SANDAG,https://www.delmar.ca.us/DocumentCenter/View/7143/Draft-6th-Cycle-Housing-Element-Update-2021-2029,,3/21/2022,4161,"$129,063"
COLTON,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ci.colton.ca.us/DocumentCenter/View/7294/Colton-2021-Housing-Element_2021-07-05_draft,,3/18/2022,52154,"$53,838"
BARSTOW,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,ORANGE COUNTY	FOUNTAIN VALLEY	available - entered	https://www.fountainvalley.org/1409/Housing-Element																							 RIVERSIDE COUNTY	HEMET	available - entered	https://www.hemetca.gov/1029/Housing-Element-Update																							 SAN BERNARDINO COUNTY	HIGHLAND	available - entered	https://www.cityofhighland.org/317/6th-Cycle-Housing-Element-Update																							 LOS ANGELES COUNTY	POMONA	available - entered	https://www.pomonaca.gov/government/departments/development-services/planning-division/general-plan/pro-housing-pomona																							 ORANGE COUNTY	RANCHO ST. MARGARITA	available - entered	https://www.cityofrsm.org/622/Housing-Element-Update-2021																							 LOS ANGELES COUNTY	TORRANCE	available - entered	https://www.torranceca.gov/our-city/community-development/housing-element-update								https://www.barstowca.org/home/showpublisheddocument/7288/637668658150600000															,,3/16/2022,22639,"$40,633"
GLENN COUNTY UNINCORPORATED,Glenn County,OUT,11/30/2021,Draft Reviewed,12/31/2021,HCD,,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPxmWDNlgqI3hgS8dt5bZC2Yn_DAUB280gVV9VsHGyp6iYzYPQNNTkoSazCNZPp0aamwQTXD2hrTcfIoBDeiLotGRKzS1ZuN_37Us189SHN3igFhqzR0ktQHNLRCFI91ZCBaK0S--eG3Tqaemfq75Rvq-WZmZjAw194rmOPtA4g07Qf1Te33_IyA==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,3/1/2022,,$0
ARCADIA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://cms9.revize.com/revize/arcadia/shape/development_services_department/planning___zoning/housing_element_update.php, https://cms9.revize.com/revize/arcadia/Shape%20Arcadia/Development%20Services/Housing%20Element/Revised%20Draft%20Housing%20Element/Arcadia_Ch5_Housing%20Element%20Update_December%202021_Redlines.pdf",https://www.hcd.ca.gov/community-development/housing-element/docs/lanarcadiareviseddraftout022522.pdf,2/25/2022,56364,"$93,574"
LOMA LINDA,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,2/14/2022,SCAG,,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPxp6qRjcy-sPKToOJXQlPL_TXv9cC5s6tbRtMcMozDdxjZKgSPGEZaLISz0v4sZLKwXkInxovWn4SlY5JjSGJEAlmB-ilbcTB1wVcl0qpYkNzxMDCdsqAoZNx3NrG_w78qT4us2yvV9AaL6l2IRRBA9SnHETaqZZoz5SmrjlhO3RPoaTTGGciPIVvvcWaBj5f&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/25/2022,23261,"$55,607"
GLENDORA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://meetings.ci.glendora.ca.us/OnBaseAgendaOnline/Documents/ViewDocument/City_Council_-_Housing_Element_Workshop_2467_Agenda_Packet_6_3_2021_6_00_00_PM.pdf?meetingId=2467&documentType=AgendaPacket&itemId=0&publishId=0&isSection=false, https://www.cityofglendora.org/home/showpublisheddocument/28098/637648030886170000",https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPL9j3C8Rj3vB856QvgSsXFhpDj91dgKC_NHsM4YRRrHn2mnknfCuK-OrwfF0wDlUhGizp_ta2wF9OCuR18rQBtdzL68Xmg987t7ZRyX3qV6A1e1vHQwYZoPbFwc5rTFr1kLFtx5YJMxgBRTY3T82oy1VkqQrDSjFl8DxHTNpLUtny0Gm1Vb0KPg==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/18/2022,50073,"$96,132"
ELK GROVE,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,"https://www.elkgrovecity.org/UserFiles/Servers/Server_109585/File/Departments/SPI/Housing_2021/EG-Housing-Element_Public%20Review%20Draft_2021-04-13_TrackChanges.pdf, https://elkgrovecity.org/UserFiles/Servers/Server_109585/File/Departments/SPI/Housing_2021/EG-Housing-Element_CC%20Version_5.3.21_Agenda.pdf",https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPUom_0Pe96hUswNJ_bvVpsF0TaYZa6JapFDfomoJZcAnXrfXhn3Ej0uudffsxxkOpLSMe3KGmPizoKgdQnJvCXaZw4ol5mhFgs0Y7Neo_Bu9P1Jb-4MldDKt-d5HEk4BpE8VCVl3PAX6wQni6icoF1YqcncIeWfPNMkAtcXBl0vCp6U87VMfKYw==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/16/2022,153015,"$93,780"
