,Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income,geo_location,loc,point,lat,lon,altitude,display_location
53,RIVERSIDE,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/2021-05-10%20Housing%20Element%20Housing%20Plan%20-%20HCD%20Review%20Draft.pdf   http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/2021-05-10%20Housing%20Element%20Action%20Plan%20-%20HCD%20Review%20Draft.pdf   http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/2021-06-03%20TBR%20Web%20Version%20-%20With%20AFFH.pdf    http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/Appendix%20A%20-%20Housing%20Opportunity%20Sites%20Inventory.pdf,rivRiversideCountyAdopt123021.pdf,9/26/2022,303871.0,"$69,045",RIVERSIDE Riverside County CA,"Riverside, CA, USA","(33.9806005, -117.3754942, 0.0)",33.9806005,-117.3754942,0.0,Riverside in Riverside County
54,GARDENA,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,"https://cityofgardena.org/wp-content/uploads/2021/04/Draft-Inventory-Sites-Maps.pdf, https://cityofgardena.org/wp-content/uploads/2021/09/Gardena-Draft-HE-09-08-21.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/lanGardenaAdopted040822.pdf,9/22/2022,58829.0,"$58,447",GARDENA Los Angeles County CA,"Gardena, CA, USA","(33.8883487, -118.3089624, 0.0)",33.8883487,-118.3089624,0.0,Gardena in Los Angeles County
55,SAN JUAN CAPISTRANO,Orange County,IN,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,https://sanjuancapistrano.org/Portals/0/Documents/Development%20Services/General%20Plan/SJC%20HEU%20Public%20Draft%209-22-21%20Final%20x%20red.pdf,,9/22/2022,34593.0,"$91,600",SAN JUAN CAPISTRANO Orange County CA,"San Juan Capistrano, CA, USA","(33.5019027, -117.6627655, 0.0)",33.5019027,-117.6627655,0.0,San juan capistrano in Orange County
56,PERRIS,Riverside County,IN,10/15/2021,Adopted & Reviewed,8/3/2022,SCAG,https://www.cityofperris.org/home/showpublisheddocument/14576/637690501798330000,http://www.hcd.ca.gov/community-development/housing-element/docs/rivPerrisAdopted071222.pdf,9/22/2022,68386.0,"$63,829",PERRIS Riverside County CA,"Perris, CA, USA","(33.7825194, -117.2286478, 0.0)",33.7825194,-117.2286478,0.0,Perris in Riverside County
57,LAKEWOOD,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,8/12/2022,SCAG,https://www.lakewoodcity.org/civicax/filebank/blobdload.aspx?BlobID=30331,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPXf3lAmvEtncM8kJjzgtZdoczw3UeH5gY74NCY9qK4_NfUvZmF0UCZod4PbBOHECRFTmHBAWjpSPOPxFbBLbxmtt27VIRvYkizFnNMXqFN8a0PQoshbhf3SG810Mxbclje8fw0lOgg9accQJkh39a5Sq50npHCWqmeeugSGbsv-qBLavKM7aV2A==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,9/16/2022,80048.0,"$93,432",LAKEWOOD Los Angeles County CA,"Lakewood, CA, USA","(33.8536269, -118.1339563, 0.0)",33.8536269,-118.1339563,0.0,Lakewood in Los Angeles County
58,SOUTH GATE,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,7/20/2022,SCAG,http://www.cityofsouthgate.org/DocumentCenter/View/7617/South-Gate-2021-2029-HE,lanSouthPasadenaOut122121.pdf,9/16/2022,94396.0,"$52,321",SOUTH GATE Los Angeles County CA,"South Gate, CA, USA","(33.954737, -118.2120161, 0.0)",33.954737,-118.2120161,0.0,South gate in Los Angeles County
59,SANTA ANA,Orange County,IN,10/15/2021,Adopted & Reviewed,7/26/2022,SCAG,https://www.santa-ana.org/sites/default/files/pb/planning/Housing%20Element/2021-2029%20Housing%20Element%20Public%20Review%20Draft%2010.11.2021R.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/oraSantaAnaDraftOUT042522.pdf,9/16/2022,324528.0,"$66,145",SANTA ANA Orange County CA,"Santa Ana, CA, USA","(33.7454725, -117.867653, 0.0)",33.7454725,-117.867653,0.0,Santa ana in Orange County
60,SOUTH PASADENA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.southpasadenaca.gov/government/departments/planning-and-building/housing-element-update-2021-2029,http://www.hcd.ca.gov/community-development/housing-element/docs/LanSouthPasadenaDraftOut070822.pdf,9/15/2022,25619.0,"$104,308",SOUTH PASADENA Los Angeles County CA,"South Pasadena, CA 91030, USA","(34.1161196, -118.1503488, 0.0)",34.1161196,-118.1503488,0.0,South pasadena in Los Angeles County
61,SANTA MONICA,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,10/12/2022,SCAG,https://www.santamonica.gov/housing-element-update-draft-concepts,venSantaPaulaDraftOut111521.pdf,9/14/2022,89736.0,"$96,570",SANTA MONICA Los Angeles County CA,"Santa Monica, CA, USA","(34.0194543, -118.4911912, 0.0)",34.0194543,-118.4911912,0.0,Santa monica in Los Angeles County
62,RANCHO SANTA MARGARITA,Orange County,IN,10/15/2021,Adopted & Reviewed,8/25/2022,SCAG,https://www.cityofrsm.org/DocumentCenter/View/7522/RSM-Public-Review-Draft-Housing-Element-Update,http://www.hcd.ca.gov/community-development/housing-element/docs/oraRanchoSantaMargaritaAdoptedOut041122.pdf,9/13/2022,47853.0,"$121,017",RANCHO SANTA MARGARITA Orange County CA,"Rancho Santa Margarita, CA, USA","(33.640171, -117.602832, 0.0)",33.640171,-117.602832,0.0,Rancho santa margarita in Orange County
63,LEMON GROVE,San Diego County,OUT,4/15/2021,Adopted & Reviewed,7/19/2022,SANDAG,,,9/12/2022,25320.0,"$63,548",LEMON GROVE San Diego County CA,"Lemon Grove, CA, USA","(32.7425516, -117.0314172, 0.0)",32.7425516,-117.0314172,0.0,Lemon grove in San Diego County
64,CALEXICO,Imperial County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/ImpCalexicoDraftOut090922.pdf,9/9/2022,38572.0,"$43,592",CALEXICO Imperial County CA,"Calexico, CA, USA","(32.6789476, -115.4988834, 0.0)",32.6789476,-115.4988834,0.0,Calexico in Imperial County
65,BALDWIN PARK,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.baldwinpark.com/online-documents/community-development/planning/general-plan-individual-elements/housing-element-update-2021-2029/2500-bp-pc-cc-study-session-1-27-21/file, https://www.baldwinpark.com/planning#pane_cm9n4f_1https://www.baldwinpark.com/online-documents/community-development/planning/2708-000-baldwin-park-he-publicreviewdraft10-4-21/file",rivBanningDraftOut091721.pdf,9/9/2022,75390.0,"$65,904",BALDWIN PARK Los Angeles County CA,"Baldwin Park, CA, USA","(34.0852868, -117.9608978, 0.0)",34.0852868,-117.9608978,0.0,Baldwin park in Los Angeles County
66,BELLFLOWER,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/21/2022,SCAG,https://www.bellflower.org/Document%20Center/Department/Planning/Planning%20Division/Housing%20Element%20Update/Bellflower%20Public%20Review%20Draft%202021-2029%20HE.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanBellflowerAdoptedIn090922.pdf,9/9/2022,76616.0,"$60,011",BELLFLOWER Los Angeles County CA,"Bellflower, CA, USA","(33.8816818, -118.1170117, 0.0)",33.8816818,-118.1170117,0.0,Bellflower in Los Angeles County
67,CYPRESS,Orange County,IN,10/15/2021,Adopted & Reviewed,7/12/2022,SCAG,"https://www.cypressca.org/government/departments/community-development/planning-division/city-plans, https://www.cypressca.org/departments/community-development/information-on-notable-projects/housing-element-update",http://www.hcd.ca.gov/community-development/housing-element/docs/OraCypressSubsequentDraftOut051322.pdf,9/9/2022,47802.0,"$93,137",CYPRESS Orange County CA,"Cypress, CA, USA","(33.8169366, -118.0368507, 0.0)",33.8169366,-118.0368507,0.0,Cypress in Orange County
68,MENIFEE,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://storymaps.arcgis.com/stories/2580a24f64864ef1887d002a21926725,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/RivMenifeeDraftIn090922.pdf,9/9/2022,77519.0,"$70,224",MENIFEE Riverside County CA,"Menifee, CA, USA","(33.6971468, -117.185294, 0.0)",33.6971468,-117.185294,0.0,Menifee in Riverside County
69,BREA,Orange County,IN,10/15/2021,Adopted & Reviewed,8/17/2022,SCAG,https://shapebrea.net/8505/widgets/34612/documents/20875,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/OraBreaAdoptIn090822.pdf,9/8/2022,39282.0,"$94,492",BREA Orange County CA,"Brea, CA, USA","(33.916475, -117.9002918, 0.0)",33.916475,-117.9002918,0.0,Brea in Orange County
70,CHINO HILLS,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,8/17/2022,SCAG,https://www.chinohills.org/DocumentCenter/View/24118/CHINO-HILLS-6TH-CYCLE-HOUSING-ELEMENT-with-APPENDICES---HCD-REVIEW-DRAFT-7-6-2021,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/SbdChinoHillsAdoptedIn090822.pdf,9/8/2022,74799.0,"$106,347",CHINO HILLS San Bernardino County CA,"Chino Hills, CA, USA","(33.9898188, -117.7325848, 0.0)",33.9898188,-117.7325848,0.0,Chino hills in San Bernardino County
71,VISTA,San Diego County,IN,4/15/2021,Adopted & Reviewed,7/12/2022,SANDAG,https://www.cityofvista.com/Home/ShowDocument?id=23608,http://www.hcd.ca.gov/community-development/housing-element/docs/sdiVistaAdopt052722.pdf,9/7/2022,93834.0,"$72,125",VISTA San Diego County CA,"Vista, CA, USA","(33.2000368, -117.2425355, 0.0)",33.2000368,-117.2425355,0.0,Vista in San Diego County
72,RANCHO CUCAMONGA,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,7/19/2022,SCAG,https://www.cityofrc.us/sites/default/files/2021-06/RC%20DRAFT%20Housing%20Element%206-3-2021.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/sbdRanchoCucamongaAdoptIn090722.pdf,9/7/2022,165269.0,"$90,953",RANCHO CUCAMONGA San Bernardino County CA,"Rancho Cucamonga, CA, USA","(34.10639889999999, -117.5931084, 0.0)",34.10639889999999,-117.5931084,0.0,Rancho cucamonga in San Bernardino County
73,MOORPARK,Ventura County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://secureservercdn.net/104.238.69.231/k9a.a69.myftpupload.com/wp-content/uploads/2021/12/2021-2029-4-HousingElement_draft_2021.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/venMoorparkDraftOUT050922.pdf,9/2/2022,34421.0,"$107,820",MOORPARK Ventura County CA,"Moorpark, CA 93021, USA","(34.285558, -118.8820414, 0.0)",34.285558,-118.8820414,0.0,Moorpark in Ventura County
74,BRADBURY,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanBradburyDraftOut090122.pdf,9/1/2022,1048.0,"$146,250",BRADBURY Los Angeles County CA,"Bradbury, CA 91008, USA","(34.1469511, -117.9708982, 0.0)",34.1469511,-117.9708982,0.0,Bradbury in Los Angeles County
75,CERRITOS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/29/2022,SCAG,http://www.cerritos.us/GOVERNMENT/_pdfs/2021-2029_housing_element_update.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanCerritosAdoptIn090122.pdf,9/1/2022,49041.0,"$106,190",CERRITOS Los Angeles County CA,"Cerritos, CA, USA","(33.8583483, -118.0647871, 0.0)",33.8583483,-118.0647871,0.0,Cerritos in Los Angeles County
76,REDONDO BEACH,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/11/2022,SCAG,https://www.redondo.org/civicax/filebank/blobdload.aspx?BlobID=39544,http://www.hcd.ca.gov/community-development/housing-element/docs/lanRedondoBeachAdopt041222.pdf,9/1/2022,66747.0,"$113,499",REDONDO BEACH Los Angeles County CA,"Redondo Beach, CA, USA","(33.8491816, -118.3884078, 0.0)",33.8491816,-118.3884078,0.0,Redondo beach in Los Angeles County
77,SOUTH LAKE TAHOE,El Dorado County,IN,"6/30/2022, 5/15/2021",Adopted & Reviewed,7/7/2022,HCD,,http://www.hcd.ca.gov/community-development/housing-element/docs/EldSouthLakeTahoeDraftOut0523.pdf,8/30/2022,21403.0,"$49,390",SOUTH LAKE TAHOE El Dorado County CA,"South Lake Tahoe, CA 96150, USA","(38.939926, -119.9771868, 0.0)",38.939926,-119.9771868,0.0,South lake tahoe in El Dorado County
78,INYO COUNTY UNINCORPORATED,Inyo County,IN,4/30/2021,Adopted & Reviewed,8/17/2022,HCD,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/InyInyoCountyAdoptIn083022.pdf,8/30/2022,,$0,INYO COUNTY UNINCORPORATED Inyo County CA,"Inyo County, CA, USA","(36.3091865, -117.5495846, 0.0)",36.3091865,-117.5495846,0.0,Inyo county unincorporated in Inyo County
79,STANTON,Orange County,IN,10/15/2021,Adopted & Reviewed,7/8/2022,SCAG,https://letstalkstanton.com/10424/widgets/40250/documents/24697,http://www.hcd.ca.gov/community-development/housing-element/docs/oraStantonAdopted042622.pdf,8/30/2022,38186.0,"$57,598",STANTON Orange County CA,"Stanton, CA, USA","(33.8028875, -117.9931203, 0.0)",33.8028875,-117.9931203,0.0,Stanton in Orange County
80,PALMDALE,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.palmdale2045.org/draft-housing-element,http://www.hcd.ca.gov/community-development/housing-element/docs/LanPalmdaleAdoptedOut051322.pdf,8/26/2022,152750.0,"$62,865",PALMDALE Los Angeles County CA,"Palmdale, CA, USA","(34.5794343, -118.1164613, 0.0)",34.5794343,-118.1164613,0.0,Palmdale in Los Angeles County
81,RIVERSIDE COUNTY UNINCORPORATED,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://planning.rctlma.org/HE6/Info#PRD,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/RivRiversideCountyRevisedDraftOut082622.pdf,8/26/2022,,$0,RIVERSIDE COUNTY UNINCORPORATED Riverside County CA,"Riverside, CA, USA","(33.9806005, -117.3754942, 0.0)",33.9806005,-117.3754942,0.0,Riverside county unincorporated in Riverside County
82,BELL GARDENS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/27/2022,SCAG,https://www.bellgardens.org/home/showpublisheddocument/4752,http://www.hcd.ca.gov/community-development/housing-element/docs/lanBellGardensAdopted042222.pdf,8/18/2022,42072.0,"$42,223",BELL GARDENS Los Angeles County CA,"Bell Gardens, CA 90201, USA","(33.9652918, -118.1514588, 0.0)",33.9652918,-118.1514588,0.0,Bell gardens in Los Angeles County
83,RANCHO MIRAGE,Riverside County,IN,10/15/2021,Adopted & Reviewed,7/28/2022,SCAG,https://1elrsd35mlri2z7zmm3qkz2t-wpengine.netdna-ssl.com/wp-content/uploads/2021/09/Rancho-Mirage-Housing-Element-Update-Draft-Web-Posting-9.3.21.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/RivRanchoMIrageDraftIn060122.pdf,8/17/2022,17218.0,"$78,682",RANCHO MIRAGE Riverside County CA,"Rancho Mirage, CA 92270, USA","(33.739744, -116.41279, 0.0)",33.739744,-116.41279,0.0,Rancho mirage in Riverside County
84,SIERRA MADRE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/28/2022,SCAG,https://www.cityofsierramadre.com/UserFiles/Servers/Server_212309/File/Departments/Planning%20&%20Community%20Preservation%20Department/Housing%20Element/Draft%20Housing%20Element/Sierra%20Madre%20Preliminary%20Draft%202021_2029%20Housing%20Element_reduced.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanSierraMadreDraftOut052722.pdf,8/10/2022,10917.0,"$100,988",SIERRA MADRE Los Angeles County CA,"Sierra Madre, CA 91024, USA","(34.1616729, -118.0528456, 0.0)",34.1616729,-118.0528456,0.0,Sierra madre in Los Angeles County
85,SAN FERNANDO,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,6/10/2022,SCAG,https://ci.san-fernando.ca.us/wp-content/uploads/2021/10/DRAFT-San-Fernando-Housing-Element.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/lanSanFernandoAdoptIn080922.pdf,8/9/2022,23645.0,"$58,425",SAN FERNANDO Los Angeles County CA,"San Fernando, CA, USA","(34.2819461, -118.4389719, 0.0)",34.2819461,-118.4389719,0.0,San fernando in Los Angeles County
86,BISHOP,Inyo County,IN,4/30/2021,Adopted & Reviewed,,HCD,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/inyBishopadoptedin080122.pdf,8/1/2022,3879.0,"$62,067",BISHOP Inyo County CA,"Bishop, CA 93514, USA","(37.3614238, -118.3996636, 0.0)",37.3614238,-118.3996636,0.0,Bishop in Inyo County
87,ROSEMEAD,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofrosemead.org/UserFiles/Servers/Server_10034989/File/Gov/City%20Departments/Community%20Development/Planning/Housing%20Element/Rosemead%20HE%20PUBLIC%20REVIEW%20DRAFT%20with%20Appendices%209-2-21.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/lanRosemeadAdoptIn080122.pdf,8/1/2022,53764.0,"$57,999",ROSEMEAD Los Angeles County CA,"Rosemead, CA, USA","(34.0805651, -118.072846, 0.0)",34.0805651,-118.072846,0.0,Rosemead in Los Angeles County
88,HOLTVILLE,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/ImpHoltvilleAdoptedIn072222.pdf,7/22/2022,5939.0,"$46,161",HOLTVILLE Imperial County CA,"Holtville, CA 92250, USA","(32.8111612, -115.3802643, 0.0)",32.8111612,-115.3802643,0.0,Holtville in Imperial County
89,CUDAHY,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/LanCudahyDraftOut072222.pdf,7/22/2022,23805.0,"$46,642",CUDAHY Los Angeles County CA,"Cudahy, CA 90201, USA","(33.9608646, -118.1857858, 0.0)",33.9608646,-118.1857858,0.0,Cudahy in Los Angeles County
90,SANTEE,San Diego County,OUT,4/15/2021,Adopted,,SANDAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/SdiSanteeAdoptedOut071222.pdf,7/12/2022,53413.0,"$87,098",SANTEE San Diego County CA,"Santee, CA, USA","(32.8383828, -116.9739167, 0.0)",32.8383828,-116.9739167,0.0,Santee in San Diego County
91,MONTEBELLO,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://planmontebello.com/wp-content/uploads/2021/09/Housing-Element-Draft.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/LanMontebelloAdoptedIn71122.pdf,7/11/2022,62500.0,"$56,150",MONTEBELLO Los Angeles County CA,"Montebello, CA, USA","(34.0165053, -118.1137535, 0.0)",34.0165053,-118.1137535,0.0,Montebello in Los Angeles County
92,SANTA CLARITA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.santa-clarita.com/home/showpublisheddocument/20288,http://www.hcd.ca.gov/community-development/housing-element/docs/lanSantaClaritaAdoptedOUT070722.pdf,7/7/2022,176320.0,"$99,666",SANTA CLARITA Los Angeles County CA,"Santa Clarita, CA, USA","(34.3916641, -118.542586, 0.0)",34.3916641,-118.542586,0.0,Santa clarita in Los Angeles County
93,TEMPLE CITY,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,http://www.ci.temple-city.ca.us/DocumentCenter/View/16480/Draft-Temple-City-Housing-Element-2021-2029,http://www.hcd.ca.gov/community-development/housing-element/docs/LanTempleCityDraftOut070122.pdf,7/1/2022,35558.0,"$78,516",TEMPLE CITY Los Angeles County CA,"Temple City, CA, USA","(34.1072305, -118.0578456, 0.0)",34.1072305,-118.0578456,0.0,Temple city in Los Angeles County
94,WALNUT,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityofwalnut.org/home/showpublisheddocument/17546/637680751589970000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanWalnutAdoptedOut070122.pdf,7/1/2022,29172.0,"$108,669",WALNUT Los Angeles County CA,"Walnut, CA, USA","(34.0202894, -117.8653386, 0.0)",34.0202894,-117.8653386,0.0,Walnut in Los Angeles County
95,LOS ANGELES,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,11/24/2021,SCAG,https://planning.lacity.org/plans-policies/housing-element-update#draft-plan,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLACityAdoptedIN062922.pdf,6/29/2022,3792621.0,"$62,142",LOS ANGELES Los Angeles County CA,"Los Angeles, CA, USA","(34.0522342, -118.2436849, 0.0)",34.0522342,-118.2436849,0.0,Los angeles in Los Angeles County
96,ROLLING HILLS ESTATES,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.ci.rolling-hills-estates.ca.us/home/showpublisheddocument/19390/637571101910200000, https://www.hcd.ca.gov/HousingElements/downloadFileServlet?id=1251http://rollinghillsestatesca.legistar.com/gateway.aspx?M=F&ID=d94aa55f-6045-4287-966c-b7217bcb813a.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/LanRollingHillsEstatesAdoptedOut062422.pdf,6/24/2022,8067.0,"$150,135",ROLLING HILLS ESTATES Los Angeles County CA,"Rolling Hills Estates, CA, USA","(33.7877943, -118.3581284, 0.0)",33.7877943,-118.3581284,0.0,Rolling hills estates in Los Angeles County
97,EASTVALE,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://ehq-production-us-california.s3.us-west-1.amazonaws.com/c7ec8a0584c871d1ac39c168b6fb67a4b57c1272/original/1635543635/846892c8764c1394bc2f994534c67152_EASTVALE_2021-2029_Housing_Element_10.29.21.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIBJCUKKD4ZO4WUUA%2F20211103%2Fus-west-1%2Fs3%2Faws4_request&X-Amz-Date=20211103T152242Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=137065336b4acf299ec544f902dc640936c56bfe86dda4eeaaec7c0853b8349c,http://www.hcd.ca.gov/community-development/housing-element/docs/RivEastvaleAdoptedIn062122.pdf,6/21/2022,53670.0,"$119,213",EASTVALE Riverside County CA,"Eastvale, CA, USA","(33.952463, -117.5848025, 0.0)",33.952463,-117.5848025,0.0,Eastvale in Riverside County
98,VERNON,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.hcd.ca.gov/housing-elements/docs/vernon-6th-draft031622.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/LanVernonDraftOut061522.pdf,6/15/2022,112.0,"$67,917",VERNON Los Angeles County CA,"Vernon, CA, USA","(34.003903, -118.230073, 0.0)",34.003903,-118.230073,0.0,Vernon in Los Angeles County
99,MONTCLAIR,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.montclairplan.org/wp-content/uploads/2021/09/Montclair-2021-2029-PRD-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdMontclairDraft061022.pdf,6/10/2022,36664.0,"$62,024",MONTCLAIR San Bernardino County CA,"Montclair, CA, USA","(34.0775104, -117.6897776, 0.0)",34.0775104,-117.6897776,0.0,Montclair in San Bernardino County
100,YUCCA VALLEY,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.yucca-valley.org/home/showpublisheddocument/5829/637624852947230000,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdYuccaValleyAdoptedIN061022.pdf,6/10/2022,20700.0,"$44,757",YUCCA VALLEY San Bernardino County CA,"Yucca Valley, CA 92284, USA","(34.1141743, -116.432235, 0.0)",34.1141743,-116.432235,0.0,Yucca valley in San Bernardino County
101,WHEATLAND,Yuba County,OUT,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/yubWheatlandAdoptOut060722.pdf,6/7/2022,3456.0,"$75,066",WHEATLAND Yuba County CA,"Wheatland, CA, USA","(39.008843, -121.4238891, 0.0)",39.008843,-121.4238891,0.0,Wheatland in Yuba County
102,TWENTYNINE PALMS,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://app.box.com/s/xweqz8999vllxzs1xvsi6wm99f6ipmie,http://www.hcd.ca.gov/community-development/housing-element/docs/TwentyNinePalmsDraft2Out060722.pdf,6/7/2022,25048.0,"$44,226",TWENTYNINE PALMS San Bernardino County CA,"Twentynine Palms, CA 92277, USA","(34.1355582, -116.0541689, 0.0)",34.1355582,-116.0541689,0.0,Twentynine palms in San Bernardino County
103,MURRIETA,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/RivMurriettaDraftOut060222.pdf,6/3/2022,103466.0,"$90,535",MURRIETA Riverside County CA,"Murrieta, CA, USA","(33.5539143, -117.2139232, 0.0)",33.5539143,-117.2139232,0.0,Murrieta in Riverside County
104,HESPERIA,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.cityofhesperia.us/DocumentCenter/View/16120/Housing-Element-Staff-Report, https://www.cityofhesperia.us/DocumentCenter/View/16121/Draft-Housing-Element---April-2020",http://www.hcd.ca.gov/community-development/housing-element/docs/sbdHesperiaDraftOut060322.pdf,6/3/2022,90173.0,"$53,561",HESPERIA San Bernardino County CA,"Hesperia, CA, USA","(34.4263886, -117.3008784, 0.0)",34.4263886,-117.3008784,0.0,Hesperia in San Bernardino County
105,LOS ANGELES COUNTY UNINCORPORATED,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,11/30/2021,SCAG,https://planning.lacounty.gov/housing/he,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLACountyAdopted052722IN.pdf,5/27/2022,,$0,LOS ANGELES COUNTY UNINCORPORATED Los Angeles County CA,"Los Angeles, CA, USA","(34.0522342, -118.2436849, 0.0)",34.0522342,-118.2436849,0.0,Los angeles county unincorporated in Los Angeles County
106,APPLE VALLEY,San Bernardino County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.applevalley.org/home/showpublisheddocument/31147/637583928465230000,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdAppleValleyAdopt052722.pdf,5/27/2022,69135.0,"$54,527",APPLE VALLEY San Bernardino County CA,"Apple Valley, CA, USA","(34.5008311, -117.1858759, 0.0)",34.5008311,-117.1858759,0.0,Apple valley in San Bernardino County
107,SANTA FE SPRINGS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.reimaginesantafesprings.org/files/managed/Document/120/PublicReview_SFS_DraftHousingElement.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/LanSantaFeSpringsAdoptedOut052422.pdf,5/24/2022,16223.0,"$68,685",SANTA FE SPRINGS Los Angeles County CA,"Santa Fe Springs, CA, USA","(33.9472359, -118.0853451, 0.0)",33.9472359,-118.0853451,0.0,Santa fe springs in Los Angeles County
