Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
M230097,300 Block Of Berry  Street,San Francisco,CA,94158,1/30/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Mission Bay,"(37.77315139756996, -122.3966889139165)",POINT (-122.39669 37.77315),34,1,10,4,20,2,9,14,310,,,1,,,34
M230098,400 Block Of Harrison  Street,San Francisco,CA,94105,1/30/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.7864165076126, -122.39249482655737)",POINT (-122.392494 37.786415),30,1,10,8,6,2,9,6,28855,3,,1,,,30
M230099,700 Block Of Harrison  Street,San Francisco,CA,94107,1/30/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.781295126751466, -122.39897867478513)",POINT (-122.39898 37.781296),32,1,10,34,34,2,9,6,28856,4,,2,,,32
M230100,0 Block Of 06th  Street,San Francisco,CA,94103,1/30/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.78157622989487, -122.40946935271424)",POINT (-122.40947 37.781578),32,5,10,34,34,2,9,14,28853,7,1,2,1,,32
M230101,300 Block Of Turk  Street,San Francisco,CA,94102,1/30/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78268974159542, -122.4148738201106)",POINT (-122.41487 37.78269),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230102,500 Block Of 26th  Avenue,San Francisco,CA,94121,1/31/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,"(37.779077599932364, -122.48573748706264)",POINT (-122.48574 37.77908),8,8,4,29,26,6,2,11,55,,,1,,,8
M230103,900 Block Of Pierce  Street,San Francisco,CA,94115,1/31/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Western Addition,"(37.77867882433522, -122.43514670037706)",POINT (-122.43515 37.77868),97,4,11,39,41,5,11,15,29490,,,2,,,97
M230104,900 Block Of Pierce  Street,San Francisco,CA,94115,1/31/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Western Addition,"(37.77867882433522, -122.43514670037706)",POINT (-122.43515 37.77868),97,4,11,39,41,5,11,15,29490,,,2,,,97
M230105,2000 Block Of Market  Street,San Francisco,CA,94114,1/31/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Castro/Upper Market,"(37.76835375702118, -122.42773104379441)",POINT (-122.427734 37.768353),37,3,5,5,3,4,5,8,28862,9,,1,,,37
M230106,2000 Block Of Market  Street,San Francisco,CA,94114,1/31/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Castro/Upper Market,"(37.76835375702118, -122.42773104379441)",POINT (-122.427734 37.768353),37,3,5,5,3,4,5,8,28862,9,,1,,,37
M230107,2000 Block Of Market  Street,San Francisco,CA,94114,1/31/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Castro/Upper Market,"(37.76835375702118, -122.42773104379441)",POINT (-122.427734 37.768353),37,3,5,5,3,4,5,8,28862,9,,1,,,37
M230108,2000 Block Of Market  Street,San Francisco,CA,94114,1/31/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Castro/Upper Market,"(37.76835375702118, -122.42773104379441)",POINT (-122.427734 37.768353),37,3,5,5,3,4,5,8,28862,9,,1,,,37
M230109,2000 Block Of 03rd  Street,San Francisco,CA,94107,2/1/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Potrero Hill,"(37.7636861675663, -122.38873210572237)",POINT (-122.38873 37.763687),55,2,9,26,29,3,8,14,28856,14,,1,,,55
M230110,300 Block Of 07th  Avenue,San Francisco,CA,94118,2/1/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Inner Richmond,"(37.78192823517936, -122.46542262843525)",POINT (-122.46542 37.78193),5,8,4,11,11,6,2,11,54,,,1,,,5
M230146,2200 Block Of 21st  Avenue,San Francisco,CA,94116,1/20/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6/5/2028,4,Sunset/Parkside,"(37.74575382766527, -122.47803062065508)",POINT (-122.47803 37.745754),40,10,7,35,35,8,3,1,29491,,,1,,24,40
M230147,1400 Block Of Broadway  Street,San Francisco,CA,94109,1/24/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3/20/2028,3,Russian Hill,"(37.79608027256431, -122.42094664093275)",POINT (-122.420944 37.79608),105,4,3,32,32,9,10,13,28858,,,1,,,105
M230148,1300 Block Of 46th  Avenue,San Francisco,CA,94122,1/23/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3/21/2028,4,Sunset/Parkside,"(37.76135471332721, -122.50599359115051)",POINT (-122.506 37.761356),39,10,7,35,35,8,3,1,56,,,1,,,39
M230149,200 Block Of Topeka  Avenue,San Francisco,CA,94112,1/27/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3/20/2028,10,Bayview Hunters Point,,POINT (-122.396255 37.732323),,,,,,,,,,,,,,,87
M230150,0 Block Of Turk  Street,San Francisco,CA,94103,2/2/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,,POINT (-122.40986 37.783337),,,,,,,,,,,,,,,20
M230151,1700 Block Of Mission  Street,San Francisco,CA,94103,2/2/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.76865955026741, -122.42000680289334)",POINT (-122.420006 37.768658),53,3,2,20,19,4,7,8,28853,,,2,,,53
M230152,2200 Block Of Union  Street,San Francisco,CA,94123,2/2/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,Marina,"(37.79698417343967, -122.43631376657552)",POINT (-122.43632 37.796986),15,4,6,13,17,9,1,13,57,,,1,,,15
M230153,2000 Block Of Market  Street,San Francisco,CA,94114,2/3/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Castro/Upper Market,"(37.76835375702118, -122.42773104379441)",POINT (-122.427734 37.768353),37,3,5,5,3,4,5,8,28862,9,,1,,,37
M230154,1300 Block Of 46th  Avenue,San Francisco,CA,94122,2/3/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,"(37.76135471332721, -122.50599359115051)",POINT (-122.506 37.761356),39,10,7,35,35,8,3,1,56,,,1,,,39
M230155,0 Block Of 09th  Street,San Francisco,CA,94103,2/3/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.77710577426984, -122.41580613392566)",POINT (-122.41581 37.777107),32,5,10,34,34,2,9,8,28853,7,1,2,1,,32
M230156,500 Block Of South Van Ness  Avenue,San Francisco,CA,94110,2/3/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.76437736958609, -122.41740950130017)",POINT (-122.41741 37.764378),53,3,2,20,19,4,7,8,28859,,,2,,14,53
M230157,1100 Block Of Mission  Street,San Francisco,CA,94103,2/6/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.77775137475284, -122.41278551996157)",POINT (-122.41279 37.777752),32,1,10,34,34,2,9,8,28853,7,1,2,1,6,32
M230158,2700 Block Of 16th  Street,San Francisco,CA,94103,2/7/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.76538112996269, -122.41420681804973)",POINT (-122.41421 37.76538),53,3,2,20,19,4,7,8,28859,,,2,,,53
M230159,2000 Block Of California  Street,San Francisco,CA,94109,2/7/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Pacific Heights,"(37.789638302632675, -122.42808286050578)",POINT (-122.428085 37.78964),102,4,11,30,27,9,11,13,28858,,,1,,,102
M230160,600 Block Of Eddy  Street,San Francisco,CA,94109,2/7/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78320614694478, -122.41835524067054)",POINT (-122.41836 37.783207),20,5,10,36,36,9,9,7,28852,,1,2,1,,20
M230161,100 Block Of Eddy  Street,San Francisco,CA,94102,2/8/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78424514350671, -122.41013040140624)",POINT (-122.41013 37.784245),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230162,0 Block Of Polk  Street,San Francisco,CA,94102,2/9/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Tenderloin,"(37.7769533440641, -122.41792710385872)",POINT (-122.41793 37.776955),21,4,10,36,36,9,9,7,28852,8,1,2,1,,21
M230163,1500 Block Of Great  Highway,San Francisco,CA,94122,2/10/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,"(37.75748284236077, -122.50900691477293)",POINT (-122.50901 37.757484),39,10,7,35,35,8,3,1,56,,,1,,,39
M230164,500 Block Of 05th  Avenue,San Francisco,CA,94118,2/13/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Inner Richmond,"(37.77821067227364, -122.46300848327192)",POINT (-122.463005 37.77821),5,8,4,11,11,6,2,11,54,,,1,,,5
M230165,0 Block Of Osceola  Lane,San Francisco,CA,94124,2/13/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,"(37.731708167761234, -122.3831262518932)",POINT (-122.383125 37.73171),86,2,9,1,1,3,8,10,58,,,2,,,86
M230166,0 Block Of Jasper  Place,San Francisco,CA,94133,2/13/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,North Beach,"(37.80007319538881, -122.40826404631312)",POINT (-122.408264 37.80007),106,6,3,23,23,1,10,3,308,,,2,,23,106
M230167,0 Block Of Dore  Street,San Francisco,CA,94103,2/14/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.7739005210505, -122.41299692151738)",POINT (-122.412994 37.7739),32,1,10,34,34,2,9,8,28853,,,2,,,32
M230168,0 Block Of Turk  Street,San Francisco,CA,94102,2/15/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230169,0 Block Of Turk  Street,San Francisco,CA,94102,2/16/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230170,0 Block Of Turk  Street,San Francisco,CA,94102,2/17/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230171,900 Block Of Scott  Street,San Francisco,CA,94115,2/17/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Western Addition,"(37.778472074142954, -122.43679062821855)",POINT (-122.43679 37.778473),97,4,11,39,41,5,11,15,29490,,,2,,,97
M230172,3100 Block Of 22nd  Street,San Francisco,CA,94110,2/17/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.75546971904106, -122.41820328472886)",POINT (-122.418205 37.75547),53,3,2,20,19,4,7,2,28859,,,2,,,53
M230173,700 Block Of Page  Street,San Francisco,CA,94117,2/17/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Haight Ashbury,"(37.77272478128274, -122.43310115070403)",POINT (-122.4331 37.772724),26,4,11,3,9,5,11,15,29492,,,1,,,26
M230175,0 Block Of Reardon  Road,San Francisco,CA,94124,2/17/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,"(37.72946888046084, -122.3769672378333)",POINT (-122.37697 37.72947),78,2,9,1,1,3,8,10,58,,,2,,,78
M230176,0 Block Of Boardman  Place,San Francisco,CA,94103,2/21/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.774315753150645, -122.40258926176836)",POINT (-122.40259 37.774315),32,1,10,34,34,2,9,14,28853,,,2,,,32
M230177,900 Block Of Geary  Street,San Francisco,CA,94109,2/22/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78599697277125, -122.4189134177382)",POINT (-122.418915 37.785995),20,4,10,36,36,9,9,13,28858,10,,2,,,20
M230178,900 Block Of Geary  Street,San Francisco,CA,94109,2/22/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78599697277125, -122.4189134177382)",POINT (-122.418915 37.785995),20,4,10,36,36,9,9,13,28858,10,,2,,,20
M230179,1000 Block Of Gilman  Avenue,San Francisco,CA,94124,2/22/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,"(37.71876705916398, -122.38907827073768)",POINT (-122.38908 37.718765),88,2,9,1,1,3,8,10,58,,,2,,,88
M230180,1000 Block Of Gilman  Avenue,San Francisco,CA,94124,2/22/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,"(37.71876705916398, -122.38907827073768)",POINT (-122.38908 37.718765),88,2,9,1,1,3,8,10,58,,,2,,,88
M230181,300 Block Of 14th  Street,San Francisco,CA,94103,2/23/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.76824964067039, -122.42037906488)",POINT (-122.42038 37.76825),53,3,2,20,19,4,7,8,28853,,,2,,,53
M230182,0 Block Of Turk  Street,San Francisco,CA,94102,2/23/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230183,0 Block Of Turk  Street,San Francisco,CA,94102,2/27/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230184,400 Block Of Taraval  Street,San Francisco,CA,94116,2/27/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,West of Twin Peaks,"(37.74326456796907, -122.47079587290959)",POINT (-122.470795 37.743263),44,10,8,41,40,8,4,1,29491,,,1,,,46
M230185,0 Block Of Essex  Street,San Francisco,CA,94105,2/27/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.785966027212766, -122.39512624662231)",POINT (-122.39513 37.785965),30,1,10,8,6,2,9,6,28855,3,,1,,,30
M230186,600 Block Of 08th  Street,San Francisco,CA,94103,3/1/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.770679611611, -122.40465121220916)",POINT (-122.40465 37.77068),33,1,10,34,34,2,9,14,28853,,,2,,,33
M230187,1100 Block Of Green  Street,San Francisco,CA,94109,3/1/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,Russian Hill,"(37.7984335039579, -122.41752353486648)",POINT (-122.41753 37.798435),107,6,3,32,32,1,10,5,28858,,,1,,,107
M230188,1100 Block Of Green  Street,San Francisco,CA,94109,3/1/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,Russian Hill,"(37.7984335039579, -122.41752353486648)",POINT (-122.41753 37.798435),107,6,3,32,32,1,10,5,28858,,,1,,,107
M230201,3900 Block Of Balboa  Street,San Francisco,CA,94121,2/3/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4/3/2028,1,Outer Richmond,"(37.7755445406572, -122.50105654431079)",POINT (-122.50105 37.775543),8,8,4,29,26,6,2,11,55,,,1,,,8
M230202,300 Block Of Coleridge  Street,San Francisco,CA,94110,2/6/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4/4/2028,9,Bernal Heights,"(37.74153192148338, -122.42112197919685)",POINT (-122.42112 37.74153),83,9,2,2,2,7,7,2,28859,,,1,,,83
M230203,1500 Block Of Mason  Street,San Francisco,CA,94133,2/10/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4/9/2028,3,Nob Hill,"(37.79764871550735, -122.41199201288049)",POINT (-122.411995 37.79765),107,6,3,21,21,1,10,3,308,,,1,,,107
M230231,2600 Block Of 20th  Avenue,San Francisco,CA,94116,2/23/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4/20/2028,4,Sunset/Parkside,"(37.738342342824076, -122.47642711815573)",POINT (-122.476425 37.738342),40,10,7,35,35,8,3,1,29491,,,1,,,40
M230232,0 Block Of Laura  Street,San Francisco,CA,94112,2/23/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,"(37.71017530200217, -122.45071985483433)",POINT (-122.45072 37.710175),66,9,1,28,25,7,6,9,28861,,,2,,,66
M230233,600 Block Of Wisconsin  Street,San Francisco,CA,94107,2/24/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4/25/2028,10,Potrero Hill,"(37.7585757360251, -122.3990602265221)",POINT (-122.39906 37.758575),54,2,9,26,29,3,8,10,28856,,,1,,,54
M230234,600 Block Of San Bruno  Avenue,San Francisco,CA,94107,2/27/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Potrero Hill,"(37.761423231284105, -122.40515855576561)",POINT (-122.40516 37.761425),54,2,9,26,29,3,8,10,28856,15,,1,,,54
M230235,0 Block Of Alvarado  Street,San Francisco,CA,94110,3/2/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5/1/2028,9,Mission,"(37.75442041285644, -122.42226932961707)",POINT (-122.42227 37.75442),52,3,5,20,19,4,5,2,28859,,,1,,,52
M230236,1100 Block Of Green  Street,San Francisco,CA,94109,3/1/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,Russian Hill,"(37.7984335039579, -122.41752353486648)",POINT (-122.41753 37.798435),107,6,3,32,32,1,10,5,28858,,,1,,,107
M230237,1100 Block Of Green  Street,San Francisco,CA,94109,3/1/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,Russian Hill,"(37.7984335039579, -122.41752353486648)",POINT (-122.41753 37.798435),107,6,3,32,32,1,10,5,28858,,,1,,,107
