,ID,ADDRESS,STNDADDR,UNIT,PROCNUM,FOLIO,GEOFOLIO,ISCONDO,TYPE,CAT1,DESC1,CAT2,DESC2,CAT3,DESC3,CAT4,DESC4,CAT5,DESC5,CAT6,DESC6,CAT7,DESC7,CAT8,DESC8,CAT9,DESC9,CAT10,DESC10,ISSUDATE,LSTINSDT,RENDATE,CCDATE,BLDCMPDT,RESCOMM,BPSTATUS,PROPUSE,APPTYPE,CLUC,FFRMLINE,LGLDESC1,LGLDESC2,ESTVALUE,PTSOURCE,MPRMTNUM,LSTAPPRDT,CONTRNUM,CONTRNAME,GlobalID,geometry,index_right,Name,Description
58369,2021000827.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020156560,0141370230020,0141370230020,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-10-05 00:00:00+00:00,20210511,00000000,00000000,00000000,C,F,1822,04,0047,ELECTRICAL WORK    ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2019056224.0,20210511,EC13007501      ,KEYLITE POWER AND LIGHTING CORP                             ,{9FCA0615-E580-496F-A988-2C113FF748B9},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
58570,2021043234.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2021053592,0141370720120,0141370720120,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-04-16 00:00:00+00:00,20220209,00000000,20220209,20220209,C,F,1421,22,0013,INT BUILD OUT/8TH  ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00001765000,P,0.0,20220209,CGC1520509      ,PLAZA CONSTRUCTION GROUP FLORIDA LLC                        ,{90A46583-055B-4677-8D0B-C9319620D3A5},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
59129,2023002971.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2022182837,0141370720120,0141370720120,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-10-14 00:00:00+00:00,20221109,00000000,00000000,00000000,C,F,1421,22,0013,ACCESS CONTROL     ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2022063182.0,20221109,EF20000981      ,CENNOX INC                                                  ,{82AB5B9D-8980-43B6-92C8-D7E0FA70FF63},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
61465,2020073668.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020164751,0141370230020,0141370230020,N,ELEC,0006,MASTER TV ANTENNA                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-09-18 00:00:00+00:00,20201123,00000000,00000000,00000000,C,F,1822,04,0047,UP20081469/ PARKING,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2020016265.0,20201123,08E000144       ,MIAMI DADE COUNTY GENERAL SERVICES ADMINISTRATION           ,{2D343022-E10C-449E-8DF1-144806F1A11B},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
62024,2021015179.0,700 NW 1 AVE                 ,700 NW 1ST AVE,1400,C2021027864,0141370720120,0141370720120,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-12-09 00:00:00+00:00,20210111,00000000,00000000,00000000,C,F,1421,22,0081,FIRE ALARMH FLOOR  ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2019010089.0,20210111,EC0002170       ,FISK ELECTRIC COMPANY                                       ,{3B2D091D-612D-4665-BBAA-9622A7F3C5AB},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
63595,2021055162.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2021118915,0141370720120,0141370720120,N,MECH,0023,SHEET METAL                                                 ,0041,MECHANICAL VENTILATION                                      ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-06-02 00:00:00+00:00,20210713,00000000,00000000,00000000,C,F,1421,22,0013,UP21356961         ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2021043234.0,20210713,CMC056762       ,CAILIS MECHANICAL CORP                                      ,{B9563F22-71A7-4E21-89F2-78986E4F17C1},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
64038,2020049392.0,400 NW 1 AVE                 ,450 NW 1ST AVE,    ,C2020082227,0141370720080,0141370720080,N,BLDG,0018,FENCE                                                       ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-06-04 00:00:00+00:00,20200624,00000000,00000000,00000000,C,F,1822,22,0081,OB3 FOU-SHELL 500FT,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                       ,00000000000,P,2016004790.0,20200624,CGC1516195      ,JADA CONSTRUCTION INC                                       ,{26FEE532-8403-4AF8-9660-7A1FB205EB31},POINT (-80.19570721699995 25.778338390000044),0,Greater Downtown Miami,
64372,2020037948.0,550 NW 1 AVE                 , ,100 ,C2020085832,0141370720040,0141370720040,N,ELEC,0026,TEMP SERVICE TEST & REPAIR                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-03-17 00:00:00+00:00,20200626,00000000,00000000,00000000,C,F,1732,22,0081, INT BUILD OUT     ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                       ,00000000000,P,2019024258.0,20200626,EC13002872      ,J CROMPTON ELECTRIC INC                                     ,{182AE24E-5A6F-43B0-A632-0208F84F08D0},POINT (-80.19600239499994 25.779280560000075),0,Greater Downtown Miami,
64564,2022026995.0,550 NW 1 AVE                 ,550 NW 1ST AVE,100 ,C2022057441,0141370720100,0141370720100,N,MECH,0023,SHEET METAL                                                 ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-02-04 00:00:00+00:00,20220218,00000000,00000000,00000000,C,F,1521,22,0081,                   ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041     T  23364         ,00000000000,P,2019006699.0,20220218,CMC1249997      ,ATLANTIK MECHANICAL INC                                     ,{A9B76F5C-8767-452F-9F58-229A1D363DCE},POINT (-80.19568075599994 25.779395916000055),0,Greater Downtown Miami,
65207,2021022922.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2021042603,0141370230020,0141370230020,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-01-20 00:00:00+00:00,20210211,00000000,20210211,20210211,C,F,1822,08,0047,DRYWALL REPAIRS    ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000024000,P,0.0,20210211,CGC1508952      ,REGOSA ENGINEERING SERVICES INC                             ,{5B3473B6-8624-4D0E-B6EB-8BC170F1FE03},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
67357,2020033602.0,550 NW 1 AVE                 ,550 NW 1ST AVE,240C,C2020056389,0141370720100,0141370720100,N,MECH,0041,MECHANICAL VENTILATION                                      ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-02-28 00:00:00+00:00,20210514,00000000,00000000,00000000,C,F,1822,22,0081,BUILT OUT KUENKO   ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041     T  23364         ,00000000000,P,2019076919.0,20210514,CAC1817122      ,MIAMI COOL INC                                              ,{B60E25B5-1E6B-412B-A03A-445CF778594D},POINT (-80.19568075599994 25.779395916000055),0,Greater Downtown Miami,
70168,2021070338.0,20 NW 1 AVE                  ,101 W FLAGLER ST,    ,C2021155494,0141370270010,0141370270010,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-08-05 00:00:00+00:00,20230117,00000000,00000000,00000000,C,A,1822,26,0047,25 STORY COURTHOUSE,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000000000,P,2021055864.0,20230117,EC0002170       ,FISK ELECTRIC COMPANY                                       ,{8FA518A4-C54C-4668-B338-8DCE164B266F},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
71044,2021030171.0,155 NW 3 ST                  ,155 NW 3RD ST,    ,C2020150932,0141370700010,0141370700010,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-02-23 00:00:00+00:00,20220120,00000000,20220120,20220120,C,F,1421,10,0013,INST SCULPTURE     ,CHILDRENS COURTHOUSE             ,PB 168 - 097           T 23120   ,00000200000,P,0.0,20220120,CGC1524390      ,JOHN BELL CONSTRUCTION INC                                  ,{E0918EDB-96ED-46F1-9FEC-7217185DAB50},POINT (-80.19729023399998 25.777502449000053),0,Greater Downtown Miami,
71919,2022071652.0,350 NW 1 AVE                 ,600 NW 1ST AVE,200 ,C2022139959,0141370720090,0141370720090,N,FIRE,0032,FIRE SPRINKLERS                                             ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-08-09 00:00:00+00:00,20220829,00000000,00000000,00000000,C,A,2202,04,0062,BUILD OUT          ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041      T  23364        ,00000000000,P,2022053349.0,20220829,13000091        ,CITY FIRE PROTECTION INC                                    ,{5C2F26F7-489C-4249-8002-94DC293D3358},POINT (-80.19583815899995 25.780236158000037),0,Greater Downtown Miami,
72049,2021075312.0,400 NW 1 AVE                 ,450 NW 1ST AVE,    ,C2021166242,0141370720080,0141370720080,N,MECH,0041,MECHANICAL VENTILATION                                      ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-08-26 00:00:00+00:00,20211210,00000000,00000000,00000000,C,F,0420,22,0029,ADD TO EXHAUST FAN ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                 T 2336,00000000000,P,2021073902.0,20211210,CMC1249997      ,ATLANTIK MECHANICAL INC                                     ,{EAF3E667-44B1-43AD-BCA5-A80C0D66C111},POINT (-80.19570721699995 25.778338390000044),0,Greater Downtown Miami,
72616,2021053927.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2021113863,0141370230020,0141370230020,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-05-27 00:00:00+00:00,20210916,00000000,00000000,00000000,C,F,1822,03,0047,FIRE ALRAM         ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000000000,P,2021032971.0,20210916,EF20001045      ,METRO DADE SECURITY SYSTEM INC                              ,{D04540ED-C702-4C91-BBBF-53ECCD13B9F2},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
72841,2020032598.0,601 NW 1 CT                  ,601 NW 1ST CT,15FL,C2020066920,0131370340010,0131370340010,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-02-25 00:00:00+00:00,20200302,00000000,00000000,00000000,C,F,1822,03,0047,ACCESS CONTROL     ,OVERTOWN STATION                 ,PB 160-93   T13914               ,00000000000,P,2020006747.0,20200302,EF20001045      ,METRO DADE SECURITY SYSTEM INC                              ,{3B629947-7233-4E34-98CE-C8DAAA64DE47},POINT (-80.19656938699995 25.780247517000078),0,Greater Downtown Miami,
73270,2022009742.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2022011160,0141370230020,0141370230020,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-11-10 00:00:00+00:00,20220125,00000000,20220125,20220125,C,F,1822,03,0047,DRYWALL REPAIRS    ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000024000,P,0.0,20220125,CGC1508952      ,REGOSA ENGINEERING SERVICES INC                             ,{404F87F6-6A45-4186-95E7-C7BC2064CC19},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
73763,2021054958.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2021118293,0141370720120,0141370720120,N,PLUM,0001,PLUMBING                                                    ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-06-01 00:00:00+00:00,20210706,00000000,00000000,00000000,C,F,1421,22,0013,UP21365384OUT/8TH  ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2021043234.0,20210706,CFC019205       ,THE NEW MIAMI SHORES PLUMBING INC                           ,{826B38D9-641D-4F5F-AF99-EB437A0A3CCA},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
74271,2020041772.0,350 NW 1 AVE                 ,350 NW 1ST AVE,100 ,C2020092581,0141370720030,0141370720030,N,MECH,0010,HEATING                                                     ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-04-21 00:00:00+00:00,20200529,00000000,00000000,00000000,C,F,1822,22,0047,DUCT HEATERDOUT    ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                       ,00000000000,P,2019021376.0,20200529,CMC057200       ,MASTER MECHANICAL SERVICES INC                              ,{4A5FE3E0-80FA-4D3C-A4DD-A493BCCECD3E},POINT (-80.19543893499997 25.777205646000027),0,Greater Downtown Miami,
77359,2020069200.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020154642,0141370230020,0141370230020,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-08-31 00:00:00+00:00,20230104,20220810,00000000,00000000,C,F,1822,08,0047,REP ELV MACINE ROOM,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000990,P,0.0,20230104,EC13001529      ,AUSTEN ELECTRIC INC                                         ,{6F9AA653-795D-48DF-8E02-9CE4773A44DD},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
77806,2022002292.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2022002476,0141370230020,0141370230020,N,PLUM,0001,PLUMBING                                                    ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-10-12 00:00:00+00:00,20211215,00000000,00000000,00000000,C,F,1822,03,0047,RPLAC 2 SEWER RISER,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000085000,P,2022009742.0,20211215,CFC1427292      ,REGOSA ENGINEERING SERVICES INC                             ,{24695EDF-F6F2-467E-AB8C-259813B31D0A},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
78907,2020050381.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020109195,0141370230020,0141370230020,N,ELEC,0001,ELECTRICAL                                                  ,0032,DATA COMMUNICATION CABLES                                   ,0035,TELEPHONE AND COMMUNICATION                                 ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-06-09 00:00:00+00:00,20201224,00000000,00000000,00000000,C,F,1822,04,0047,SECURE ACC/ PARKING,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2020016265.0,20201224,08E000144       ,MIAMI DADE COUNTY GENERAL SERVICES ADMINISTRATION           ,{57A790D4-73B9-42E6-945B-C9BDD1CF7A72},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
80623,2022043163.0,101 WEST FLAGER ST           ,101 W FLAGLER ST,    ,C2020127497,0141370270010,0141370270010,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-04-12 00:00:00+00:00,20230105,00000000,00000000,00000000,C,A,1822,03,0047,INTERIOR BUILT OUT ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00001100000,P,0.0,20230105,CGC1518022      ,ALTA HOME REMODELING CO                                     ,{2B85D92F-386E-4DA9-B288-7D628333A5BB},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
81666,1996095505.0,490 NE 2 AVE                 ,490 NE 2ND AVE,    ,C1996161558,0101070901030,0101070901030,N,MECH,0006,ELEVATOR INSTALL                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,1996-06-20 00:00:00+00:00,00000000,00000000,00000000,00000000,C,E,1822,07,0047,                   ,MIAMI NORTH PB B-41              ,LOTS 1 2 & 3 LESS N15FT &        ,00000000000,P,0.0,00000000,ELV000149       ,MIAMI ELEVATOR COMPANY                                      ,{FA22394F-1653-4287-8B6D-C26617482837},POINT (-80.19063764499998 25.77863354300007),0,Greater Downtown Miami,
83205,2022045202.0,201 SW 10 ST                 ,285 SW 10TH ST,    ,C2021038213,0102060901120,0102060901120,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-04-20 00:00:00+00:00,20221027,00000000,00000000,00000000,C,A,0520,26,0065,TOWER              ,CITY OF MIAMI SOUTH   PB B-41    ,LOTS 13 THRU 20 INC   BLK 69     ,00029620630,P,0.0,20221027,CGC1531620      ,RELATED URBAN CONSTRUCTION LLC                              ,{561CF222-4559-4181-9C05-AC1BC0879192},POINT (-80.19848623299998 25.764708377000034),0,Greater Downtown Miami,
86586,2020043038.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020076829,0141370230020,0141370230020,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-04-29 00:00:00+00:00,20200608,00000000,00000000,00000000,C,E,1822,08,0047,GOV CENTER         ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000101600,P,0.0,20200608,CGC1519475      ,SUPER RESTORATION SERVICE CO                                ,{05E8CA04-FC9F-4545-8E0E-567D417A9A91},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
87501,2021004127.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2021006717,0141370230020,0141370230020,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-10-19 00:00:00+00:00,20210107,00000000,00000000,00000000,C,F,1421,03,0047,INT. ALT.          ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2021001607.0,20210107,EC0002170       ,FISK ELECTRIC COMPANY                                       ,{9CE10CFA-2457-4BD0-B350-7327DBC4BC90},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
90420,2021001607.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020155065,0141370230020,0141370230020,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-10-07 00:00:00+00:00,20210422,00000000,20210427,20210427,C,F,1421,03,0047,INT. ALT.          ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000144000,P,0.0,20210422,CGC040323       ,INTEGRAL CONSTRUCTION GROUP INC                             ,{07F60D19-99B7-4CFF-AE2F-E0055BDD9D96},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
90845,2020056589.0,225 NE 1 ST                  ,88 SE 4TH ST,    ,C2020128291,0101000000292,0101000000292,N,PLUM,0015,SITE UTILITIES                                              ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-07-07 00:00:00+00:00,20211119,00000000,00000000,00000000,C,F,1421,04,0017,CONCRETE RAMP      ,DOWNTOWN COMPONENT OF METRORAIL  ,PEOPLE MOVER RIGHT OF WAY &      ,00000000000,P,2019049670.0,20211119,CFC052664       ,DOUGLAS ORR PLUMBING INC                                    ,{8C8B6F0B-75A3-4DB2-9508-15962526CD24},POINT (-80.19261232299993 25.77097851700006),0,Greater Downtown Miami,
92505,1993210161.0,14 NE 1 AVE                  ,14 NE 1ST AVE,    ,C1993247601,0141370740001,0101110601170,,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,1993-05-10 00:00:00+00:00,00000000,00000000,00000000,00000000,C,E,1421,08,0013,                   ,MIAMI NORTH PB B-41              ,LOTS 19 & 20 LESS E10FT OF       ,00000001000,A,0.0,00000000,CGC019483       ,BAY RENOVATION CO.                                          ,{C581E175-3743-47B9-9C10-7CE2381D1FD8},POINT (-80.19218256399995 25.774508241000035),0,Greater Downtown Miami,
93077,2019036699.0,700 NW 1 AVE                 ,700 NW 1ST AVE,1620,C2019105297,0141370720120,0141370720120,N,ELEC,0026,TEMP SERVICE TEST & REPAIR                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2019-03-14 00:00:00+00:00,20200122,00000000,00000000,00000000,C,E,1421,22,0081,TEMP FOR TEST      ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2018013123.0,20200122,EC0001696       ,NEXTEP ELECTRIC INC                                         ,{16BF9D80-773E-4DC1-9109-D6CF23167CD6},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
93356,2021038313.0,700 NW 1 AVE     9 FLOOR     ,700 NW 1ST AVE,    ,C2021083361,0141370720120,0141370720120,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-03-26 00:00:00+00:00,20210514,00000000,00000000,00000000,C,F,1822,22,0013,DEMO 9TH FLOOR     ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2021037119.0,20210514,EC0002170       ,FISK ELECTRIC COMPANY                                       ,{047220F4-2967-4F22-B3A7-2B6DF9E24DED},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
94221,2020032655.0,601 NW 1 CT                  ,601 NW 1ST CT,15FL,C2020072651,0131370340010,0131370340010,N,FIRE,0032,FIRE SPRINKLERS                                             ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-02-25 00:00:00+00:00,20200306,00000000,00000000,00000000,C,F,1822,03,0047,FIRE SPRKLR/059/058,OVERTOWN STATION                 ,PB 160-93   T13914               ,00000000000,P,2020006747.0,20200306,FPC18000109     ,NATIONAL FIRE PROTECTION LLC                                ,{D4BE482A-AA47-48AF-A02E-99135E28ED17},POINT (-80.19656938699995 25.780247517000078),0,Greater Downtown Miami,
95391,2021071888.0,600 NE 2 AVE                 ,88 SE 4TH ST,    ,C2021156987,0101000000292,0101000000292,N,ELEC,0032,DATA COMMUNICATION CABLES                                   ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-08-11 00:00:00+00:00,20230110,00000000,00000000,00000000,C,F,1822,04,0017,UP21390387 0-654   ,DOWNTOWN COMPONENT OF METRORAIL  ,PEOPLE MOVER RIGHT OF WAY &      ,00000000000,P,2020041183.0,20230110,EC0000841       ,POWER DESIGN INC                                            ,{6A49D3A4-4F3F-4DC5-92ED-6A4F82E4A226},POINT (-80.19261232299993 25.77097851700006),0,Greater Downtown Miami,
96093,2021043235.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2021053596,0141370720120,0141370720120,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-04-16 00:00:00+00:00,20220209,00000000,20220209,20220209,C,F,1421,22,0013,INT BUILD OUT/9TH  ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00001765000,P,0.0,20220209,CGC1520509      ,PLAZA CONSTRUCTION GROUP FLORIDA LLC                        ,{082470E9-7BFB-4334-99E4-29BD1A340E58},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
96150,2022007389.0,701 NW 1 CT                  ,601 NW 1ST CT,    ,C2022014512,0131370340010,0131370340010,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-11-01 00:00:00+00:00,20220125,00000000,00000000,00000000,C,F,1822,03,0047,INST. 2-CT 4000 VCS,OVERTOWN STATION                 ,PB 160-93   T13914               ,00000000155,P,0.0,20220125,EC13003659      ,ECOLECTRIC COMPANY                                          ,{31C3A61A-6FAD-4FED-AE18-A811C743FF78},POINT (-80.19656938699995 25.780247517000078),0,Greater Downtown Miami,
