,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,avg_asking_rent,cleaned_sales_volume,cleaned_avg_price,cleaned_median_price,ppsqft
1059,Dongan Hills,Staten Island,26/Q1,Single-Family Home,Residential,"$5,003,000","$745,000","$1,000,600",5,,"$5,003,000","$1,000,600","$745,000",
1060,Dongan Hills,Staten Island,24/Q2,Multi-Family Dwelling,Residential,"$800,000",,,1,,"$800,000",,,
1061,Dongan Hills,Staten Island,25/Q2,Multi-Family Dwelling,Residential,"$33,726,643","$963,169","$1,053,958",32,,"$33,726,643","$1,053,958","$963,169",
1062,Dongan Hills,Staten Island,25/Q2,Single-Family Home,Residential,"$12,125,000","$820,000","$1,732,143",7,,"$12,125,000","$1,732,143","$820,000",
1063,Dongan Hills,Staten Island,25/Q3,Multi-Family Dwelling,Residential,"$17,563,828","$910,000","$878,191",20,,"$17,563,828","$878,191","$910,000",
1064,Dongan Hills,Staten Island,25/Q3,Single-Family Home,Residential,"$8,669,000","$790,000","$866,900",10,,"$8,669,000","$866,900","$790,000",
1065,Dongan Hills,Staten Island,24/Q4,Condo,Residential,"$283,920",,,1,,"$283,920",,,
1066,Dongan Hills,Staten Island,24/Q4,Multi-Family Dwelling,Residential,"$5,231,225","$620,000","$747,318",7,,"$5,231,225","$747,318","$620,000",
1067,Dongan Hills,Staten Island,24/Q4,Single-Family Home,Residential,"$885,000",,,1,,"$885,000",,,
1068,Dongan Hills,Staten Island,25/Q4,Co-op,Residential,"$625,000",,,2,,"$625,000",,,
1069,Dongan Hills,Staten Island,25/Q4,Multi-Family Dwelling,Residential,"$23,752,720","$999,000","$1,079,669",22,,"$23,752,720","$1,079,669","$999,000",
1070,Dongan Hills,Staten Island,25/Q4,Single-Family Home,Residential,"$9,951,500","$836,500","$995,150",10,,"$9,951,500","$995,150","$836,500",
1071,Douglaston,Queens,25/Q1,Co-op,Residential,"$2,078,500","$275,500","$346,417",6,,"$2,078,500","$346,417","$275,500",
1072,Douglaston,Queens,25/Q1,Multi-Family Dwelling,Residential,"$5,018,000",,,4,,"$5,018,000",,,
1073,Douglaston,Queens,25/Q1,Single-Family Home,Residential,"$21,181,844","$1,180,000","$1,176,769",18,,"$21,181,844","$1,176,769","$1,180,000",
1074,Douglaston,Queens,26/Q1,Co-op,Residential,"$1,281,000",,,4,,"$1,281,000",,,
1075,Douglaston,Queens,26/Q1,Multi-Family Dwelling,Residential,"$10,061,000","$812,000","$1,117,889",9,,"$10,061,000","$1,117,889","$812,000",
1076,Douglaston,Queens,26/Q1,Single-Family Home,Residential,"$26,274,800","$1,137,000","$1,382,884",19,,"$26,274,800","$1,382,884","$1,137,000",
1077,Douglaston,Queens,25/Q2,Co-op,Residential,"$3,473,808","$367,500","$434,226",8,,"$3,473,808","$434,226","$367,500",
1078,Douglaston,Queens,25/Q2,Multi-Family Dwelling,Residential,"$6,741,428",,,4,,"$6,741,428",,,
1079,Douglaston,Queens,25/Q2,Single-Family Home,Residential,"$21,296,880","$1,088,000","$1,252,758",17,,"$21,296,880","$1,252,758","$1,088,000",
1080,Douglaston,Queens,25/Q3,Co-op,Residential,"$2,857,888","$369,444","$476,315",6,,"$2,857,888","$476,315","$369,444",
1081,Douglaston,Queens,25/Q3,Multi-Family Dwelling,Residential,"$9,352,145","$1,594,573","$1,558,691",6,,"$9,352,145","$1,558,691","$1,594,573",
1082,Douglaston,Queens,25/Q3,Single-Family Home,Residential,"$21,072,776","$1,115,000","$1,317,049",16,,"$21,072,776","$1,317,049","$1,115,000",
1083,Douglaston,Queens,24/Q4,Co-op,Residential,"$332,000",,,1,,"$332,000",,,
1084,Douglaston,Queens,24/Q4,Multi-Family Dwelling,Residential,"$2,800,000",,,2,,"$2,800,000",,,
1085,Douglaston,Queens,24/Q4,Single-Family Home,Residential,"$3,689,400",,,2,,"$3,689,400",,,
1086,Douglaston,Queens,25/Q4,Co-op,Residential,"$1,378,000",,,4,,"$1,378,000",,,
1087,Douglaston,Queens,25/Q4,Multi-Family Dwelling,Residential,"$8,369,900","$1,240,000","$1,195,700",7,,"$8,369,900","$1,195,700","$1,240,000",
1088,Douglaston,Queens,25/Q4,Single-Family Home,Residential,"$25,920,517","$1,150,000","$1,234,310",21,,"$25,920,517","$1,234,310","$1,150,000",
1089,Downtown Brooklyn,Brooklyn,25/Q1,Co-op,Residential,"$18,810,970","$980,000","$1,106,528",17,4510.833333333333,"$18,810,970","$1,106,528","$980,000",
1090,Downtown Brooklyn,Brooklyn,25/Q1,Condo,Residential,"$42,995,185","$1,236,178","$1,482,593",29,4510.833333333333,"$42,995,185","$1,482,593","$1,236,178",
1091,Downtown Brooklyn,Brooklyn,26/Q1,Co-op,Residential,"$22,438,916","$569,000","$1,068,520",21,4828.5,"$22,438,916","$1,068,520","$569,000",
1092,Downtown Brooklyn,Brooklyn,26/Q1,Condo,Residential,"$24,325,209","$1,244,135","$1,351,400",18,4828.5,"$24,325,209","$1,351,400","$1,244,135",
1093,Downtown Brooklyn,Brooklyn,25/Q2,Co-op,Residential,"$39,383,580","$882,000","$1,270,438",31,4489.666666666667,"$39,383,580","$1,270,438","$882,000",
1094,Downtown Brooklyn,Brooklyn,25/Q2,Condo,Residential,"$26,579,495","$1,155,000","$1,265,690",21,4489.666666666667,"$26,579,495","$1,265,690","$1,155,000",
1095,Downtown Brooklyn,Brooklyn,25/Q3,Co-op,Residential,"$21,305,570","$620,000","$926,329",23,4466.666666666667,"$21,305,570","$926,329","$620,000",
1096,Downtown Brooklyn,Brooklyn,25/Q3,Condo,Residential,"$41,341,025","$1,264,000","$1,378,034",30,4466.666666666667,"$41,341,025","$1,378,034","$1,264,000",
1097,Downtown Brooklyn,Brooklyn,24/Q4,Co-op,Residential,"$5,337,522",,,3,,"$5,337,522",,,
1098,Downtown Brooklyn,Brooklyn,24/Q4,Condo,Residential,"$2,505,000",,,2,,"$2,505,000",,,
1099,Downtown Brooklyn,Brooklyn,25/Q4,Co-op,Residential,"$30,415,943","$989,500","$1,267,331",24,4515.0,"$30,415,943","$1,267,331","$989,500",
1100,Downtown Brooklyn,Brooklyn,25/Q4,Condo,Residential,"$25,930,000","$1,197,500","$1,296,500",20,4515.0,"$25,930,000","$1,296,500","$1,197,500",
1101,DUMBO,Brooklyn,25/Q1,Condo,Residential,"$52,416,166","$1,835,000","$2,496,008",21,5532.833333333333,"$52,416,166","$2,496,008","$1,835,000",
1102,DUMBO,Brooklyn,26/Q1,Co-op,Residential,"$2,200,000",,,1,,"$2,200,000",,,
1103,DUMBO,Brooklyn,26/Q1,Condo,Residential,"$83,320,325","$2,295,000","$2,975,726",28,5986.166666666667,"$83,320,325","$2,975,726","$2,295,000",
1104,DUMBO,Brooklyn,25/Q2,Co-op,Residential,"$4,140,000",,,2,,"$4,140,000",,,
1105,DUMBO,Brooklyn,25/Q2,Condo,Residential,"$79,890,100","$2,015,000","$2,420,912",33,6057.5,"$79,890,100","$2,420,912","$2,015,000",
1106,DUMBO,Brooklyn,25/Q3,Co-op,Residential,"$1,810,000",,,1,,"$1,810,000",,,
1107,DUMBO,Brooklyn,25/Q3,Condo,Residential,"$56,924,000","$1,787,500","$2,371,833",24,5622.833333333333,"$56,924,000","$2,371,833","$1,787,500",
1108,DUMBO,Brooklyn,24/Q4,Condo,Residential,"$22,736,000","$1,995,000","$3,248,000",7,5768.666666666667,"$22,736,000","$3,248,000","$1,995,000",
1109,DUMBO,Brooklyn,25/Q4,Condo,Residential,"$72,304,693","$2,374,900","$2,780,950",26,5402.166666666667,"$72,304,693","$2,780,950","$2,374,900",
1110,Dyker Heights,Brooklyn,25/Q1,Co-op,Residential,"$320,000",,,1,,"$320,000",,,
1111,Dyker Heights,Brooklyn,25/Q1,Condo,Residential,"$5,893,113","$884,656","$841,873",7,,"$5,893,113","$841,873","$884,656",
1112,Dyker Heights,Brooklyn,25/Q1,Multi-Family Dwelling,Residential,"$36,663,500","$1,520,000","$1,594,065",23,,"$36,663,500","$1,594,065","$1,520,000",
1113,Dyker Heights,Brooklyn,25/Q1,Single-Family Home,Residential,"$17,870,000","$1,225,000","$1,276,429",14,,"$17,870,000","$1,276,429","$1,225,000",
1114,Dyker Heights,Brooklyn,26/Q1,Co-op,Residential,"$1,244,000",,,4,,"$1,244,000",,,
1115,Dyker Heights,Brooklyn,26/Q1,Condo,Residential,"$6,916,770","$758,596","$768,530",9,,"$6,916,770","$768,530","$758,596",
1116,Dyker Heights,Brooklyn,26/Q1,Multi-Family Dwelling,Residential,"$20,603,640","$1,465,000","$1,584,895",13,,"$20,603,640","$1,584,895","$1,465,000",
1117,Dyker Heights,Brooklyn,26/Q1,Single-Family Home,Residential,"$12,091,000","$1,280,000","$1,343,444",9,,"$12,091,000","$1,343,444","$1,280,000",
1118,Dyker Heights,Brooklyn,25/Q2,Co-op,Residential,"$957,000",,,2,,"$957,000",,,
1119,Dyker Heights,Brooklyn,25/Q2,Condo,Residential,"$7,103,643","$760,000","$789,294",9,,"$7,103,643","$789,294","$760,000",
1120,Dyker Heights,Brooklyn,25/Q2,Multi-Family Dwelling,Residential,"$29,716,450","$1,388,000","$1,415,069",21,,"$29,716,450","$1,415,069","$1,388,000",
1121,Dyker Heights,Brooklyn,25/Q2,Single-Family Home,Residential,"$17,808,000","$1,145,000","$1,369,846",13,,"$17,808,000","$1,369,846","$1,145,000",
1122,Dyker Heights,Brooklyn,25/Q3,Co-op,Residential,"$485,000",,,1,,"$485,000",,,
1123,Dyker Heights,Brooklyn,25/Q3,Condo,Residential,"$8,317,015","$728,049","$693,085",12,,"$8,317,015","$693,085","$728,049",
1124,Dyker Heights,Brooklyn,25/Q3,Multi-Family Dwelling,Residential,"$32,867,000","$1,510,000","$1,493,955",22,,"$32,867,000","$1,493,955","$1,510,000",
1125,Dyker Heights,Brooklyn,25/Q3,Single-Family Home,Residential,"$20,523,000","$1,292,500","$1,282,688",16,,"$20,523,000","$1,282,688","$1,292,500",
1126,Dyker Heights,Brooklyn,24/Q4,Multi-Family Dwelling,Residential,"$7,579,134","$992,500","$1,263,189",6,,"$7,579,134","$1,263,189","$992,500",
1127,Dyker Heights,Brooklyn,24/Q4,Single-Family Home,Residential,"$1,025,000",,,1,,"$1,025,000",,,
1128,Dyker Heights,Brooklyn,25/Q4,Co-op,Residential,"$1,150,000",,,3,,"$1,150,000",,,
1129,Dyker Heights,Brooklyn,25/Q4,Condo,Residential,"$6,125,843","$550,000","$612,584",10,,"$6,125,843","$612,584","$550,000",
1130,Dyker Heights,Brooklyn,25/Q4,Multi-Family Dwelling,Residential,"$39,078,517","$1,450,000","$1,447,352",27,,"$39,078,517","$1,447,352","$1,450,000",
1131,Dyker Heights,Brooklyn,25/Q4,Single-Family Home,Residential,"$19,737,799","$1,099,000","$1,161,047",17,,"$19,737,799","$1,161,047","$1,099,000",
1132,East Elmont,Queens,25/Q1,Multi-Family Dwelling,Residential,"$13,843,000","$947,000","$988,786",14,,"$13,843,000","$988,786","$947,000",
1133,East Elmont,Queens,25/Q1,Single-Family Home,Residential,"$7,477,500","$792,500","$747,750",10,,"$7,477,500","$747,750","$792,500",
1134,East Elmont,Queens,26/Q1,Multi-Family Dwelling,Residential,"$4,880,246","$787,623","$813,374",6,,"$4,880,246","$813,374","$787,623",
1135,East Elmont,Queens,26/Q1,Single-Family Home,Residential,"$11,114,454","$990,000","$1,010,405",11,,"$11,114,454","$1,010,405","$990,000",
1136,East Elmont,Queens,23/Q2,Multi-Family Dwelling,Residential,"$346,000",,,1,,"$346,000",,,
1137,East Elmont,Queens,25/Q2,Multi-Family Dwelling,Residential,"$14,855,748","$1,010,000","$1,061,125",14,,"$14,855,748","$1,061,125","$1,010,000",
1138,East Elmont,Queens,25/Q2,Single-Family Home,Residential,"$2,737,000",,,4,,"$2,737,000",,,
1139,East Elmont,Queens,25/Q3,Multi-Family Dwelling,Residential,"$5,775,015","$840,846","$962,502",6,,"$5,775,015","$962,502","$840,846",
1140,East Elmont,Queens,25/Q3,Single-Family Home,Residential,"$7,795,600","$880,000","$866,178",9,,"$7,795,600","$866,178","$880,000",
1141,East Elmont,Queens,24/Q4,Multi-Family Dwelling,Residential,"$1,895,000",,,2,,"$1,895,000",,,
1142,East Elmont,Queens,24/Q4,Single-Family Home,Residential,"$850,000",,,1,,"$850,000",,,
1143,East Elmont,Queens,25/Q4,Multi-Family Dwelling,Residential,"$15,792,995","$1,150,000","$1,214,846",13,,"$15,792,995","$1,214,846","$1,150,000",
1144,East Elmont,Queens,25/Q4,Single-Family Home,Residential,"$6,975,000","$800,000","$775,000",9,,"$6,975,000","$775,000","$800,000",
1145,East Flushing,Queens,25/Q1,Co-op,Residential,"$4,954,424","$402,500","$412,869",12,,"$4,954,424","$412,869","$402,500",
1146,East Flushing,Queens,25/Q1,Condo,Residential,"$9,855,686","$512,199","$547,538",18,,"$9,855,686","$547,538","$512,199",
1147,East Flushing,Queens,25/Q1,Multi-Family Dwelling,Residential,"$21,615,000","$1,377,500","$1,350,938",16,,"$21,615,000","$1,350,938","$1,377,500",
1148,East Flushing,Queens,25/Q1,Single-Family Home,Residential,"$17,115,000","$1,024,500","$1,069,688",16,,"$17,115,000","$1,069,688","$1,024,500",
1149,East Flushing,Queens,26/Q1,Co-op,Residential,"$4,819,921","$376,500","$401,660",12,,"$4,819,921","$401,660","$376,500",
1150,East Flushing,Queens,26/Q1,Condo,Residential,"$8,297,545","$580,000","$592,682",14,,"$8,297,545","$592,682","$580,000",
1151,East Flushing,Queens,26/Q1,Multi-Family Dwelling,Residential,"$16,964,000","$1,660,000","$1,413,667",12,,"$16,964,000","$1,413,667","$1,660,000",
1152,East Flushing,Queens,26/Q1,Single-Family Home,Residential,"$21,250,388","$1,100,194","$1,062,519",20,,"$21,250,388","$1,062,519","$1,100,194",
1153,East Flushing,Queens,24/Q2,Co-op,Residential,"$625,000",,,2,,"$625,000",,,
1154,East Flushing,Queens,25/Q2,Co-op,Residential,"$5,452,500","$370,000","$363,500",15,,"$5,452,500","$363,500","$370,000",
1155,East Flushing,Queens,25/Q2,Condo,Residential,"$10,719,995","$595,293","$595,555",18,,"$10,719,995","$595,555","$595,293",
1156,East Flushing,Queens,25/Q2,Multi-Family Dwelling,Residential,"$11,092,770","$1,267,000","$1,232,530",9,,"$11,092,770","$1,232,530","$1,267,000",
1157,East Flushing,Queens,25/Q2,Single-Family Home,Residential,"$14,786,655","$989,000","$924,166",16,,"$14,786,655","$924,166","$989,000",
1158,East Flushing,Queens,25/Q3,Co-op,Residential,"$7,771,039","$402,000","$409,002",19,,"$7,771,039","$409,002","$402,000",
1159,East Flushing,Queens,25/Q3,Condo,Residential,"$8,606,859","$573,750","$614,776",14,,"$8,606,859","$614,776","$573,750",
1160,East Flushing,Queens,25/Q3,Multi-Family Dwelling,Residential,"$16,757,773","$1,400,000","$1,289,059",13,,"$16,757,773","$1,289,059","$1,400,000",
1161,East Flushing,Queens,25/Q3,Single-Family Home,Residential,"$20,352,000","$1,050,000","$1,071,158",19,,"$20,352,000","$1,071,158","$1,050,000",
1162,East Flushing,Queens,22/Q4,Single-Family Home,Residential,"$600,000",,,1,,"$600,000",,,
1163,East Flushing,Queens,24/Q4,Co-op,Residential,"$320,000",,,1,,"$320,000",,,
1164,East Flushing,Queens,24/Q4,Condo,Residential,"$2,680,593",,,4,,"$2,680,593",,,
1165,East Flushing,Queens,24/Q4,Multi-Family Dwelling,Residential,"$3,374,000",,,2,,"$3,374,000",,,
1166,East Flushing,Queens,24/Q4,Single-Family Home,Residential,"$6,063,600","$1,210,000","$1,212,720",5,,"$6,063,600","$1,212,720","$1,210,000",
1167,East Flushing,Queens,25/Q4,Co-op,Residential,"$5,612,000","$344,000","$350,750",16,,"$5,612,000","$350,750","$344,000",
1168,East Flushing,Queens,25/Q4,Condo,Residential,"$8,372,166","$580,000","$558,144",15,,"$8,372,166","$558,144","$580,000",
1169,East Flushing,Queens,25/Q4,Multi-Family Dwelling,Residential,"$32,592,156","$1,465,000","$1,481,462",22,,"$32,592,156","$1,481,462","$1,465,000",
1170,East Flushing,Queens,25/Q4,Single-Family Home,Residential,"$18,366,000","$1,074,000","$1,020,333",18,,"$18,366,000","$1,020,333","$1,074,000",
1171,East Harlem,Manhattan,24/Q1,Condo,Residential,"$375,000",,,1,,"$375,000",,,
1172,East Harlem,Manhattan,25/Q1,Co-op,Residential,"$4,390,000","$640,000","$627,143",7,2891.6666666666665,"$4,390,000","$627,143","$640,000",
1173,East Harlem,Manhattan,25/Q1,Condo,Residential,"$14,007,596","$625,000","$737,242",19,2891.6666666666665,"$14,007,596","$737,242","$625,000",
1174,East Harlem,Manhattan,25/Q1,Multi-Family Dwelling,Residential,"$3,810,000",,,2,,"$3,810,000",,,
1175,East Harlem,Manhattan,26/Q1,Co-op,Residential,"$2,592,000","$478,500","$432,000",6,2964.1666666666665,"$2,592,000","$432,000","$478,500",
1176,East Harlem,Manhattan,26/Q1,Condo,Residential,"$14,788,261","$659,826","$704,203",21,2964.1666666666665,"$14,788,261","$704,203","$659,826",
1177,East Harlem,Manhattan,25/Q2,Co-op,Residential,"$6,978,000","$590,000","$697,800",10,3061.6666666666665,"$6,978,000","$697,800","$590,000",
1178,East Harlem,Manhattan,25/Q2,Condo,Residential,"$12,189,500","$660,000","$761,844",16,3061.6666666666665,"$12,189,500","$761,844","$660,000",
1179,East Harlem,Manhattan,25/Q2,Multi-Family Dwelling,Residential,"$8,843,835","$1,800,000","$1,768,767",5,3061.6666666666665,"$8,843,835","$1,768,767","$1,800,000",
1180,East Harlem,Manhattan,25/Q2,Single-Family Home,Residential,"$1,825,000",,,1,,"$1,825,000",,,
1181,East Harlem,Manhattan,25/Q3,Co-op,Residential,"$7,285,000","$550,000","$662,273",11,3145.6666666666665,"$7,285,000","$662,273","$550,000",
1182,East Harlem,Manhattan,25/Q3,Condo,Residential,"$16,235,000","$690,000","$854,474",19,3145.6666666666665,"$16,235,000","$854,474","$690,000",
1183,East Harlem,Manhattan,25/Q3,Multi-Family Dwelling,Residential,"$4,184,204",,,2,,"$4,184,204",,,
1184,East Harlem,Manhattan,24/Q4,Co-op,Residential,"$1,165,000",,,2,,"$1,165,000",,,
1185,East Harlem,Manhattan,24/Q4,Condo,Residential,"$2,240,000",,,4,,"$2,240,000",,,
1186,East Harlem,Manhattan,24/Q4,Multi-Family Dwelling,Residential,"$3,549,000",,,2,,"$3,549,000",,,
1187,East Harlem,Manhattan,25/Q4,Co-op,Residential,"$2,954,550","$455,000","$422,079",7,2998.0,"$2,954,550","$422,079","$455,000",
1188,East Harlem,Manhattan,25/Q4,Condo,Residential,"$17,462,522","$591,445","$646,760",27,2998.0,"$17,462,522","$646,760","$591,445",
1189,East Harlem,Manhattan,25/Q4,Multi-Family Dwelling,Residential,"$4,185,000",,,2,,"$4,185,000",,,
1190,East New York,Brooklyn,25/Q1,Co-op,Residential,"$310,000",,,1,,"$310,000",,,
1191,East New York,Brooklyn,25/Q1,Condo,Residential,"$1,093,823",,,3,,"$1,093,823",,,
1192,East New York,Brooklyn,25/Q1,Multi-Family Dwelling,Residential,"$71,228,520","$855,000","$837,983",85,,"$71,228,520","$837,983","$855,000",
1193,East New York,Brooklyn,25/Q1,Single-Family Home,Residential,"$13,027,685","$624,750","$566,421",23,,"$13,027,685","$566,421","$624,750",
1194,East New York,Brooklyn,26/Q1,Condo,Residential,"$2,431,040","$401,683","$405,173",6,,"$2,431,040","$405,173","$401,683",
1195,East New York,Brooklyn,26/Q1,Multi-Family Dwelling,Residential,"$54,910,635","$830,000","$807,509",68,,"$54,910,635","$807,509","$830,000",
1196,East New York,Brooklyn,26/Q1,Single-Family Home,Residential,"$11,708,708","$646,350","$616,248",19,,"$11,708,708","$616,248","$646,350",
1197,East New York,Brooklyn,24/Q2,Single-Family Home,Residential,"$440,000",,,1,,"$440,000",,,
1198,East New York,Brooklyn,25/Q2,Condo,Residential,"$1,348,375",,,4,,"$1,348,375",,,
1199,East New York,Brooklyn,25/Q2,Multi-Family Dwelling,Residential,"$61,130,385","$835,000","$837,403",73,,"$61,130,385","$837,403","$835,000",
1200,East New York,Brooklyn,25/Q2,Single-Family Home,Residential,"$14,923,223","$572,500","$573,970",26,,"$14,923,223","$573,970","$572,500",
1201,East New York,Brooklyn,24/Q3,Condo,Residential,"$325,494",,,1,,"$325,494",,,
1202,East New York,Brooklyn,24/Q3,Multi-Family Dwelling,Residential,"$656,250",,,1,,"$656,250",,,
1203,East New York,Brooklyn,24/Q3,Single-Family Home,Residential,"$436,454",,,1,,"$436,454",,,
1204,East New York,Brooklyn,25/Q3,Condo,Residential,"$1,504,000",,,4,,"$1,504,000",,,
1205,East New York,Brooklyn,25/Q3,Multi-Family Dwelling,Residential,"$71,254,098","$840,000","$819,013",87,,"$71,254,098","$819,013","$840,000",
1206,East New York,Brooklyn,25/Q3,Single-Family Home,Residential,"$17,419,519","$713,800","$696,781",25,,"$17,419,519","$696,781","$713,800",
1207,East New York,Brooklyn,24/Q4,Multi-Family Dwelling,Residential,"$13,153,424","$930,000","$876,895",15,,"$13,153,424","$876,895","$930,000",
1208,East New York,Brooklyn,24/Q4,Single-Family Home,Residential,"$6,616,188","$665,000","$661,619",10,,"$6,616,188","$661,619","$665,000",
1209,East New York,Brooklyn,25/Q4,Condo,Residential,"$1,455,270",,,4,,"$1,455,270",,,
1210,East New York,Brooklyn,25/Q4,Multi-Family Dwelling,Residential,"$74,634,344","$890,000","$838,588",89,,"$74,634,344","$838,588","$890,000",
1211,East New York,Brooklyn,25/Q4,Single-Family Home,Residential,"$9,361,028","$664,085","$668,645",14,,"$9,361,028","$668,645","$664,085",
1212,East Tremont,Bronx,25/Q1,Multi-Family Dwelling,Residential,"$4,310,000","$632,500","$718,333",6,,"$4,310,000","$718,333","$632,500",
1213,East Tremont,Bronx,25/Q1,Single-Family Home,Residential,"$1,327,000",,,2,,"$1,327,000",,,
1214,East Tremont,Bronx,26/Q1,Multi-Family Dwelling,Residential,"$4,186,000",,,4,,"$4,186,000",,,
1215,East Tremont,Bronx,26/Q1,Single-Family Home,Residential,"$1,950,000",,,2,,"$1,950,000",,,
1216,East Tremont,Bronx,25/Q2,Multi-Family Dwelling,Residential,"$6,462,000","$690,000","$718,000",9,,"$6,462,000","$718,000","$690,000",
1217,East Tremont,Bronx,25/Q2,Single-Family Home,Residential,"$1,694,450",,,3,,"$1,694,450",,,
1218,East Tremont,Bronx,25/Q3,Multi-Family Dwelling,Residential,"$10,266,670","$825,000","$789,744",13,,"$10,266,670","$789,744","$825,000",
1219,East Tremont,Bronx,25/Q3,Single-Family Home,Residential,"$1,135,000",,,2,,"$1,135,000",,,
1220,East Tremont,Bronx,24/Q4,Multi-Family Dwelling,Residential,"$950,000",,,1,,"$950,000",,,
1221,East Tremont,Bronx,25/Q4,Multi-Family Dwelling,Residential,"$10,730,000","$800,000","$825,385",13,,"$10,730,000","$825,385","$800,000",
1222,East Tremont,Bronx,25/Q4,Single-Family Home,Residential,"$3,215,000","$640,000","$643,000",5,,"$3,215,000","$643,000","$640,000",
1223,East Village,Manhattan,25/Q1,Co-op,Residential,"$29,536,115","$886,000","$1,054,861",28,4300.0,"$29,536,115","$1,054,861","$886,000",
1224,East Village,Manhattan,25/Q1,Condo,Residential,"$30,437,232","$1,500,000","$1,601,960",19,4300.0,"$30,437,232","$1,601,960","$1,500,000",
1225,East Village,Manhattan,26/Q1,Co-op,Residential,"$29,737,538","$645,000","$901,138",33,4997.5,"$29,737,538","$901,138","$645,000",
1226,East Village,Manhattan,26/Q1,Condo,Residential,"$26,155,000","$1,450,000","$1,538,529",17,4997.5,"$26,155,000","$1,538,529","$1,450,000",
1227,East Village,Manhattan,22/Q2,Co-op,Residential,"$844,000",,,1,,"$844,000",,,
1228,East Village,Manhattan,25/Q2,Co-op,Residential,"$27,215,500","$700,000","$907,183",30,4891.666666666667,"$27,215,500","$907,183","$700,000",
1229,East Village,Manhattan,25/Q2,Condo,Residential,"$35,299,851","$1,660,000","$1,857,887",19,4891.666666666667,"$35,299,851","$1,857,887","$1,660,000",
1230,East Village,Manhattan,25/Q2,Multi-Family Dwelling,Residential,"$6,350,000",,,1,,"$6,350,000",,,
1231,East Village,Manhattan,24/Q3,Co-op,Residential,"$1,602,500",,,1,,"$1,602,500",,,
1232,East Village,Manhattan,25/Q3,Co-op,Residential,"$42,877,500","$760,000","$974,489",44,4984.166666666667,"$42,877,500","$974,489","$760,000",
1233,East Village,Manhattan,25/Q3,Condo,Residential,"$24,191,188","$1,781,425","$1,727,942",14,4984.166666666667,"$24,191,188","$1,727,942","$1,781,425",
1234,East Village,Manhattan,24/Q4,Co-op,Residential,"$1,065,000",,,2,,"$1,065,000",,,
1235,East Village,Manhattan,24/Q4,Single-Family Home,Residential,"$6,500,000",,,1,,"$6,500,000",,,
1236,East Village,Manhattan,25/Q4,Co-op,Residential,"$33,455,518","$860,000","$983,986",34,4813.333333333333,"$33,455,518","$983,986","$860,000",
1237,East Village,Manhattan,25/Q4,Condo,Residential,"$38,012,648","$1,515,000","$1,810,126",21,4813.333333333333,"$38,012,648","$1,810,126","$1,515,000",
1238,East Williamsburg,Brooklyn,25/Q1,Co-op,Residential,"$635,000",,,1,,"$635,000",,,
1239,East Williamsburg,Brooklyn,25/Q1,Condo,Residential,"$98,336,683","$1,330,713","$1,446,128",68,,"$98,336,683","$1,446,128","$1,330,713",
1240,East Williamsburg,Brooklyn,25/Q1,Multi-Family Dwelling,Residential,"$18,435,000","$1,850,000","$2,048,333",9,,"$18,435,000","$2,048,333","$1,850,000",
1241,East Williamsburg,Brooklyn,25/Q1,Single-Family Home,Residential,"$6,525,000",,,3,,"$6,525,000",,,
1242,East Williamsburg,Brooklyn,26/Q1,Co-op,Residential,"$1,465,000",,,3,,"$1,465,000",,,
1243,East Williamsburg,Brooklyn,26/Q1,Condo,Residential,"$56,686,041","$979,000","$1,206,086",47,,"$56,686,041","$1,206,086","$979,000",
1244,East Williamsburg,Brooklyn,26/Q1,Multi-Family Dwelling,Residential,"$8,835,000","$1,450,000","$1,767,000",5,,"$8,835,000","$1,767,000","$1,450,000",
1245,East Williamsburg,Brooklyn,26/Q1,Single-Family Home,Residential,"$3,415,000",,,1,,"$3,415,000",,,
1246,East Williamsburg,Brooklyn,19/Q2,Multi-Family Dwelling,Residential,"$866,007",,,1,,"$866,007",,,
1247,East Williamsburg,Brooklyn,25/Q2,Co-op,Residential,"$922,999",,,2,,"$922,999",,,
1248,East Williamsburg,Brooklyn,25/Q2,Condo,Residential,"$94,062,410","$1,375,047","$1,383,271",68,,"$94,062,410","$1,383,271","$1,375,047",
1249,East Williamsburg,Brooklyn,25/Q2,Multi-Family Dwelling,Residential,"$28,367,000","$2,117,000","$2,182,077",13,,"$28,367,000","$2,182,077","$2,117,000",
1250,East Williamsburg,Brooklyn,25/Q2,Single-Family Home,Residential,"$5,715,000",,,2,,"$5,715,000",,,
1251,East Williamsburg,Brooklyn,25/Q3,Co-op,Residential,"$899,000",,,2,,"$899,000",,,
1252,East Williamsburg,Brooklyn,25/Q3,Condo,Residential,"$85,308,086","$1,320,000","$1,375,937",62,,"$85,308,086","$1,375,937","$1,320,000",
1253,East Williamsburg,Brooklyn,25/Q3,Multi-Family Dwelling,Residential,"$32,464,348","$2,355,000","$2,497,258",13,,"$32,464,348","$2,497,258","$2,355,000",
1254,East Williamsburg,Brooklyn,25/Q3,Single-Family Home,Residential,"$1,825,000",,,1,,"$1,825,000",,,
1255,East Williamsburg,Brooklyn,24/Q4,Condo,Residential,"$16,629,076","$1,225,000","$1,385,756",12,,"$16,629,076","$1,385,756","$1,225,000",
