CompanyName,TotalCost,CompanyName,RemSQFT
Madison Construction Group Inc,828093.0,12,4148.0
TWENTY TWO GROUP LLC,827663.0,7,5619.0
LATITE ROOFING AND SHEET METAL LLC,826976.0,14,0.0
 Leverage Windows LLC,825964.0,11,0.0
Levy WJ Air Conditioning Services Inc,825018.0,24,70057.0
CWP Plumbing LLC ,823034.0,2,0.0
GRACO CONSTRUCTION GROUP  INC,823003.0,10,8009.0
COURNOYER MECHANICAL INDUSTRIES LLC,821340.0700000001,30,83374.0
ANDCON LLC,819788.0,6,8033.0
KP Roofing Masters LLC,819107.0,11,0.0
SHOVEL CONSTRUCTION LLC,818447.0,9,11126.0
Elite Electric Inc,818296.6,29,12491.0
ECONOMY FIRE PROTECTION INC,817153.0,3,0.0
Optimum Contractors Inc.,816789.0,31,0.0
BELLTECH ELECTRIC  INC. ,816587.0,3,44875.0
GREEN SOLUTIONS SOLAR & RENOVATIONS LLC,815788.0,78,0.0
ARANGO ELECTRIC INCORPORATED,813900.0,25,987.0
JNC CONSTRUCTION  INC. ,810339.0,2,9261.0
FENCE MASTERS INC,809143.0,7,0.0
MEG CONSTRUCTION INC,809060.0,12,12838.0
FLORIDA POWER QUALITY SOLUTIONS  INC,807801.0,10,10061.0
A.T. ELECTRICAL CONTRACTORS INC,805455.0,36,25689.0
MANAGEMENT RESOURCES SYSTEMS INC,801163.0,2,8449.0
TOWER CONSTRUCTION MANAGEMENT LLC,800365.0,1,9147.0
TYCO INTEGRATED SECURITY LLC DBA JOHNSON CONTROLS SECURITY SOLUTIONS LLC,798895.0,26,0.0
DECO SOUND,796303.0,18,7065.0
LIUCON DEVELOPMENT SERIES LLC,795800.0,11,0.0
CATALYST DESIGN AND CONSTRUCTION LLC,794500.0,6,0.0
BLUE MARLIN HOME SERVICES INC,793238.0,19,7131.0
SUMMIT DESIGN + BUILD INC.,790500.0,1,9000.0
SHORE CONSTRUCTION INC,790314.0,27,0.0
Unique Structures  LLC,790310.0,2,8032.0
A.P.A. PLUMBING CORPORATION,789600.0,49,9983.0
ZARABYSON CONSTRUCTION  INC. ,788076.0,6,4518.0
LA BUILDING CONSTRUCTION CORP,787773.0,32,1213.0
PERFORMANCE GLAZING SOLUTIONS LLC.,787600.0,4,0.0
Tua Minority Builder  LLC,787413.0,1,8999.0
TRUPROOF  INC.,786000.0,5,0.0
LLERANDI QUALITY POOLS INC,784684.0,44,0.0
VALUE PLUMBING SERVICES INC.,783833.0,9,108976.0
Equity Development Group  LLC/DBA Comet Construction,781022.0,2,5720.0
ANDREU & ASSOCIATES INC,779750.0,5,84329.0
R & M SYSTEMS GROUP INC.,778925.2,22,17047.0
EVORA INVESTMENT INC,778204.0,14,1691.0
James M Barb Construction Inc.,777000.0,3,7320.0
ALL ABOUT CONSTRUCTION INC,776666.0,55,11328.0
Garden City EP  LLC,776354.0,22,0.0
ELECTRICAL HORSE POWER INC,776235.2,16,13764.0
Zero Nine Construction Management LLC,775560.0,12,0.0
DANCO CONSTRUCTION CORP,775000.0,2,8549.0
AG Contractors Corp,774379.0,8,1200.0
South Florida Electrical Consultants Inc,774334.0,10,33076.0
ADVANCED FIRE SPRINKLERS  LLC ,773246.0,28,0.0
Terranova Construction Group Inc,772626.0,5,0.0
NEW SERVICE COMPANY,772575.0,23,60633.0
BANDKLAYDER DEVELOPMENT LLC,772200.0,9,0.0
Metro Dade Security Systems,771669.0,31,0.0
TITAN TECHNOLOGIES INTEGRATION  INC,771100.0,9,600.0
Weather Tech Roofing & Waterproofing  INC.,770649.0,4,0.0
J&C CONSTRUCTION LLC,770000.0,2,200.0
GUZMAN DEVELOPING COMPANY,769100.0,19,0.0
Dominion Builders LLC,768500.0,4,5272.0
RICK DEVELOPER INC,767974.0,12,0.0
TWS FABRICATORS INC.,767500.0,8,0.0
TINOS CONSTRUCTION CORP,766745.0,8,9009.0
FERRO BUILDERS GROUP  LLC,765368.0,16,3848.0
VENUR CONSTRUCTION  LLC.,764760.0,2,0.0
SOLUTION CONSTRUCTION  INC,764101.0,30,127.0
ROYAL AMERICAN CONSTRUCTION COMPANY INC.,761615.0,11,0.0
Quest Construction Engineering  Inc.,761490.0,42,13708.0
LAG Enterprises USA LLC,760040.0,16,6007.0
CONSTRUCTECH GROUP  INC.,759325.0,4,800.0
HIDALGO CONSTRUCTION COMPANY ,759000.0,2,2535.0
Securitas Technology Corporation,758924.0,25,0.0
Mowzoon Development ,758251.0,3,7414.0
WESTCOAST MECHANICAL CONTRACTORS LLC,758123.0,5,424390.0
CASTINA CONSTRUCTION INC,754146.0,15,1021.0
BLF ELECTRIC INC,753500.2,56,7571.0
PISCES POOL & CONSTRUCTION CORP ,753500.0,37,0.0
ASTA DEVELOPERS  LLC,753001.0,2,0.0
MANAGEMENT & CONSULTING INC,752901.0,32,24423.0
ALARTECH  INC.,751136.0,25,10072.0
TRULINE CONSTRUCTION LLC,751000.0,11,0.0
ETHICS LOYALTY SERVICE CONSTRUCTION  INC,750000.0,1,4859.0
Kerney & Associates Inc,750000.0,2,1500.0
Sierra Commercial Construction Inc,749410.0,6,6640.0
ARC Electrical Corporation,748820.0,38,24585.0
MG EXCELLENT SERVICES CORP,748795.0,51,28398.0
GM ELECTRICAL CONTRACTORS INC,747237.2,59,25658.0
Ikon Builders,745300.0,22,0.0
STRUCTURAL GREEN INC,745000.0,7,0.0
Kilby Electric Co.,742101.8,25,21748.0
CITY ENGINEERING CONTRACTORS INC,741000.0,26,11203.0
XTRM CONSTRUCTION CORP,740600.0,14,80.0
TRITON WINDOW DISTRIBUTORS INC,740426.0,36,0.0
Vicon Electric Inc.,739367.0,27,15098.0
LITECRETE INC,739192.0,19,0.0
M.D.S. Builders Inc.,738500.0,2,2669.0
WINDGLASS SOLUTION INC ,737871.0,20,0.0
ZIA CONSTRUCTION LLC,737717.45,23,11471.0
Oscar Air Conditioning Inc,736875.0,25,31943.0
Corner Contracting Inc,735276.0,6,7824.0
RALLY CONSTRUCTION CORP,735000.0,2,202.0
Prosperity Quality Services Inc,735000.0,9,0.0
Fla Construction Group Inc,734135.0,10,1766.0
PERMAX GROUP INC.dba ALL STATE ENGINEERING & CONSULTANTS,733108.0,11,5333.0
SOUTH BEACH PLUMBING CONTRACTOR INC,731175.0,18,97182.0
JOINT ELECTRIC INC,731135.2,29,33860.0
THORNTON CONSTRUCTION COMPANY INC.,727775.0,10,100.0
Only Electric Company Inc.,727540.0,40,22342.0
OZ CONSTRUCTION SERVICES GROUP  INC,726253.1,25,2840.0
GLOBAL PRESTIGE DEVELOPMENT GROUP INC,725676.0,12,200.0
Prime Window and Door Inc.,725105.0,35,0.0
MCGILVRAY MECHANICAL  LLC ,725000.0,5,111010.0
D & J CONSTRUCTION INC. ,724501.0,3,4000.0
A & E BROTHERS ROOFING  INC. ,724300.0,15,0.0
SKY WERK DEVELOPMENT LLC,723576.0,5,7060.0
WEATHERMAKERS ELECTRIC CONTRACTORS LLC,722543.6,17,11220.0
ROC PROPERTY DEVELOPERS LLC,721416.0,23,5686.0
GOFF COMMUNICATIONS INC,721308.0,24,0.0
PYD Electric Corporation,721290.2,19,32314.0
CORE RESTORATION LLC,721000.0,8,3480.0
UNITED FIRE PROTECTION,718900.0,16,0.0
Construction Developer Group Corp,717100.0,9,5761.0
TROPICAL PLUMBING CONTRACTOR  INC.,715000.0,3,4515.0
QUAMEC CORP,714970.0,26,28356.0
Camaguey Electrical Services Corp.,714035.2,49,22880.0
DESIGN PLUS CONSTRUCTION LLC,712000.0,12,11394.0
EAST SUNRISE PLUMBING INC.,710500.0,18,83464.0
DOGA CONSTRUCTION INC,709751.0,11,1380.0
AIRFLOW CORP,709600.0,10,41910.0
Cypress Construction Group LLC,709120.0,24,0.0
Bruno Construction Corp,708952.0,8,5241.0
Nationwide Fire Sprinklers Inc,708600.0,5,0.0
WESTERN WATERPROOFING COMPANY OF AMERICA DBA Western Specialty Contractors of America,707850.0,8,0.0
IDEACOM HEALTHCARE COMMUNICATIONS OF FL INC,706918.0,5,0.0
Constructive Consulting Services,704452.0,23,4534.0
Vintage Window Corp.,704228.0,10,0.0
M & S CONSTRUCTION MANAGEMENT & SOLUTIONS LLC,702640.0,17,6334.0
ECOTECH MECHANICAL CONTRACTORS CORP,701735.0,28,36266.0
ATLANTIC COAST CONSTRUCTION INC,701000.0,12,11948.0
JLK CAULKING AND COATINGS COMPANY ,700595.0,1,0.0
WSA SYSTEMSBOCA INC,700000.0,1,0.0
RAM General Contracting & Development INC,700000.0,1,5576.0
Pemberton Building Inc,700000.0,1,3560.0
FLORIDA STATE PLUMBING  INC,700000.0,5,2800.0
ALTA HOME REMODELING CO. ,699108.0,5,5541.0
BYTEWISE SOLUTIONS INC,698500.0,5,0.0
ALLURE PLUMBING CORP.,697500.0,20,36110.0
UNLIMITED SERVICES AIR CONDITIONING INC,696400.0,27,0.0
Diaz Isern Lighting Corp.,695200.0,14,3329.0
THE ADT SECURITY CORPORATION,694808.0,31,0.0
E & E SYSTEMS INC,692345.0,21,0.0
MP CONSTRUCTION GROUP LLC,690500.0,6,0.0
SOUTH FLORIDA RESTORATION INC,690396.0,11,2565.0
DOWNRITE ENGINEERING CORP,690000.0,7,0.0
RED BEAM CONSTRUCTION GROUP INC,689639.0,14,13478.0
HITECH ELECTRIC & FIRE CORP,689330.0,47,25828.0
Stan Bulbin Custom Builders Inc ,687251.0,13,776.0
ETEK Fire Alarms Inc.,687200.0,12,0.0
COASTAL FIRE PROTECTION INC,686562.0,3,0.0
PLF CONSTRUCTION GROUP  LLC,686470.0,8,11102.0
MPBX  INC .,686290.0,16,0.0
OTTO PLUMBING INC,685000.0,20,50249.0
TRITECH CONSTRUCTION  INC.,684444.33,1,0.0
RAFLO CONSTRUCTION GROUP LLC,684255.0,58,7043.0
Dial Plus Plumbing Corp,684140.0,73,32789.0
Evanston Contracting INC,683760.0,2,34192.0
PARADISE EXTERIORS LLC ,683651.0,42,0.0
RAIRCON CONSTRUCTION CORP,682304.0,15,470.0
CHILLS AIR CONDITIONING SERVICE INC,681000.0,16,52579.0
OMMEC LLC,679829.4,11,1613.0
WSE FIRE & SECURITY SYSTEM,679391.0,55,0.0
Gables Window & Door LLC,675153.0,18,0.0
COHEN CONSTRUCTION INC.,675000.0,1,3363.0
Firematic Sprinklers Inc.,674150.0,56,0.0
Cherokee Enterprises Inc.,672451.0,9,592.0
JVP Construction Group Inc ,672331.0,3,480.0
DW HOMEWORKS INC,670626.0,6,7968.0
Xemax Construction Corp,670621.0,4,433.0
R H DESIGN & ASSOCIATES  INC. ,669598.0,12,0.0
American Power Electric Corp,667803.0,47,21369.0
AIR ZONE SYSTEM LLC,667500.0,4,172512.0
ALISAEZ AIR CONDITIONING INC,664760.0,47,26103.0
GRAY DOLPHIN POOLS & CONSTRUCTION INC,664520.0,32,0.0
ISLAND PLUMBING CO,664200.0,72,41211.0
AD Electrical Services Inc.,662630.0,21,89586.0
MULLER FIRE PROTECTION INC,659435.0,31,0.0
GREEN AND SMART TECHNOLOGY INC,652614.4,25,17923.0
Construction & Consulting Contractors LLC,652475.0,28,11638.0
SIGMA CONSTRUCTION CORP,652000.0,10,16041.0
TRINITY CONSTRUCTION GROUP  LLC,651875.0,1,7450.0
THE WALKER CONTRACTING GROUP INC ,650005.0,2,5580.0
Nexus Construction And Design LLC,649425.0,6,4821.0
DELUXE WATERPROOFING & CAULKING INC,648810.0,7,0.0
Master Mechanical Services,648598.0,23,55556.0
WAAS CONSTRUCTION COMPANY INC,648596.94,2,13182.0
Structura LLC,645400.0,10,1.0
ARKEST LLC ,645000.0,2,8000.0
Elite Gas Contractor Inc.,644950.0,38,500902.0
Doubleday Engineering LLC,644751.0,8,100.0
CUJAM GENERAL CONTRACTORS INC,644172.0,14,0.0
POWERHOUSE RETAIL SERVICES LLC,642625.0,5,63484.0
ARAGON ELECTRIC LLC ,641920.0,12,17815.0
O & J Electric Corp,641700.0,23,29176.0
E&E Construction Company Inc,640915.0,9,0.0
AMERICAN BUILDERS MASTERS CORP,639151.0,27,8800.0
EXCELL REFRIGERATION  INC. ,638695.0,3,0.0
Airstron,635800.0,5,19994.0
ESTRUTURA LLC,635348.0,7,9146.0
WM BUILDERS USA LLC ,633601.0,12,8342.0
CALIMA INVESTMENTS  INC,633100.0,3,5893.0
B & K CONTRACTOR SERVICES INC,632651.0,3,0.0
Powertech Electric LLC,632495.0,34,21009.0
FAOUR GLASS TECHNOLOGIES,631305.0,5,0.0
ARISTONE INTERIORS INC,631180.0,9,1289.0
RISKAS CONSTRUCTION CORP,629638.0,2,7173.0
EZ CAULKING & WATERPROOFING INC,629100.0,5,0.0
Sunshine Electric 24/7 LLC,626600.0,7,15375.0
Marman Construction Inc.,626205.0,46,1444.0
BLUENEST DEVELOPMENT LLC ,626105.0,11,0.0
Paya Construction Management LLC,626067.0,27,4696.0
STUDIO PISATI INC,626000.0,5,4300.0
Elkis Construction Inc.,625447.0,13,5054.0
AJ Specialty General Contractor  CORP,625160.0,7,6490.0
ENERGIZER ELECTRIC LLC,624962.8,17,36661.0
DEKORA  LLC ,624186.0,14,17000.0
ALEF CONSTRUCTION GROUP LLC,624036.0,3,3710.0
FRG Development & Construction Inc.,621247.0,7,2736.0
DN CONSTRUCTION COMPANY INC,621200.0,10,3000.0
XPERT CONTRACTOR LLC,621100.0,18,0.0
NAVARRO PLUMBING & MECHANICAL CO.,620450.0,40,61371.0
 UDBARDY CONSTRUCTION,620101.0,17,5379.0
H. Lamm Industries,619970.0,8,61775.0
BLACK FIN CONTRACTORS L.L.C,619775.0,6,2124.0
Jr Construction & Consultant Inc.,619650.0,33,8675.0
FVA26 LLC,619332.0,6,3082.0
Assurance Property Services Group Inc DBA Assurance Roofing Services,618110.0,4,0.0
ARRIVED ELECTRIC INC,617347.0,29,15482.0
AST ELECTRIC INC,615875.4,24,27773.0
COASTAL SCREEN & RAIL  LLC,615500.0,18,0.0
PRIME MASTER DESIGN  INC. ,615000.0,22,57722.0
C.R. MECHANICAL CONTRACTOR  INC. ,615000.0,4,29583.0
Sybaris Interiors Inc ,613271.0,72,220.0
EIRANOVA ELECTRICAL CORP,612517.6,21,13681.0
HARTKOPF CONSTRUCTION COMPANY INC ,612363.0,7,5326.0
POWERLINE ELECTRIC CO.,612253.0,30,25682.0
Island Fence of Dade,611946.0,51,0.0
Lock Tight Impact Windows and Doors INC.,611498.0,33,200.0
PINNACLE CUSTOM HOMES INC,611250.0,5,0.0
JCPC HOLDINGS LLC,610335.0,6,69662.0
Ceepco Contracting LLC,610000.0,25,300.0
FLORIDA STATE SECURITY  INC. ,609915.0,16,0.0
Gulfstream Petroleum Service Inc.,608050.0,20,0.0
MAG BUILDERS LLC,607473.0,15,5559.0
FRONTIER BUILDING CORP. ,606288.0,1,6929.0
COOL FREEZE A/C,604905.0,33,40529.0
SULLIVAN CONSTRUCTION COMPANY,604687.0,5,7006.0
Electricorp Inc,604170.0,20,9461.0
ARMANDO PENA PLUMBING SERVICES ,604160.92,47,31356.0
DALMA BUILDERS LLC,603900.0,2,6873.0
DLC DEVELOPMENT GROUP  LLC,602000.0,2,0.0
Ocean Blue Contractors  INC.,601210.0,12,1400.0
DARCO HEAVY EQUIPMENT CORP.,601050.0,8,33189.0
Worldwide Pools of FL Corp DBA Custom Pools,600818.0,27,0.0
Raidan Development LLC,600251.0,1,0.0
PHIXSER SOLUTIONS INC,600133.04,43,47336.0
INGRAM AIR  INC,600000.0,1,51371.0
MIAMI AWNING CO,599639.0,17,0.0
PRECISION CONTRACTING SERVICES INC.,599599.0,3,0.0
Advanced Hood Fire Systems  LLC,597345.0,124,0.0
LA CASA DE LAS PISCINAS INC,596600.0,50,0.0
THE TREBOR INVESTMENT CORP,596210.0,27,4888.0
Extreme Electric Systems Inc,595775.0,16,318.0
DIXIE LANDSCAPE CO.  INC. ,594842.0,26,200.0
Precision Power and Control Corp,594589.6,34,13368.0
Timuti Construction LLC,593999.0,12,4336.0
TAPE CONSTRUCTION,593751.0,1,6057.0
GLASS LAND INC,593164.0,18,0.0
Med Electrical Contractors Inc,592270.2,22,2300.0
CORAL POOL COMPANY LLC,591995.0,25,0.0
GON GAR CORP,590950.0,17,8289.0
GAVARRETE INC,588926.0,6,7496.0
MULTITECH CORP,588735.0,22,2440.0
Westerfeld Construction by Glick LLC,588534.0,10,0.0
F JIMENEZ ELECTRICAL CONTRACTOR INC,587019.8,55,15205.0
MICHILLI INC,586863.0,7,6253.0
COOL BREEZE AIR CONDITIONING CORP,585985.0,10,16210.0
Lowes Home Center,584487.0,53,0.0
PROFESSIONAL ENGINEERING SOLUTIONS  INC,584483.0,5,30390.0
DYNAFIRE INC,584146.0,27,0.0
FREEZE AIR CORP,582385.0,28,36719.0
WRIGHTS IMPACT WINDOWS AND DOORS LLC,582127.0,31,278.0
New World Electric Inc,581330.0,16,17991.0
OAC Action Construction Corp,580000.0,1,7080.0
Westwood Contractors INC.,580000.0,2,6597.0
FMGI  INC,579738.0,1,0.0
AT QUALITY PLUMBING INC.,579300.0,43,23917.0
FORTUM CONSTRUCTION,579051.0,5,6162.0
ROCAGB CONSTRUCTION LLC,578600.0,12,0.0
Palm Construction and Design Group Inc.,578263.0,11,22295.0
J.E. PRESTI CONSTRUCTION CORP,578230.0,5,5967.0
 SOMMO/BUILDING PARTNERS OF SOUTH FLORIDA LLC,576758.0,9,11482.0
BOBS PLUMBING CO INC,576400.0,22,15543.0
ALL COUNTIES PLUMBING INC,574545.0,36,37190.0
CLIMACON CORP,571000.0,8,10989.0
CONENGINEERS BUILDERS LLC,570175.0,2,6482.0
AMERICAN MADE AWNING,570075.0,10,0.0
Van Kirk & Sons Inc.,569586.0,19,0.0
PARADISE AIR CONDITIONING CORP,569375.0,29,10817.0
AARYA CONSTRUCTION & DESIGN,569300.0,3,500.0
BM Power Pro Electrical Inc.,569200.0,2,2500.0
Roma Construction Group LLC,568601.0,15,5427.0
D SHINE GROUP  CORP,567360.0,3,5694.0
CONZETA CONSTRUCTION LLC,566876.0,8,0.0
EJD Construction Contractors & Investment Corp.,566425.0,8,2880.0
EAGLE PLUMBING INC,566000.0,14,40677.0
Results Air Services Corp,564630.0,31,58034.0
Paradise Construction V P F Inc,564020.0,5,2822.0
JJ QUALITY BUILDERS INC,563827.0,9,5648.0
DRAAM CONSTRUCTION INC,563026.0,30,4046.0
J & J TELECOM & ELECTRIC,561581.0,42,25787.0
F & H ESTIMATING INC,560462.0,21,3231.0
CUSTOM BUILT MARINE CONSTRUCTION  INC.,560000.0,2,0.0
V.I. ELECTRICAL CONTRACTORS INC,559347.2,10,16877.0
MAASS GROUP LLC,559250.0,1,0.0
WIND CHILL LLC,559205.0,15,55746.0
Beyond Plumbing Corp.,559200.0,17,42381.0
ASHNIC MULTY SERVICES LLC ,557111.0,7,0.0
THE HUNTER AIR CONDITIONING CONTRACTOR INC.,556600.0,30,13552.0
ATLANTIC COAST HOSPITALITY BUILDERS LLC,556580.0,3,1030.0
COOLNHEAT LLC,554917.0,30,57525.0
AVR America Contractors  INC,552650.0,26,2402.0
SONDER ELECTRIC SERVICE INC,552371.4,22,6595.0
DLG ROOFING CORP,551875.0,3,0.0
BARTLEY BUILDER GROUP,551126.0,4,0.0
MGO CONSTRUCTION LLC ,550117.0,7,4093.0
R & R CONSTRUCTION & CONSULTING SERVICES  LLC,550000.0,1,0.0
Cardel Fire Protection Inc.,549245.0,14,0.0
CUTTING EDGE HOME IMPROVEMENT LLC,549000.0,3,679.0
VICTORY CONSTRUCTION GROUP INC,548362.0,8,639.0
Astor Construction LLC,546281.0,12,0.0
Brighton Air Conditioning Inc.,545750.0,3,3866.0
FLORIDA ENGINEERED GLASS CORP. ,545740.0,17,0.0
ATLANTIC WINDOWS & SHUTTERS INC,544620.0,41,0.0
STRUCTURE WORKS  LLC.,544599.0,9,0.0
AMERICAN ARCHITECTURAL METALS & GLASS LLC,544204.0,7,0.0
A & W ELECTRIC OF HOLLYWOOD INC,543545.0,6,9247.0
FIREHOUSE CONSTRUCTION CORP,543440.0,5,3117.0
PRACTICALITY INC,543379.2,28,21844.0
GB4 ASSOCIATES LLC,542602.0,11,2100.0
GARY BERNHARDT CONSTRUCTION INC,540956.0,23,4290.0
ALL TERRAIN EARTHMOVING LIMITED COMPANY,540544.0,6,4950.0
CRAWFORD DEVELOPMENT LLC ,540000.0,2,5000.0
alexpolo electrical service corp,539700.0,5,9562.0
WOLVERINE ROOFING LLC,538450.0,3,0.0
CAZO CONSTRUCTION CORP.,537847.0,21,1200.0
ACCRO GENERAL CONTRACTORS CORP,537500.0,23,4414.0
IC Design Build Inc,537387.0,5,3560.0
AIR 1 MECHANICAL CORP,536600.0,15,23504.0
BLDGCO. LLC,536065.0,3,4031.0
RETCOM CONSTRUCTION LLC,535500.0,3,5097.0
DK CONSTRUCTION SERVICE LLC,534901.0,10,4748.0
P3 DESIGN GROUP LLC,534850.0,13,0.0
CONSTRUCTION SOLUTIONS MANAGEMENT CORP,534100.0,16,2126.0
EDWARD ROJAS PLUMBING CORP,534050.0,39,48847.0
Easy Builder,533750.0,1,6100.0
JADA CONSTRUCTION INC,531990.0,9,0.0
Premium Building Contractor INC,530000.0,1,2756.0
SOLRAC INC,529622.0,32,0.0
Alfonso Jorge J,528282.0,25,28283.0
Continental Glass Systems LLC,527750.0,2,0.0
 CLASSIC AIR INC,527436.0,8,34034.0
A M Julien Contracting Inc,527348.0,31,4875.0
ADR PLUMBING CORP ,526700.0,23,31290.0
HOLT CONSTRUCTION CORP.,526000.0,1,6000.0
ROGAR MANAGEMENT & CONSULTING OF FLORIDA  L.L.C,525903.0,7,0.0
INTERCONTINENTAL CONTRACTING AND ENGINEERING CORP,525622.0,7,50074.0
GC CONSTRUCTION AND CONSULTING SERVICES LLC ,525267.0,2,0.0
OMBS SECURITY SYSTEM LLC,524968.0,43,823.0
BRIJAC BUILDERS  LLC ,524650.0,3,4823.0
VOLCA LLC,524376.0,2,640.0
CamiAxle Construction Corporation,524000.0,1,0.0
GTZ Construction Management Inc.,523887.0,26,1106.0
DELTA TECH ELECTRIC LLC ,523358.0,20,26906.0
York Electric Corp,522029.4,60,5905.0
Lineaire Design LLC,522000.0,32,0.0
Dream Design Pools Inc.,520500.0,36,0.0
Universal Hood Tech,520181.0,30,1378.0
Proton Electric Services LLC,520150.0,3,19263.0
ARCBUILDERS AND GROUP INCORPORATED,520000.0,1,5202.0
U S Installation Group Inc.,519762.0,68,0.0
SOFGOV LLC,519485.0,10,28297.0
LC POWER INC,518505.0,27,46545.0
NO LIMIT GLASS DBA NO LIMIT INTERIORS INC,518010.0,1,0.0
ENTERPRISE ELECTRICAL CONTRACTING INC,516280.68,11,17612.0
Total Network Consulting LLC,516273.0,17,0.0
L C CONSTRUCTION AND REMODELING INC,515026.0,1,0.0
JMD PLUMBING CORP,514750.0,18,47481.0
Metrico Building Group  LLC,514750.0,5,4273.0
Rodriguez Henry Electrical Contractor,514375.4,54,14167.0
Leadex Corp.,513848.0,4,817.0
BIG RHINO CONSTRUCTION INC,513251.0,12,406.0
SOUTHERN CONCRETE INC,512500.0,3,4208.0
COOL WAVE AIR CONDITIONING CORP.,512260.0,10,31746.0
Engineered Systems and Construction Inc. ,511973.0,4,0.0
SOUTH FLORIDA ELECTRICAL ENGINEERING INC,511950.0,26,18806.0
Climax Mechanical Corp.,511400.0,7,60893.0
Alfaro Plumbing Contractor LLC,510600.0,15,53644.0
Relu Co DBA Paul Davis Emergency Services of the Gables FL ,509983.0,3,15000.0
BNG CONTRACTORS GROUP INC,509000.0,4,0.0
URUTEC ROOFING INC,508590.0,16,0.0
ALL FLORIDA FIRE PREVENTION  INC,506600.0,19,0.0
Cole Development LLC DBA Cole Roofing Services,505050.0,1,5772.0
MARVINS AIR CONDITIONING CORP ,505000.0,11,11085.0
DONNA E MILO INC,504650.0,2,1756.0
Kebos Electrical Unlimited Inc.,504195.0,29,18679.0
SHINE ELECTRICAL ENGINEERING,502410.0,51,5514.0
DDI MANAGEMENT CONSTRUCTION & ENGINEERING LLC,502359.0,6,8547.0
WPR Contracting INC,502015.0,2,5470.0
EMS Site Development LLC & EMS Rolloff Inc,502000.0,2,0.0
BLUE DOOR CONTRACTORS  INC,501177.0,10,3681.0
LUXOR CONSTRUCTION LLC,501000.0,1,0.0
PYE BARKER FIRE AND SAFETY LLC,500320.0,33,0.0
AllDade General Construction Inc.,500133.0,42,1582.0
APEX RENOVATIONS & CONSTRUCTION INC,500076.0,12,14093.0
Cuesta Construction Corp,500000.0,1,2900.0
JMS GROUP LLC dba EPITOME NETWORKS,500000.0,1,0.0
Caribbean Construction & Renovations LLC,500000.0,1,1000.0
FALCON CONSTRUCTION LLC ,500000.0,2,5338.0
SILVHER CONSULTING CONTRACTING LLC,500000.0,2,22900.0
ALVA STONE GROUP LLC,499750.0,6,6352.0
B & I CONTRACTORS INC,499100.0,6,123397.0
MASTER REBUILDER OF FLORIDA INC,499000.0,6,781.0
ALL AROUND FIRE PROTECTION LLC,498938.0,70,0.0
STRUCTURAL ROOF SYSTEMS  INC. ,498000.0,3,0.0
AIR SOUTH MECHANICAL SYSTEMS INC ,497000.0,1,5679.0
Ambiance Interior Manufacturing Corporation,495672.0,13,270.0
SOUTH COAST Painting & Development Inc,494761.0,4,0.0
WP CONSTRUCTION GROUP LLC,493300.0,18,0.0
MADE ELECTRIC INC,492340.0,6,0.0
LEE ELECTRICAL ENTERPRISE LLC ,492291.0,5,3941.0
ONSITE CONSTRUCTION SOLUTIONS CORP,490613.0,3,5287.0
CASE MARINE CONSTRUCTION INTERNATIONAL  LLC,490000.0,1,0.0
MAVERICK GCI Builders LLC,488876.0,2,0.0
F & S CONTRACTORS LLC,488876.0,3,4266.0
Evans Roofing,488875.0,11,0.0
CITY ELECTRICAL CONTRACTORS CORP.,488840.0,18,17769.0
ARTISTIC CONTRUCTION STUDIO LLC,488263.0,13,4001.0
Intertech Construction Corporation of America  INC. ,487338.0,5,5402.0
Ecolectric Company,486935.0,6,22457.0
ROYCE PARKING CONTROL SYSTEMS  INC. ,486849.0,11,0.0
JP GENERAL CONSTRUCTION  INC.,486600.0,2,0.0
A2Z CONSTRUCTION AND REMODEL LLC,485750.0,14,9585.0
SEAWOOD BUILDERS  LLC,484400.0,16,0.0
ELECTRICAL SERVICES JC INC,482902.0,38,20652.0
JGR Construction Inc.,481760.0,8,0.0
MADISON CONSULTING INC,481491.0,6,1690.0
RUSSCO INC GENERAL CONTRACTORS,481000.0,5,3968.0
TESLA ENERGY OPERATIONS,480300.0,4,8900.0
FIX PLUMBING CORP ,480180.0,22,13563.0
S GROUP  INC.,480000.0,5,0.0
The Ice Team Corporation,479800.0,14,19756.0
CITY ROOFING INC,479250.0,4,5100.0
PRECISE HEATING & COOLING  INC,479085.0,17,19429.0
NCH Plumbing Inc.,478000.0,27,15331.0
FRANKLIN CONTRACTORS  INC.,477226.0,2,4642.0
ABH ELECTRIC CORP.,475925.0,29,5896.0
ELECTRICAL SERVICE IN MIAMI CORP,475300.0,14,4005.0
C.B.S.FP LLC,474675.0,2,3631.0
TURN 2 GROUP LLC.,473802.0,13,3209.0
DON BAILEY CARPETS  INC,473670.43,51,0.0
CALIBER 1 CONSTRUCTION  INC.,473647.43,4,5427.0
Comprehensive Fire Alarms & Security Systems Inc.,473169.0,47,0.0
AG Contractors & Design,471153.0,18,3647.0
La Perla Contractors  Inc,471002.0,11,0.0
ATLAS WINDOWS INC,470895.0,12,0.0
"MIAMI MARINE EXPORT ""LLC"" dba J & R Contractors",470000.0,2,10.0
A SUNNY PLUMBING COMPANY,469700.0,29,19559.0
GARY B ELECTRIC & CONSTRUCTION CONSULTANT INC,469100.0,16,15134.0
CONCEPTS CONSTRUCTION INC,468001.0,2,5200.0
