,name,title,ID,permit_num,permit_type,review_type,app_start_date,issue_date,processing_time,street_num,street_dir,street_name,street_suffix,work_desc,building_fee_paid,zoning_fee_paid,other_fee_paid,subtotal_paid,building_fee_unpaid,zoning_fee_unpaid,other_fee_unpaid,subtotal_unpaid,building_fee_waived,zoning_fee_waived,other_fee_waived,total_fee,reported_cost,ward,full_address,app_year_start
122,KERWIN THOMAS PATRICK,ARCHITECT,85384.65,100918242,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-09-09,09/30/2021,21.0,211,N,HARBOR,DR,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100821394; REDUCE NUMBER OF DWELLING UNITS FROM 363 TO 350 UNITS; REVISE PARKING GARAGE LAYOUT TO ADD TENANT STORAGE LOCKERS; REVISE ACCESSIBILITY MATRIX RESIDENTIAL UNIT TYPE A/TYPE B; REVISE DOG RUN AT L5; REVISE TERRACE, POOL & LOCKER ROOM AT LL1; REVISE TERRACE & ADDITIONAL BATHROOM AT L1; REVISE TERRACE AT L41; CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",85384.65,75.0,0.0,85459.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85459.65,750000.0,42.0,211 N HARBOR DR,2021.0
123,KNAPP ROXANNE M,ARCHITECT,22040.73,100849993,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-02-05,02/25/2020,20.0,11554,S,AVENUE O,,DIRECT DEVELOPER SERVICES - NEW CONSTRUCTION 2 STORY ACCESSIBLE OFFICE SPACE FOR THE ADMINISTRATIVE OPERATIONS. THE OFFICE FUNCTION IS CONNECTED AT THE WEST TO THE MAINTENANCE FUNCTION CLASSIFIED AS HAZARDOUS USE AS IT HOUSES THE PARTS STORAGE FOR THE EQUIPMENT ON THE CAMPUS AS WELL AS BEING THE VEHICLE SERVING AREA. STRUCTURE IS ACCESSORY USES TO SERVE AN EXISTING CLASS IV-4 RECYCLING FACILITY. [BLDG. 'A'],22040.73,1562.0,34.0,23636.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23636.73,8500000.0,10.0,,2020.0
124,WATERS ROBERT,ARCHITECT,225954.38,100892238,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-10-22,05/06/2021,196.0,3300,E,122ND,ST,"DIRECT DEVELOPER SERVICES 2019 CBC: NEW CONSTRUCTION OF A ONE (1) STORY INDUSTRIAL BUILDING (SHELL AND CORE ONLY) AND ASSOCIATED SITE WORK WITH 422 PARKING STALLS, 60 TRUCK DOCKS, 131 TRAILER STALLS AND 48 BIKE PARKING SPACES,  AS PER PLANS. (OCCUPANCIES B, F-1, F-2, S-1 & S-2; CONSTRUCTION TYPE IIB) CONSULTANT REVIEWER: V3 COMPANIES OF IL",225954.38,8526.0,0.0,234480.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234480.38,40556000.0,10.0,3300 E 122ND ST,2020.0
125,ANTUNOVICH JOSEPH M,ARCHITECT,149401.72,100917709,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-05-25,03/30/2022,309.0,1044,W,VAN BUREN,ST,"(DIRECT DEVELOPER SERVICES / 2019 CBC) NEW CONSTRUCTION OF AN 18-STORY RESIDENTIAL APARTMENT BUILDING (196 DWELLING UNITS) TO INCLUDE GROUND FLOOR RETAIL, PARKING ON LEVELS 2 & 3 (72 SPACES), AND ASSOCIATED SITE WORK, AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS",149401.72,4664.0,74494.0,228559.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228559.72,40000000.0,25.0,1044 W VAN BUREN ST,2021.0
126,GELDIS GEORGE,ARCHITECT,0.0,100921477,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,2021-05-07,05/07/2021,0.0,4443,W,CHICAGO,AVE,"NEW CONSTRUCTION SHALLOW FOUNDATIONS, GRADE BEAMS AND ABOVE GRADE STRUCTURE AS PER PLANS - CAISSONS ONLY UNDER SEPARATE PERMIT.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136462.57,4320.0,0.0,140782.57,59000000.0,37.0,4443 W CHICAGO AVE,2021.0
127,GIBSON GREGORY DAVID,ARCHITECT,4773.38,100900619,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-02-18,05/10/2021,81.0,4600,N,KENMORE,AVE,"DDS 2019 CBC: SHALLOW FOUNDATIONS, PODIUM STRUCTURAL STEEL AND MASONRY CORES THROUGH ROOF FOR A 5-STORY RESIDENTIAL BUILDING WITH 62 APARTMENTS AND GROUND FLOOR RETAIL. (OCC. R-2, M; TYPE II-A)- CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",4773.38,576.0,0.0,5349.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5349.38,1000000.0,46.0,4600 N KENMORE AVE,2021.0
128,CASTILLO PHILIP J,ARCHITECT,3687.9,100927678,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-07-15,10/20/2021,97.0,1000,S,MICHIGAN,AVE,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100834166, REVISED SHEAR WALL/CORE WALL LOCATIONS DIMENSIONS AT MAT SLAB, REVISED ELEVATOR PIT DIMENSIONS, ADJUSTED ELECTRICAL DUCT BANK BETWEEN CURRENT IN SITU LOCATION AND CORE RISER LOCATION, ADJUSTED BELOW GRADE PIPING ROUTES FOR STORM AND SAN WITHIN BUILDING FOOTPRINT, NEW PARKING ELEVATOR PITS, MODIFIED COLUMN SPACING AT GARAGE, MODIFIED STORAGE TANK DIMENSIONS, NEW GRADE BEAMS AT GARAGE, MODIFIED DIMENSIONS AT GARAGE MAT SLABS, MODIFIED GAS LINE TO METER PER PEOPLE¿S GAS REQUIREMENTS; ALL AS PER PLANS; CONSULTANT REVIEWER: GLOBETROTTERS",3687.9,1059.0,0.0,4746.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4746.9,1000000.0,4.0,1000 S MICHIGAN AVE,2021.0
129,DESMARAIS TOD MICHAEL,ARCHITECT,75753.56,100850599,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-03-11,03/31/2020,20.0,448,N,LA SALLE,DR,***DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR A PROPOSED 13 STORY OFFICE BUILDING WITH RETAIL ON THE GROUND FLOOR ALL; AS PER PLANS (FOUNDATION PERMIT NUMBER 100839637),75753.56,4337.0,0.0,80090.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80090.56,9000000.0,42.0,448 N LA SALLE DR,2020.0
130,ROGULICH LEE E,ARCHITECT,2000.0,100920656,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,2021-05-03,05/07/2021,4.0,210,W,79TH,ST,"Hazardous Waste Storage Bldg: New 1 story 530sf building with a 10"" thick concrete slab, 8"" thick x 5'-9"" high concrete wall base, chain-link fence wall panels and a 1.5"" thick galvanized metal roof deck supported by W8x24 columns for temporary storage of CTA hazardous waste material, which will be picked up by a waste contractor and processed at an off-site facility all per plans.",2000.0,75.0,0.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.0,300000.0,17.0,210 W 79TH ST,2021.0
131,HAYMES DAVID A,ARCHITECT,16463.66,100906602,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-03-10,10/01/2021,205.0,4611,N,BROADWAY,,"DIRECT DEVELOPER SERVICES: 2019 CBC: FOUNDATION AND STRUCTURE ONLY UP TO LEVEL 2 FOR NEW 9-STORY MIXED-USE RESIDENTIAL APARTMENT BUILDING WITH PARTIAL BASEMENT AND AT-GRADE PARKING - 200 TOTAL UNITS. (CONSTRUCTION TYPE 1B; OCCUPANCY R-2, M). CONSULTANT REVIEWER: V3 COMPANIES",16463.66,749.38,67169.0,84382.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84382.04,2800000.0,46.0,,2021.0
132,KHANNA KAPIL,ARCHITECT,195223.77,100884500,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2022-04-04,04/05/2022,1.0,21,N,MAY,ST,***DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR FIFTEEN (15) STORY RESIDENTIAL BUILDING WITH 58 DWELLING UNITS AND 78 PARKING SPACES AS PER PLANS. CONSULTANT REVIEWER: PRIMERA ENGINEERING,195223.77,1271.0,68918.0,265412.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265412.77,8000000.0,25.0,21 N MAY ST,2022.0
133,HORNOF WILLIAM RODON,ARCHITECT,46250.82,100903869,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-11-22,04/01/2022,130.0,4523,N,CLARK,ST,"***DIRECT DEVELOPER SERVICES* CONDITIONAL PERMIT** NEW FIVE STORY MIXED-USE BUILDING WITH 56 DU (INCLUDES 12 EFFICIENCY UNITS), 1ST FLOOR RETAIL AND 28 PARKING STALLS, 42 BIKE STALLS ROOM WITH WORKBENCH; ROOFTOP STAIRWAY ENCL. ELEVATOR PENTHOUSE ON TSL, AS PER PLANS.**CONSTRUCTION SHALL NOT BEGIN UNTIL WRECKING PERMITS #100951291 AND 100951292 ARE ISSUED** CONSULTANT REVIEWER: PRIMERA ENGINEERING",46250.82,1501.0,23475.0,71226.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71226.82,7000000.0,46.0,4523 N CLARK ST,2021.0
134,KERWIN THOMAS PATRICK,ARCHITECT,3000.0,100911812,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-03-24,05/13/2021,50.0,460,E,WATERSIDE,DR,***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100809237; REVISION IS FOR FIRE RATING ADJUSTMENTS TO A EXTERIOR WALL ON THE WEST SIDE OF THE STRUCTURE; CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,3000.0,75.0,0.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,10000.0,42.0,460 E WATERSIDE DR,2021.0
135,WHITEHURST ROBIN E,ARCHITECT,3000.0,100910287,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-04-07,04/29/2021,22.0,731,W,SCHILLER,ST,"DDS 2019 CBC, PD 1075: REVISION TO PERMIT 100891579. REVISE WATER SERVICE PLANS/LAYOUT OF METER AND CONNECTION, ELECTRICAL SERVICE AND METER LAYOUT, AND STRUCTURAL FOUNDATION WALL DETAIL. OCCUPANCY GROUP R-2, TYPE V-A CONSTRUCTION. SCHILLER PLACE BUILDING 2 OF 3. DRAWINGS UNDER PERMIT 100910286.CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",3000.0,75.0,0.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,75000.0,27.0,731 W SCHILLER ST,2021.0
136,WHITEHURST ROBIN E,ARCHITECT,3000.0,100910288,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-03-22,04/29/2021,38.0,711,W,SCHILLER,ST,"DDS 2019 CBC, PD 1075: REVISION TO PERMIT 100891583. REVISION TO WATER SERVICE PLANS/LAYOUT OF METER AND CONNECTION, ELECTRICAL SERVICE AND METER LAYOUT, AND STRUCTURAL FOUNDATION WALL DETAIL. OCCUPANCY GROUP R-2, TYPE V-A CONSTRUCTION. SCHILLER PLACE BUILDING 3 OF 3. DRAWINGS PERMIT 100910286. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",3000.0,75.0,0.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,75000.0,27.0,711 W SCHILLER ST,2021.0
137,MACEWEN DWAYNE K,ARCHITECT,38220.0,100657524,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-01-25,02/23/2017,29.0,2444,N,ELSTON,AVE,"DIRECT DEVELOPER SERVICES PROGRAM- INTERIOR BUILD OUT PERMIT REVIEW FOR MIDTOWN ATHLETIC CLUB ON FLOORS 1, 2 & 3 ONLY, COMPRISING OF APPROXIMATELY 91,000 SFCORE AND SHELL PART OF A SEPEARATE PERMIT, AS WELL AS FLOORS 4,5 &6 SHALL BE SUBMITTED UNDER SEPERATE PERMIT REVIEW",38220.0,75.0,0.0,38295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38295.0,10000000.0,32.0,2444 N ELSTON AVE,2017.0
138,MACEWEN DWAYNE K,ARCHITECT,19532.8,100673721,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-07-24,08/02/2017,9.0,2444,N,ELSTON,AVE,THE INTERIOR BUILD OUT FOR THE HOTEL SHALL INCLUDE ALL INTERIOR AREAS WITHIN FLOORS 4 AND 5 AND THE ROOF. THE SCOPE ALSO INCLUDES SLIGHTLY EXPANDED ENCLOSURE AT THE ROOF TO ACCOMMODATE BATHROOMS AND VESTIBULE FOR THE ROOF USE.,19532.8,75.0,0.0,19607.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19607.8,800000.0,32.0,2444 N ELSTON AVE,2017.0
139,DE ROUIN MICHAEL E,ARCHITECT,6000.0,100949552,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2022-02-01,04/06/2022,64.0,1475,N,KINGSBURY,ST,"DDS 2019 CBC: CAISSONS (VERTICAL PENETRATION ONLY) PERMIT FOR THE NEW CONSTRUCTION OF A 27 STORY RESIDENTIAL BUILDING WITH 327 DWELLINGUNITS. (OCC GROUPS R2, S2, M; CONST TYPE IA) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",6000.0,75.0,0.0,6075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6075.0,800000.0,27.0,1475 N KINGSBURY ST,2022.0
140,PETERS MARK RAYMOND,ARCHITECT,22845.5,100912748,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-09-27,10/06/2021,9.0,3421,N,ASHLAND,AVE,"DDS 2019 CBC: NEW CONSTRUCTION OF 53-UNIT, 4-STORY APARTMENT BUILDING WITH 16 SURFACE PARKING SPACES AND LOADING BAY AT GROUND LEVEL. OCCUPIABLE ROOFTOP WITH ROOFTOP ACCESS AND MECHANICAL PENTHOUSE. (OCCUPANCY R-2; CONSTRUCTION TYPE IIIA)CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",22845.5,6898.0,16589.0,46332.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46332.5,8000000.0,44.0,3421 N ASHLAND AVE,2021.0
141,BRININSTOOL DAVID LEE,ARCHITECT,173910.65,100881483,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-09-01,11/05/2020,65.0,1400,W,RANDOLPH,ST,"**DIRECT DEVELOPER SERVICES** FULL BUILDING PERMIT FOR 25 STORY, 278 UNIT APARTMENT TOWER WITH GROUND FLOOR RETAIL. FOUNDATION AND PARTIAL SUPERSTRUCTURE UP THROUGH LEVEL 4 SLAB AND COLUMNS OBTAINED UNDER PERMIT #10086866",173910.65,5441.0,0.0,179351.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179351.65,78000000.0,27.0,1400 W RANDOLPH ST,2020.0
142,GIBSON GREGORY DAVID,ARCHITECT,3000.0,100947253,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2022-01-19,04/01/2022,72.0,4600,N,KENMORE,AVE,"DDS 2019 CBC: REVISION TO FULL BUILDING PERMIT 100908583 - REVISION INCLUDES NEW ABOVE GRADE PVC PLUMBING FOR THE NEW CONSTRUCTION OF A 5-STORY RESIDENTIAL BUILDING WITH 62 APARTMENTS AND GROUND FLOOR RETAIL. (OCC. R-2, M; TYPE II-A) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",3000.0,1519.0,0.0,4519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4519.0,750000.0,46.0,4600 N KENMORE AVE,2022.0
143,WYLIE MATTHEW J,ARCHITECT,24601.92,100842607,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2019-11-05,03/12/2020,128.0,349,N,MORGAN,ST,"(DIRECT DEVELOPER SERVICES)  FOUNDATION & PARTIAL SUPERSTRUCTURE TO LEVEL 2 FOR AN ELEVEN (11) STORY OFFICE BUILDING (NO BASEMENT) WITH GROUND FLOOR RETAIL, 2ND FLOOR PARKING (34 PARKING STALLS) AND ASSOCIATED SITE WORK AS PER PLANS.",24601.92,1340.0,0.0,25941.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25941.92,3675443.0,27.0,349 N MORGAN ST,2019.0
144,ANTUNOVICH JOSEPH M,ARCHITECT,155543.22,100767756,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-09-12,09/12/2018,0.0,730,N,MILWAUKEE,AVE,**DIRECT DEV SERVICES** FULL BUILDING PERMIT FOR A NEW 23-STORY MIXED USE HIGH RISE BUILDING WITH APARTMENTS PARKING AND GROUND FLOOR RETAIL. INCLUDES RENOVATIONS  AND ALTERATIONS TO ADJACENT EXISTING 3-STORY OFFICE BUILDING. STRUCTURAL DEMOLITION AND ALTERATION OF EXISTING 3-STORY BUILDING PERMITTED UNDER 100755586. FOUNDATIONS-ONLY PERMIT FOR NEW CONSTRUCTION PERMITTED UNDER 100747337.,155543.22,5341.0,28277.0,189161.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189161.22,30000000.0,27.0,730 N MILWAUKEE AVE,2018.0
145,ANTUNOVICH JOSEPH M,ARCHITECT,93208.86,100836738,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-02-11,02/11/2020,0.0,1125,W,VAN BUREN,ST,*DIRECT DEV SERVICES* NEW CONSTRUCTION OF A 20-STORY HIGH RISE APARTMENT BUILDING ON DEEP FOUNDATIONS.,93208.86,4224.0,67169.0,164601.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164601.86,20000000.0,25.0,1125 W VAN BUREN ST,2020.0
146,ANTUNOVICH JOSEPH M,ARCHITECT,3028.32,100899473,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-11-19,12/21/2020,32.0,1125,W,VAN BUREN,ST,"**DIRECT DEVELOPER SERVICES** MINOR REVISION TO PERMIT 100836738. REVISIONS INCLUDE INCORPORATION OF ALTERNATIVE CODE APPROVALS FOR TYPE A UNITS, WATER METER ROOM RECONFIGURATION, BACK OF HOUSE CORRIDOR CHANGES ON GROUND FLOOR, UPDATES TO AMENITY SPACES, CEILING ADJUSTMENTS, DOG RUN AND TERRACE UPDATES. PD 1431 **PRE-2019 CHICAGO BUILDING CODE** CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",3028.32,75.0,0.0,3103.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.32,121515.0,25.0,1125 W VAN BUREN ST,2020.0
147,UHLIR GRANT,ARCHITECT,12228.98,100767335,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2019-03-06,03/07/2019,1.0,167,N,GREEN,ST,***DIRECT DEVELOPER SERVICES*** FOUNDATION ONLY FOR A PROPOSED 18 STORY OFFICE BUILDING WITH RETAIL ON THE GROUND FLOOR AND 124 PARKING SPACES; ALL AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,12228.98,1375.0,0.0,13603.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13603.98,4000000.0,27.0,167 N GREEN ST,2019.0
148,WEINER MICHAEL A,ARCHITECT,67285.62,100854947,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-02-20,03/15/2021,389.0,2700,N,SHEFFIELD,AVE,"**DIRECT DEVELOPER SERVICES** NEW CONSTRUCTION FOR A 6 STORY, 80 UNIT SENIOR RESIDENCE BUILDING WITH COMMUNITY CENTER FACILITIES ON THE GROUND FLOOR AS PER PLANS. PD #52",67285.62,75.0,40591.0,107951.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107951.62,35000000.0,43.0,2700 N SHEFFIELD AVE,2020.0
149,SORICH GEORGE S,ARCHITECT,117867.56,100848261,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-04-22,04/30/2020,8.0,808,N,WELLS,ST,DIRECT DEVELOPER SERVICES  ERECT 17-STORY 318 DU RESIDENTIAL BUILDING UPON PREVIOUSLY APPROVED FOUNDATION AND SUPERSTRUCTURE UPTO UNDERSIDE OF 6TH FLOOR PERMIT 100809332,117867.56,4904.0,101795.0,224566.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224566.56,20000000.0,27.0,808 N WELLS ST,2020.0
150,STANLEY MICAH,ARCHITECT,4047.0,100958649,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2022-02-24,04/08/2022,43.0,1338,W,FULTON,ST,"DDS 2019 CBC, PD 1306: INITIAL TENANT BUILDOUT OF GROUND FLOOR RESTAURANT INCLUDING ALTERATION OF STOREFRONT AND ASSOCIATED MEP. CREATION OF RATED CONVENIENCE DOOR TO ADJACENT TENANT SPACE. NO STRUCTURAL. (OCCUPANCY GROUP A-2, B; TYPE IB CONSTRUCTION) CONSULTANT REVIEWER: V3 COMPANIES",4047.0,75.0,0.0,4122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4122.0,1140000.0,27.0,1338 W FULTON ST,2022.0
151,BOOTH LAURENCE OGDEN,ARCHITECT,6450.78,100896420,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-11-13,03/08/2021,115.0,1404,W,MONROE,ST,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100785092; REDUCTION OF TOTAL DWELLING UNITS FROM 42 TO 38, ADDITION OF 2 PRIVATE ROOF DECKS AND CORRESPONDING ACCESS PENTHOUSES, CHANGE OF MECHANICAL ENGINEER OF RECORD; ALL AS PER PLANS. CONSULTANT REVIEWER:V3 COMPANIES",6450.78,532.0,0.0,6982.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6982.78,575000.0,27.0,1404 W MONROE ST,2020.0
152,HIRSCH HOWARD M,ARCHITECT,19394.4,100931511,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-08-02,09/23/2021,52.0,3121,N,BROADWAY,,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100881697;  REVISIONS ARE FOR: CHANGES TO LEVEL 1 LOBBY, AMENITY AND MAIL ROOMS, BATHROOM ADDITION RESIDENTIAL UNIT LAYOUT REVISIONS, SKYLIGHTS ADDED TO LEVEL 1 FITNESS, REVISION OF TYPE A UNIT DESIGNATION AT LEVEL 6, BALCONY STRUCTURAL DESIGN ADDED, EXTERIOR WALL REVISIONS TO SCOPE OF REMOVAL AND REPLACEMENT DUE TO EXISTING CONDITIONS, ALL AS PER PLANS.",19394.4,658.0,0.0,20052.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20052.4,500000.0,44.0,,2021.0
153,PLUNKARD JAMES M,ARCHITECT,20388.24,100908457,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-03-10,06/14/2021,96.0,23,W,CHICAGO,AVE,***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100829254; REVISIONS TO THIS PERMIT INCLUDE MINOR MODIFICATIONS TO THE PLANS AND RESIDENTIAL UNIT LAYOUTS. OTHER CHANGES INCLUDE THE ADDITION OF LANDLORD-PROVIDED MECHANICAL EQUIPMENT FOR A FUTURE TENANT; ALL AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,20388.24,1021.0,0.0,21409.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21409.24,500000.0,2.0,23 W CHICAGO AVE,2021.0
154,CLARK JOHN W,ARCHITECT,3000.0,100922218,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-06-02,06/14/2021,12.0,5150,N,NORTHWEST,HWY,DDS PERMIT** REVISION TO DDS PERMIT #100819913 TO ADD RETURN AIR DUCT TO EACH OF 75 MECHANICAL UNITS LOCATED WITHIN DWELLING UNITS. CONSULATANT REVIEWER: GLOBETROTTERS ENGINEERING,3000.0,75.0,0.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,45000.0,45.0,5150 N NORTHWEST HWY,2021.0
155,WYLIE MATTHEW J,ARCHITECT,122085.84,100852426,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-01-30,06/14/2021,501.0,349,N,MORGAN,ST,"(DIRECT DEVELOPER SERVICES)  New construction of an eleven (11) story office building (No Basement) with ground floor retail, 2nd floor parking (34 parking Stalls) and associated sitework as per plans. Foundation permit under #100842607, 100891074 (2018 Chicago Building Code) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",122085.84,4791.0,34.0,126910.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126910.84,43324557.0,27.0,349 N MORGAN ST,2020.0
156,FREEMAN ARDEN D,ARCHITECT,4383.96,100917934,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-05-07,06/14/2021,38.0,2401,S,STATE,ST,***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT 100841311; RELOCATION OF THE WATER SERVICE FROM THE NORTH SIDE TO THE WEST SIDE AND `CHANGE IN SIZE OF ELECTRICAL SERVICE FEEDERS FROM 1600 AMPS TO 1200 AMPS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,4383.96,75.0,0.0,4458.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4458.96,175000.0,3.0,2401 S STATE ST,2021.0
157,PLUNKARD JAMES M,ARCHITECT,20167.38,100908456,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-02-16,03/05/2021,17.0,23,W,CHICAGO,AVE,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100850655; REVISIONS INCLUDE (BUT NOT LIMITED TO) KITCHENS, BATHROOMS AND FLOOR PLANS ON SEVERAL FLOORS ALONG WITH MEP REVISIONS; ALL AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",20167.38,523.0,0.0,20690.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20690.38,500000.0,2.0,23 W CHICAGO AVE,2021.0
158,WINEBERG CLARA INES,ARCHITECT,22518.0,100915988,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-07-26,10/21/2021,87.0,166,N,ABERDEEN,ST,"DDS 2019 CBC: SHALLOW FOUNDATIONS AND PARTIAL SUPERSTRUCTURE THROUGH THIRD FLOOR FOR THE NEW CONSTRUCTION OF A 21 STORY RESIDENTIAL BUILDING WITH 224 DWELLING UNITS AND 70 CAR PARKING SPACES. (OCC GROUPS R-2, M, B, S-2, A; CONST TYPE 1A); CAISSONS ONLY PERMIT 100921065. NO BELOW-GRADE WRECKING ON THIS PERMIT. NO WORK WITHIN 10 FEET HORIZONTALLY OF AREAS OF BELOW-GRADE WRECKING UNTIL WRECKING PERMIT ISSUED AND INSPECTED.CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",22518.0,1581.0,0.0,24099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24099.0,4530000.0,27.0,166 N ABERDEEN ST,2021.0
