,Project Type,Project Name,Association Name,City,Zip,County,ID
1996,CONDOMINIUM,OE TEQUESTA POINT,ONE TEQUESTA POINT,MIAMI,33131,MIAMI-DADE,270992
1997,CONDOMINIUM,ONE MIAMI EAST CONDOMINIUM ASSOCIATION,ONE MIAMI EAST CONDOMINUM ASSOCIATION,MIAMI,33131,MIAMI-DADE,215636
1998,CONDOMINIUM,ONE MIAMI EAST CONDOMINIUM ASSOCIATION,ONE MIAMI EAST CONDOMINUM ASSOCIATION,MIAMI,33131,MIAMI-DADE,216084
1999,CONDOMINIUM,"ONE MIAMI WEST CONDOMINIUM ASSOCIATION, INC","ONE MIAMI WEST CONDOMINIUM ASSOCIATION, INC",MIAMI,33131,MIAMI-DADE,215633
2000,CONDOMINIUM,"ONE MIAMI WEST CONDOMINIUM ASSOCIATION, INC","ONE MIAMI WEST CONDOMINIUM ASSOCIATION, INC",MIAMI,33131,MIAMI-DADE,216082
2001,CONDOMINIUM,PLAZA 851 BRICKELL CONDOMINIUM,PLAZA 851 BRICKELL CONDOMINIUM,MIAMI,33131,MIAMI-DADE,249202
2002,CONDOMINIUM,REACH CONDOMINIUM ASSOCIATION INC.,REACH CONDOMINIUM ASSOCIATION INC.,MIAMI,33131,MIAMI-DADE,286574
2003,CONDOMINIUM,SIRS,BRICKELL KEY ONE CONDOMINIUM ASSOCIATION INC,MIAMI,33131,MIAMI-DADE,287433
2004,CONDOMINIUM,SIRS,BRICKELL KEY ONE CONDOMINIUM ASSOCIATION INC,MIAMI,33131,MIAMI-DADE,287438
2005,CONDOMINIUM,SIRS,COURVOISIER COURTS,MIAMI,33131,MIAMI-DADE,286800
2006,CONDOMINIUM,SOLARIS AT BRICKELL BAY COND,SOLARIS AT BRICKELL BAY CONDOMINIUM ASSOCIATION,MIAMI,33131,MIAMI-DADE,250222
2007,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,BRICKELL ON THE RIVER NORTH TOWER CONDOMINIUM,MIAMI,33131,MIAMI-DADE,252363
2008,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,THE CLUB AT BRICKELL BAY PLAZA CONDOMINIUM,MIAMI,33131,MIAMI-DADE,209126
2009,CONDOMINIUM,"THE BOND 1080 BRICKELL CONDOMINIUM ASSOCIATION, INC.",THE BOND (1080 BRICKELL) CONDOMINIUM,MIAMI,33131,MIAMI-DADE,230239
2010,CONDOMINIUM,"THE FOUR AMBASSADORS ASSN, INC.","THE FOUR AMBASSADORS ASSN, INC,.",MIAMI,33131,MIAMI-DADE,239479
2011,CONDOMINIUM,THE PLAZA 901 BRICKELL CONDO,THE PLAZA 901 BRICKELL CONDO ASSOCIATION INC.,MIAMI,33131,MIAMI-DADE,297953
2012,CONDOMINIUM,"THE SAIL CONDOMINIUM ASSOCIATION, INC.","THE SAIL CONDOMINIUM ASSOCIATION, INC.",MIAMI,33131,MIAMI-DADE,238200
2013,CONDOMINIUM,TWO TEQUESTA POINT CONDOMINIUM ASSOCIATION,TWO TEQUESTA POINT CONDOMINIUM ASSOCIATION,MIAMI,33131,MIAMI-DADE,225658
2014,CONDOMINIUM,"50 BISCAYNE CONDOMINIUM ASSOCIATION, INC",50 BISCAYNE,MIAMI,33132,MIAMI-DADE,287358
2015,CONDOMINIUM,1800 CLUB CONDOMINIUM ASSOCIATION,1800 CLUB CONDOMINIUM ASSOCIATION,MIAMI,33132,MIAMI-DADE,222062
2016,CONDOMINIUM,ARIA ON THE BAY CONDOMINIUM ASSOCIATION INC.,ARIA ON THE BAY CONDOMINIUM ASSOCIATION INC.,MIAMI,33132,MIAMI-DADE,218513
2017,CONDOMINIUM,CONDO PROJECT,1800 BISCAYNE PLAZA,MIAMI,33132,MIAMI-DADE,235715
2018,CONDOMINIUM,MARINABLUE CONDO ASSOCIATION,MARINABLUE CONDO ASSOCIATION INC,MIAMI,33132,MIAMI-DADE,215629
2019,CONDOMINIUM,MARINABLUE CONDO ASSOCIATION INC,MARINABLUE CONDOMINIUM ASSOCIATION INC.,MIAMI,33132,MIAMI-DADE,209465
2020,CONDOMINIUM,ONE THOUSAND MUSEUM CONDOMINIUM ASSOCIATION,ONE THOUSAND MUSEUM CONDOMINIUM ASSOCIATION,MIAMI,33132,MIAMI-DADE,215970
2021,CONDOMINIUM,PARAMOUNT MIAMI WORLDCENTER CONDOMINIUM,"PARAMOUNT MIAMI WORLDCENTER CONDOMINIUM ASSOCIATION, INC",MIAMI,33132,MIAMI-DADE,292894
2022,CONDOMINIUM,QUANTUM ON THE BAY CONDO NO.ONE,QUANTUM ON THE BAY NO.ONE,MIAMI,33132,MIAMI-DADE,238216
2023,CONDOMINIUM,QUANTUM ON THE BAY NORTH,QUANTUM ON THE BAY NORTH,MIAMI,33132,MIAMI-DADE,238224
2024,CONDOMINIUM,SIRS RESIDENTIAL,TEN MUSUEM PARK RESIDENTIAL ASSOCIATION,MIAMI,33132,MIAMI-DADE,220606
2025,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY (SIRS) REPORTING,LOFT DOWNTOWN CONDO ASSN,MIAMI,33132,MIAMI-DADE,232982
2026,CONDOMINIUM,"VENETIA CONDO ASSOC., INC.","VENETIA CONDO ASSOC., INC.",MIAMI,33132,MIAMI-DADE,290380
2027,CONDOMINIUM,VIZCAYNE NORTH STRUCTURAL INTEGRITY RESERVE STUDY,VIZCAYNE NORTH CONDO ASSN INC,MIAMI,33132,MIAMI-DADE,215498
2028,CONDOMINIUM,"VIZCAYNE NORTH, A CONDO",VIZCAYNE NORTH,MIAMI,33132,MIAMI-DADE,237572
2029,CONDOMINIUM,VIZCAYNE SOUTH CA-NON-STRUCTURAL RESERVE STUDY,VIZCAYNE SOUTH CONDOMINIUM ASSOCIATION,MIAMI,33132,MIAMI-DADE,215645
2030,CONDOMINIUM,VIZCAYNE SOUTH CA-STRUCTURAL INTEGRITY RESERVE STUDY,VIZCAYNE SOUTH CONDOMINIUM ASSOCIATION,MIAMI,33132,MIAMI-DADE,215668
2031,CONDOMINIUM,VIZCAYNE SOUTH CA-STRUCTURAL INTEGRITY RESERVE STUDY,VIZCAYNE SOUTH CONDOMINIUM ASSOCIATION,MIAMI,33132,MIAMI-DADE,216121
2032,CONDOMINIUM,"VIZCAYNE SOUTH, A CONDO",VIZCAYNE SOUTH CONDO ASSN INC,MIAMI,33132,MIAMI-DADE,237575
2034,CONDOMINIUM,GROVENOR HOUSE CONDO,GROVENOR HOUSE CONDOMINIUM ASSOCIATION INC,COCONUT GROVE,33133,MIAMI-DADE,259705
2035,CONDOMINIUM,"VIRGINIA OAKS CONDOMINIUM ASSOCIATION, INC","VIRGINIA OAKS CONDOMINIUM ASSOCIATION, INC",COCONUT GROVE,33133,MIAMI-DADE,240333
2036,CONDOMINIUM,YACHT HARBOUR CONDOMINIUM,YACHT HARBOUR CONDOMINIUM,COCONUT GROVE,33133,MIAMI-DADE,237421
2038,CONDOMINIUM,"GABLES WATERWAY TOWERS, A CONDO",GABLES WATERWAY TOWERS,CORAL GABLES,33133,MIAMI-DADE,232033
2039,CONDOMINIUM,GROVE PALM LL,GROVE PALM LL CONDO,CORAL GABLES,33133,MIAMI-DADE,232626
2040,CONDOMINIUM,WATER'S EDGE ASSOCIATION INC,WATER'S EDGE ASSOCIATION INC.,CORAL GABLES,33133,MIAMI-DADE,289929
2041,CONDOMINIUM,"LILAC GARDENS CONDO, INC.","LILAC GARDENS CONDO, INC.",LAUDERDALE LAKES,33133,BROWARD,248501
2042,CONDOMINIUM,1060 BRICKELL CONDOMINIUM,1060 BRICKELL CONDOMINIUM,MIAMI,33133,MIAMI-DADE,289470
2043,CONDOMINIUM,1600 SOUTH BAYSHORE LANE INC,1600 SOUTH BAYSHORE LANE INC,MIAMI,33133,MIAMI-DADE,309547
2044,CONDOMINIUM,"BEACON HARBOUR, A CONDO",BEACON HARBOUR CONDOMINIUM ASSOCIATION INC,MIAMI,33133,MIAMI-DADE,231345
2045,CONDOMINIUM,CLOISTERS ON THE BAY,"CLOISTERS ON THE BAY CONDOMINIUM ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,232141
2046,CONDOMINIUM,COCO IBIZA VILLAS CONDO,"COCO IBIZA VILLAS CONDOMINIUM ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,239326
2047,CONDOMINIUM,"COCONUT GROVE BAYSHORE CONDO ASSN, INC.","COCONUT GROVE BAYSHORE CONDO ASSN, INC.",MIAMI,33133,MIAMI-DADE,251117
2048,CONDOMINIUM,DA VINCI ON DOUGLAS CONDO ASSOC,DA VINCI ON DOUGLAS CONDO ASSOC,MIAMI,33133,MIAMI-DADE,223685
2049,CONDOMINIUM,DOUGLAS PLACE CONDO,"DOUGLAS PLACE RESIDENTIAL CONDOMINIUM ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,239393
2050,CONDOMINIUM,GROVE AT GRAND BAY CONDOMINIUM,GROVE AT GRAND BAY CONDOMINIUM ASSOCIATION INC.,MIAMI,33133,MIAMI-DADE,245261
2052,CONDOMINIUM,"GROVE SQUARE CONDOMINIUM ASSOCIATION, INC.","GROVE SQUARE CONDOMINIUM, INC.",MIAMI,33133,MIAMI-DADE,268984
2053,CONDOMINIUM,"GROVE SQUARE CONDOMINIUM ASSOCIATION, INC.","GROVE SQUARE CONDOMINIUM, INC.",MIAMI,33133,MIAMI-DADE,269000
2054,CONDOMINIUM,GROVE TOWERS CONDOMINIUM ASSOCIATION,"GROVE TOWERS CONDOMINIUM ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,287283
2055,CONDOMINIUM,GROVE VIEW CONDO,GROVE VIEW CONDOMINIUM ASSOCIATION INC.,MIAMI,33133,MIAMI-DADE,239297
2056,CONDOMINIUM,"GROVELOFT CONDOMINIUM ASSOCIATION, INC","GROVELOFT CONDOMINIUM ASSOCIATION, INC",MIAMI,33133,MIAMI-DADE,248502
2057,CONDOMINIUM,"GROVELOFT CONDOMINIUM ASSOCIATION, INC.","GROVELOFT CONDOMINIUM ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,250409
2058,CONDOMINIUM,HARBOUR HILL CLUB CONDOMINIUM,"HARBOUR HILL CLUB CONDOMINIUM, INC.",MIAMI,33133,MIAMI-DADE,248371
2059,CONDOMINIUM,"HARBOUR HILL CLUB CONDOMINIUM, INC.","HARBOUR HILL CLUB CONDOMINIUM, INC.",MIAMI,33133,MIAMI-DADE,250398
2060,CONDOMINIUM,MARBELLA BY THE GROVE CONDO,"MARBELLA BY THE GROVE CONDOMINIUM ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,289005
2061,CONDOMINIUM,MEDITERRANEO IN THE GROVE CONDOS,"MEDITERRANEO IN THE GROVE CONDO ASSN, INC",MIAMI,33133,MIAMI-DADE,240871
2063,CONDOMINIUM,MR. C RESIDENCES - COCONUT GROVE,"2655 SOUTH BAYSHORE CONDOMINIUM ASSOCIATION,INC",MIAMI,33133,MIAMI-DADE,239842
2064,CONDOMINIUM,MR. C RESIDENCES - COCONUT GROVE,"2655 SOUTH BAYSHORE MASTER ASSOCIATION, INC.",MIAMI,33133,MIAMI-DADE,252916
2065,CONDOMINIUM,MR. C RESIDENCES COCONUT GROVE,"2655 SOUTH BAYSHORE MASTER ASSOCIATION,INC",MIAMI,33133,MIAMI-DADE,239855
2066,CONDOMINIUM,MR. C RESIDENCES COCONUT GROVE,"2678 TIGERTAIL CONDOMINIUM ASSOCIATION,INC",MIAMI,33133,MIAMI-DADE,239848
2067,CONDOMINIUM,ONE PARK GROVE CONDOMINIUM ASSOCIATION,ONE PARK GROVE,MIAMI,33133,MIAMI-DADE,235680
2068,CONDOMINIUM,PELICAN REEF CONDO,PELICAN REEF CONDOMINIUM ASSOCIATION INC.,MIAMI,33133,MIAMI-DADE,294120
2069,CONDOMINIUM,PELICAN REEF WEST A CONDO,PELICAN REEF WEST A CONDO,MIAMI,33133,MIAMI-DADE,295770
2070,CONDOMINIUM,SCHOONER PORT CONDOMINIUM,SCHOONER PORT CONDOMINIUM ASSOC. INC.,MIAMI,33133,MIAMI-DADE,232495
2071,CONDOMINIUM,SOUTH TWO SEVEN LOFTS CONDOMINIUM ASSOCIATION,"SOUTH TWO SEVEN LOFTS CONDO ASSOC, INC",MIAMI,33133,MIAMI-DADE,233499
2072,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY AND  FULL RESERVE STUDY,VILLAGGIO IN THE GROVE TOWER RESIDENCES,MIAMI,33133,MIAMI-DADE,305474
2073,CONDOMINIUM,THE FAIRCHILD CONDOMINIUM ASSOCIATION INC,THE FAIRCHILD CONDOMINIUM ASSOCIATION INC,MIAMI,33133,MIAMI-DADE,249609
2074,CONDOMINIUM,THE TOWER RESIDENCES CA OF COCONUT GROVE INC.,THE TOWER RESIDENCES CONDO ASSN OF COCONUT GROVE INC.,MIAMI,33133,MIAMI-DADE,237986
2075,CONDOMINIUM,"TIGERTAIL BAY CONDOMINIUM ASSOCIATION, INC.","TIGERTAIL BAY CONDOMINIUM ASSOCIATION, INC",MIAMI,33133,MIAMI-DADE,250347
2076,CONDOMINIUM,TWO PARK GROVE CONDOMINIUM ASSOCIATION,TWO PARK GROVE CONDOMINIUM ASSOCIATION,MIAMI,33133,MIAMI-DADE,239544
2077,CONDOMINIUM,TWO PARK GROVE CONDOMINIUM ASSOCIATION INC,TWO PARK GROVE CONDOMINIUM ASSOCIATION INC,MIAMI,33133,MIAMI-DADE,235672
2078,CONDOMINIUM,CLUB RESIDENCES AT PARK GROVE CONDO,"CLUB RESIDENCES AT PARK GROVE CONDOMINIUM ASSOCIATION, INC.","MIAMI, FL",33133,MIAMI-DADE,239550
2079,CONDOMINIUM,55 MERRICK CONDOMINIUM,55 MERRICK CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,255671
2080,CONDOMINIUM,514 SANTANDER CONDOMINIUM ASSOCIATION,514 SANTANDER CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,301498
2081,CONDOMINIUM,1300 PONCE CONDOMINIUM,1300 PONCE CONDOMINIUM,CORAL GABLES,33134,MIAMI-DADE,256004
2082,CONDOMINIUM,BILTMORE COURT VILLAS CONDOMINIUM,BILTMORE COURT VILLAS CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,248901
2083,CONDOMINIUM,BILTMORE II,BILTMORE II,CORAL GABLES,33134,MIAMI-DADE,231979
2084,CONDOMINIUM,"BILTMORE PARC, A CONDO",BILTMORE PARC CONDOMINIUM,CORAL GABLES,33134,MIAMI-DADE,240582
2085,CONDOMINIUM,BILTMORE PEACOCK,BILTMORE PEACOCK,CORAL GABLES,33134,MIAMI-DADE,262081
2086,CONDOMINIUM,BILTMORE VILLAGE CONDO MERRICK,BILTMORE VILLAGE CONDO MERRICK,CORAL GABLES,33134,MIAMI-DADE,261470
2087,CONDOMINIUM,CONDOMINIUM PROJECT,CORAL GABLES TOWER,CORAL GABLES,33134,MIAMI-DADE,232591
2088,CONDOMINIUM,DAVID WILLIAM HOTEL CONDO,DAVID WILLIAM HOTEL CONDOMINIUM,CORAL GABLES,33134,MIAMI-DADE,286816
2089,CONDOMINIUM,DOUGLAS GRAND CONDOMINIUM ASSOCIATION,DOUGLAS GRAND CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,239499
2090,CONDOMINIUM,DOUGLAS GRAND CONDOMINIUM ASSOCIATION,DOUGLAS GRAND CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,248782
2091,CONDOMINIUM,FONTAINVIEW CLUB #2 CONDO,FONTAINVIEW CLUB #2,CORAL GABLES,33134,MIAMI-DADE,278400
2092,CONDOMINIUM,"FOUNTAINVIEW CLUB NO. ONE, A CONDO",FOUNTAINVIEW CLUB NO ONE CONDO ASSN INC,CORAL GABLES,33134,MIAMI-DADE,205392
2093,CONDOMINIUM,GABLES HARBOUR CONDO APTS,GABLES HARBOUR CONDO APTS,CORAL GABLES,33134,MIAMI-DADE,281303
2094,CONDOMINIUM,"GABLES LAROC CONDO ASSOC, INC","GABLES LAROC CONDO ASSOC, INC",CORAL GABLES,33134,MIAMI-DADE,258651
2095,CONDOMINIUM,GABLES LAROC CONDO ASSOC.,GABLES LAROC CONDO ASSOC.,CORAL GABLES,33134,MIAMI-DADE,260129
2096,CONDOMINIUM,GABLES ON THE GREEN CONDO EAST,"GABLES ON THE GREEN CONDO EAST ASSOC., INC.",CORAL GABLES,33134,MIAMI-DADE,201113
2097,CONDOMINIUM,GABLES ON THE GREEN CONDO WEST,"GABLES ON THE GREEN CONDO WEST ASSOC., INC.",CORAL GABLES,33134,MIAMI-DADE,201123
2098,CONDOMINIUM,GABLES PARK TOWER CONDO,GABLES PARK TOWER CONDO,CORAL GABLES,33134,MIAMI-DADE,236212
2099,CONDOMINIUM,"GABLES PARK TOWER, A CONDOMINIUM","ALMERIA PARK CONDOMINIUM ASSOCIATION, INC.",CORAL GABLES,33134,MIAMI-DADE,236309
2100,CONDOMINIUM,"GABLES PARK TOWER, A CONDOMINIUM","ALMERIA PARK CONDOMINIUM ASSOCIATION, INC.",CORAL GABLES,33134,MIAMI-DADE,236347
2101,CONDOMINIUM,GALLERY PLAZA CONDO,"THE GALLERY PLAZA CONDOMINIUM ASSOCIATION, INC",CORAL GABLES,33134,MIAMI-DADE,239333
2102,CONDOMINIUM,IONIAN PLAZA CONDO,IONIAN PLAZA CONDO INC,CORAL GABLES,33134,MIAMI-DADE,205382
2103,CONDOMINIUM,"LA HACIENDA IN THE GABLES CONDOMINIUM ASSOCIATION, INC.","LA HACIENDA IN THE GABLES CONDOMINIUM ASSOCIATION, INC.",CORAL GABLES,33134,MIAMI-DADE,234765
2104,CONDOMINIUM,PUERTA DE PALMAS,PUERTA DE PALMAS,CORAL GABLES,33134,MIAMI-DADE,244087
2105,CONDOMINIUM,QUINARY CLUB APTS.,QUINARY CLUB APTS.,CORAL GABLES,33134,MIAMI-DADE,278408
2106,CONDOMINIUM,SIRS,MADEIRA VILLAGE CONDO ASSOC. INC,CORAL GABLES,33134,MIAMI-DADE,265994
2107,CONDOMINIUM,SIRS STRUCTUAL INTEGRITY RESERVE STUDY 2025 - 515 VALENCIA,515 VALENCIA CONDOMINIUM,CORAL GABLES,33134,MIAMI-DADE,233898
2108,CONDOMINIUM,TEN ARAGON,TEN ARAGON,CORAL GABLES,33134,MIAMI-DADE,234502
2109,CONDOMINIUM,THE MINORCA CONDOMINIUM ASSOCITION,THE MINORCA CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,230752
2110,CONDOMINIUM,THE MINORCA CONDOMINIUM ASSOCITION,THE MINORCA CONDOMINIUM ASSOCITION,CORAL GABLES,33134,MIAMI-DADE,230746
2111,CONDOMINIUM,THE NEW FRENCH VILLAGE CONDOMINIUM ASSOCIATION,THE NEW FRENCH VILLAGE CONDOMINIUM ASSOCIATION,CORAL GABLES,33134,MIAMI-DADE,260787
2112,CONDOMINIUM,"VALENCIA GRANDE CONDOMINIUM ASSOCIATION, INC.","VALENCIA GRANDE CONDOMINIUM ASSOCIATION, INC.",CORAL GABLES,33134,MIAMI-DADE,236147
2113,CONDOMINIUM,"VENETIAN VILLAS OF CORAL GABLES, A CONDO",VENETIAN VILLAS CONDO ASSN INC,CORAL GABLES,33134,MIAMI-DADE,205398
2114,CONDOMINIUM,"VILLA ALHAMBRA OF CORAL GABLES CONDOMINIUM ASSOCIATION, INC.","VILLA ALHAMBRA OF CORAL GABLES CONDOMINIUM ASSOCIATION, INC.",CORAL GABLES,33134,MIAMI-DADE,236154
2115,CONDOMINIUM,VILLA TOSCANA AT CORAL GABLES INC,"VILLA TOSCANA AT CORAL GABLES, INC.",CORAL GABLES,33134,MIAMI-DADE,239276
2116,CONDOMINIUM,VILLAGE PARK CONDO,VILLAGE PARK CONDO,CORAL GABLES,33134,MIAMI-DADE,220052
2117,CONDOMINIUM,GARDEN VISTA CONDO,"GARDEN VISTA CONDOMINIUM ASSOCIATION, INC.",MIAMI,33134,MIAMI-DADE,291590
2118,CONDOMINIUM,LEJEUNE PLAZA CONDO,LEJEUNE PLAZA CONDOMINIUM ASSOCIATION INC.,MIAMI,33134,MIAMI-DADE,294370
2119,CONDOMINIUM,"MARILYN'S CONDOMINIUM ASSOCIATION, INC.","MARILYN'S CONDOMINIUM ASSOCIATION, INC.",MIAMI,33134,MIAMI-DADE,291290
2120,CONDOMINIUM,THE RESIDENCES AT THE BATH CLUB,THE RESIDENCES AT THE BATH CLUB CONDOMINIUM,MIAMI BEACH,33134,MIAMI-DADE,208470
2121,CONDOMINIUM,DOUGLAS TOWER CONDOMINIUM INC,DOUGLAS TOWER CONDOMINIUM INC,MIAMI,33135,MIAMI-DADE,235328
2122,CONDOMINIUM,"DOUGLAS TOWER CONDOMINIUM, INC.","DOUGLAS TOWER CONDOMINIUM, INC.",MIAMI,33135,MIAMI-DADE,235749
2123,CONDOMINIUM,LLEONART BUILDING CONDOMINIUM,LLEONART BUILDING CONDOMINIUM,MIAMI,33135,MIAMI-DADE,277762
2126,CONDOMINIUM,ARAGON PLAZA CONDOMINIUM ASSOCIATION,ARAGON PLAZA CONDOMINIUM ASSOCIATION,MIAMI,33136,MIAMI-DADE,303868
2127,CONDOMINIUM,,"JUBILEE VILLAS CONDOMINIUM ASSOCIATION, INC.",MIAMI,33136,MIAMI-DADE,286459
2128,CONDOMINIUM,"POINCIANA VILLAGE CONDO ASSOC., THE","POINCIANA VILLAGE CONDO ASSOC., THE",MIAMI,33136,MIAMI-DADE,295306
2129,CONDOMINIUM,RESIDENCES AT RIVERWALK CONDO ASSOCIATION,RESIDENCES AT RIVERWALK CONDO ASSOCIATION,MIAMI,33136,MIAMI-DADE,238768
2130,CONDOMINIUM,"RIVERVIEW LANDINGS CONDOMINIUM ASSOCIATION, INC.","RIVERVIEW LANDINGS CONDOMINIUM ASSOCIATION, INC.",MIAMI,33136,MIAMI-DADE,314342
2131,CONDOMINIUM,SEYBOLD POINTE CONDO ASSN INC,"SEYBOLD POINTE CONDOMINIUM ASSOCIATION, INC.",MIAMI,33136,MIAMI-DADE,248265
2132,CONDOMINIUM,SIRS COMPLIANCE (RVL),"RIVERVIEW LANDINGS CONDOMINIUM ASSOCIATION, INC.",MIAMI,33136,MIAMI-DADE,275133
2133,CONDOMINIUM,THE MADISON DOWNTOWN CONDOMINIUM,THE MADISON DOWNTOWN CONDOMINIUM,MIAMI,33136,MIAMI-DADE,251548
2134,CONDOMINIUM,"700 EDGEWATER CONDOMINIUM ASSOCIATION, INC.","700 EDGEWATER CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,286724
2135,CONDOMINIUM,"4250 BISCAYNE BOULEVARD, C.A.","4250 BISCAYNE BOULEVARD, C.A. INC.",MIAMI,33137,MIAMI-DADE,287396
2136,CONDOMINIUM,BAYLOFTS CONDOMINIUM,BAYLOFTS CONDOMINIUM ASSOCIATION INC,MIAMI,33137,MIAMI-DADE,240617
2137,CONDOMINIUM,"BISCAYNE BEACH MIAMI CONDOMINIUM ASSOCIATION, INC.","BISCAYNE BEACH MIAMI CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,232299
2138,CONDOMINIUM,"BLUE CONDOMINIUM ASSOCIATION, INC.","BLUE CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,222256
2139,CONDOMINIUM,CONDOMINIUM PROJECT,23 BISCAYNE BAY CONDO,MIAMI,33137,MIAMI-DADE,236985
2140,CONDOMINIUM,ELYSEE CONDO,"THE ELYSEE CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,245282
2141,CONDOMINIUM,ELYSEE CONDO,"THE ELYSEE CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,245412
2142,CONDOMINIUM,FOUR MIDTOWN MIAMI CONDOMINIUM,FOUR MIDTOWN MIAMI CONDO,MIAMI,33137,MIAMI-DADE,284875
2143,CONDOMINIUM,"GRAN PARAISO CONDOMINIUM ASSOCIATION, INC.","GRAN PARAISO CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,307818
2144,CONDOMINIUM,ICONBAY CONDO,ICONBAY CONDO,MIAMI,33137,MIAMI-DADE,229756
2145,CONDOMINIUM,LA PIAZZA CONDOMINIUM,LA PIAZZA CONDOMINIUM,MIAMI,33137,MIAMI-DADE,286419
2146,CONDOMINIUM,MIDBLOCK MIAMI CONDO,MIDBLOCK MIAMI CONDOMINIUM INC.,MIAMI,33137,MIAMI-DADE,247656
2148,CONDOMINIUM,ONE PARAISO CONDO ASSN INC,"ONE PARAISO CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,245741
2149,CONDOMINIUM,"ONE PARAISO CONDOMINIUM ASSOCIATION, INC.","ONE PARAISO, A CONDO",MIAMI,33137,MIAMI-DADE,245993
2150,CONDOMINIUM,ONYX ON THE BAY CONDOMINIUM,ONYX ON THE BAY CONDOMINIUM,MIAMI,33137,MIAMI-DADE,229864
2151,CONDOMINIUM,"PARAISO BAY CONDOMINIUM ASSOCIATION, INC.","PARAISO BAY CONDOMINIUM ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,219663
2152,CONDOMINIUM,PARAISO BAYVIEWS,PARAISO BAYVIEWS CONDOMINIUM,MIAMI,33137,MIAMI-DADE,209518
2153,CONDOMINIUM,"PARAMOUNT BAY CONDOMINIUM OWNERS ASSOCIATION, INC.","PARAMOUNT BAY CONDOMINIUM OWNERS ASSOCIATION, INC.",MIAMI,33137,MIAMI-DADE,270157
2154,CONDOMINIUM,PLATINUM CONDO,THE PLATINUM CONDOMINIUM ASSOCIATION INC.,MIAMI,33137,MIAMI-DADE,245425
2155,CONDOMINIUM,"QUADRO CONDOMINIUM ASSOCIATION, INC","QUADRO CONDOMINIUM ASSOCIATION, INC",MIAMI,33137,MIAMI-DADE,287144
2156,CONDOMINIUM,RIVIERA TOWER A CONDOMINIUM,RIVIERA TOWER A CONDOMINUM,MIAMI,33137,MIAMI-DADE,237671
2157,CONDOMINIUM,THE CRIMSON CONDOMINIUM,THE CRIMSON CONDOMINIUM ASSOCIATION,MIAMI,33137,MIAMI-DADE,245228
2158,CONDOMINIUM,THE FLATS AT MORNINGSIDE CONDOMINIUM,"FLATS AT MORNINGSIDE, A CONDO",MIAMI,33137,MIAMI-DADE,286440
2159,CONDOMINIUM,TWO MIDTOWN MIAMI CONDOMINIUM,TWO MIDTOWN MIAMI CONDOMINIUM,MIAMI,33137,MIAMI-DADE,229898
2160,CONDOMINIUM,UPTOWN LOFTS CONDOMINIUM,"UPTOWN LOFTS CONDO ASSOC, INC",MIAMI,33137,MIAMI-DADE,222134
2161,CONDOMINIUM,"CHATEAU BISCAYNE, INC","CHATEAU BISCAYNE, INC",MIAMI,33138,MIAMI-DADE,240450
2162,CONDOMINIUM,NIRVANA CONDO NO. FIVE ASSOCIATION INC.,NIRVANA CONDO. NO. FIVE ASSOCIATION INC.,MIAMI,33138,MIAMI-DADE,224721
2163,CONDOMINIUM,NIRVANA CONDO NO. FOUR ASSOCIATION INC.,NIRVANA CONDO NO. FOUR ASSOCIATION INC.,MIAMI,33138,MIAMI-DADE,224577
2164,CONDOMINIUM,NIRVANA CONDO NO. THREE ASSOCIATION INC.,NIRVANA CONDO NO. THREE ASSOCIATION INC.,MIAMI,33138,MIAMI-DADE,224559
2165,CONDOMINIUM,NIRVANA CONDOMINIUM NO. TWO ASSOCIATION INC.,NIRVANA CONDOMINIUM NO. TWO ASSOCIATION INC.,MIAMI,33138,MIAMI-DADE,224542
