,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,year
881,Canarsie,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$1,700,000","$850,000","$850,000",2,2025
882,Canarsie,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$1,770,000","$885,000","$885,000",2,2025
885,Carnegie Hill,Manhattan,Q1 2025,Co-op,Commercial,"$2,800,000","$2,800,000","$2,800,000",1,2025
890,Carnegie Hill,Manhattan,Q1 2026,Condo,Commercial,"$304,380","$304,380","$304,380",1,2026
892,Carnegie Hill,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$18,700,000","$9,350,000","$9,350,000",2,2026
894,Carnegie Hill,Manhattan,Q2 2025,Co-op,Commercial,"$325,000","$325,000","$325,000",1,2025
897,Carnegie Hill,Manhattan,Q2 2025,Mixed-Use,Commercial,"$4,750,000","$4,750,000","$4,750,000",1,2025
901,Carnegie Hill,Manhattan,Q3 2025,Co-op,Commercial,"$437,000","$437,000","$437,000",1,2025
903,Carnegie Hill,Manhattan,Q3 2025,Condo,Commercial,"$930,000","$930,000","$930,000",1,2025
905,Carnegie Hill,Manhattan,Q3 2025,Mixed-Use,Commercial,"$4,868,000","$4,868,000","$4,868,000",1,2025
910,Carnegie Hill,Manhattan,Q4 2025,Co-op,Commercial,"$800,000","$800,000","$800,000",1,2025
916,Carroll Gardens,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$39,385,000","$4,200,000","$7,877,000",5,2025
920,Carroll Gardens,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$21,716,250","$3,995,000","$3,619,375",6,2026
923,Carroll Gardens,Brooklyn,Q2 2025,Co-op,Commercial,"$948,000","$474,000","$474,000",2,2025
926,Carroll Gardens,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$5,300,000","$2,650,000","$2,650,000",2,2025
927,Carroll Gardens,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$13,850,000","$4,050,000","$4,616,667",3,2025
934,Carroll Gardens,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$2,999,000","$2,999,000","$2,999,000",1,2025
935,Carroll Gardens,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$15,910,000","$1,900,000","$2,651,667",6,2025
939,Carroll Gardens,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$4,495,000","$4,495,000","$4,495,000",1,2024
940,Carroll Gardens,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$6,425,000","$3,212,500","$3,212,500",2,2024
944,Carroll Gardens,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$29,375,000","$4,200,000","$4,196,429",7,2025
947,Castle Hill,Bronx,Q1 2025,Multi-Family Dwelling,Commercial,"$1,345,000","$1,345,000","$1,345,000",1,2025
950,Castle Hill,Bronx,Q1 2026,Multi-Family Dwelling,Commercial,"$6,500,000","$3,250,000","$3,250,000",2,2026
952,Castle Hill,Bronx,Q1 2026,Single-Family Home,Commercial,"$280,000","$280,000","$280,000",1,2026
954,Castle Hill,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$5,250,000","$850,000","$1,750,000",3,2025
957,Castle Hill,Bronx,Q3 2025,Mixed-Use,Commercial,"$865,000","$865,000","$865,000",1,2025
960,Castle Hill,Bronx,Q4 2024,Multi-Family Dwelling,Commercial,"$1,220,000","$1,220,000","$1,220,000",1,2024
963,Castle Hill,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$20,631,614","$10,315,807","$10,315,807",2,2025
968,Castleton Corners,Staten Island,Q1 2026,Land,Commercial,"$550,000","$550,000","$550,000",1,2026
974,Castleton Corners,Staten Island,Q3 2025,Office,Commercial,"$905,000","$905,000","$905,000",1,2025
982,Central Harlem,Manhattan,Q1 2025,Multi-Family Dwelling,Commercial,"$1,744,625","$1,744,625","$1,744,625",1,2025
987,Central Harlem,Manhattan,Q1 2026,Mixed-Use,Commercial,"$2,051,000","$1,025,500","$1,025,500",2,2026
988,Central Harlem,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$4,487,250","$950,000","$1,121,813",4,2026
995,Central Harlem,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$8,665,000","$1,500,000","$1,733,000",5,2025
1000,Central Harlem,Manhattan,Q4 2024,Multi-Family Dwelling,Commercial,"$3,200,000","$1,600,000","$1,600,000",2,2024
1003,Central Harlem,Manhattan,Q4 2025,Multi-Family Dwelling,Commercial,"$5,214,019","$750,000","$1,042,804",5,2025
1005,Charleston,Staten Island,Q1 2025,Land,Commercial,"$3,750,000","$3,750,000","$3,750,000",1,2025
1010,Charleston,Staten Island,Q2 2025,Land,Commercial,"$2,225,000","$1,112,500","$1,112,500",2,2025
1017,Charleston,Staten Island,Q4 2025,Condo,Commercial,"$33,325,000","$33,325,000","$33,325,000",1,2025
1018,Charleston,Staten Island,Q4 2025,Land,Commercial,"$425,000","$425,000","$425,000",1,2025
1022,Chelsea,Manhattan,Q1 2025,Condo,Commercial,"$4,550,000","$800,000","$910,000",5,2025
1024,Chelsea,Manhattan,Q1 2025,Multi-Family Dwelling,Commercial,"$13,270,000","$4,810,000","$4,423,333",3,2025
1025,Chelsea,Manhattan,Q1 2025,Office,Commercial,"$79,300,000","$39,650,000","$39,650,000",2,2025
1026,Chelsea,Manhattan,Q1 2026,Co-op,Commercial,"$1,850,000","$1,850,000","$1,850,000",1,2026
1029,Chelsea,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$40,900,000","$7,575,000","$10,225,000",4,2026
1031,Chelsea,Manhattan,Q2 2024,Condo,Commercial,"$2,000,000","$2,000,000","$2,000,000",1,2024
1033,Chelsea,Manhattan,Q2 2025,Co-op,Commercial,"$699,000","$699,000","$699,000",1,2025
1035,Chelsea,Manhattan,Q2 2025,Condo,Commercial,"$105,896,188","$1,995,000","$21,179,238",5,2025
1037,Chelsea,Manhattan,Q2 2025,Multi-Family Dwelling,Commercial,"$6,300,000","$6,300,000","$6,300,000",1,2025
1041,Chelsea,Manhattan,Q3 2025,Co-op,Commercial,"$5,073,063","$2,536,532","$2,536,532",2,2025
1043,Chelsea,Manhattan,Q3 2025,Condo,Commercial,"$19,650,000","$3,800,000","$4,912,500",4,2025
1045,Chelsea,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$9,250,000","$9,250,000","$9,250,000",1,2025
1051,Chelsea,Manhattan,Q4 2025,Co-op,Commercial,"$1,600,000","$1,600,000","$1,600,000",1,2025
1053,Chelsea,Manhattan,Q4 2025,Condo,Commercial,"$8,343,000","$3,125,000","$2,781,000",3,2025
1055,Chelsea,Manhattan,Q4 2025,Multi-Family Dwelling,Commercial,"$22,900,000","$5,400,000","$7,633,333",3,2025
1057,Chelsea,Manhattan,Q4 2025,Retail,Commercial,"$5,556,000","$5,556,000","$5,556,000",1,2025
1059,Chinatown,Manhattan,Q1 2025,Condo,Commercial,"$1,300,000","$1,300,000","$1,300,000",1,2025
1061,Chinatown,Manhattan,Q1 2025,Mixed-Use,Commercial,"$4,800,000","$4,800,000","$4,800,000",1,2025
1063,Chinatown,Manhattan,Q1 2026,Office,Commercial,"$40,500,000","$40,500,000","$40,500,000",1,2026
1065,Chinatown,Manhattan,Q2 2025,Multi-Family Dwelling,Commercial,"$11,000,000","$5,500,000","$5,500,000",2,2025
1066,Chinatown,Manhattan,Q3 2025,Condo,Commercial,"$570,000","$570,000","$570,000",1,2025
1068,Chinatown,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$2,250,000","$2,250,000","$2,250,000",1,2025
1071,City Island,Bronx,Q1 2025,Single-Family Home,Commercial,"$625,000","$625,000","$625,000",1,2025
1075,City Island,Bronx,Q1 2026,Mixed-Use,Commercial,"$465,000","$465,000","$465,000",1,2026
1076,City Island,Bronx,Q1 2026,Multi-Family Dwelling,Commercial,"$1,025,000","$1,025,000","$1,025,000",1,2026
1086,City Island,Bronx,Q3 2025,Single-Family Home,Commercial,"$799,000","$799,000","$799,000",1,2025
1091,City Island,Bronx,Q4 2025,Mixed-Use,Commercial,"$860,000","$860,000","$860,000",1,2025
1092,City Island,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$1,100,000","$1,100,000","$1,100,000",1,2025
1104,Claremont,Bronx,Q1 2025,Mixed-Use,Commercial,"$1,800,000","$1,800,000","$1,800,000",1,2025
1108,Claremont,Bronx,Q3 2025,Mixed-Use,Commercial,"$1,300,000","$1,300,000","$1,300,000",1,2025
1112,Clearview,Queens,Q1 2025,Mixed-Use,Commercial,"$850,000","$850,000","$850,000",1,2025
1116,Clearview,Queens,Q1 2026,Mixed-Use,Commercial,"$2,748,000","$1,374,000","$1,374,000",2,2026
1126,Clearview,Queens,Q4 2024,Single-Family Home,Commercial,"$1,300,000","$1,300,000","$1,300,000",1,2024
1133,Clifton,Staten Island,Q1 2026,Multi-Family Dwelling,Commercial,"$1,100,000","$550,000","$550,000",2,2026
1143,Clifton,Staten Island,Q4 2025,Multi-Family Dwelling,Commercial,"$2,150,000","$1,075,000","$1,075,000",2,2025
1148,Clinton Hill,Brooklyn,Q1 2025,Industrial,Commercial,"$7,700,000","$7,700,000","$7,700,000",1,2025
1149,Clinton Hill,Brooklyn,Q1 2025,Land,Commercial,"$9,000,000","$9,000,000","$9,000,000",1,2025
1150,Clinton Hill,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$21,197,000","$3,267,000","$3,028,143",7,2025
1155,Clinton Hill,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$3,080,000","$1,540,000","$1,540,000",2,2026
1156,Clinton Hill,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$6,870,795","$1,600,000","$1,717,699",4,2026
1161,Clinton Hill,Brooklyn,Q2 2025,Condo,Commercial,"$605,000","$605,000","$605,000",1,2025
1163,Clinton Hill,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$7,515,000","$3,757,500","$3,757,500",2,2025
1164,Clinton Hill,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$6,512,911","$2,100,000","$2,170,970",3,2025
1170,Clinton Hill,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$4,575,000","$2,287,500","$2,287,500",2,2025
1171,Clinton Hill,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$39,755,000","$3,400,000","$3,975,500",10,2025
1177,Clinton Hill,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$3,500,000","$3,500,000","$3,500,000",1,2024
1181,Clinton Hill,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$6,050,000","$3,025,000","$3,025,000",2,2025
1182,Clinton Hill,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$16,100,000","$3,000,000","$3,220,000",5,2025
1192,Cobble Hill,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$23,050,000","$3,200,000","$4,610,000",5,2025
1196,Cobble Hill,Brooklyn,Q1 2026,Condo,Commercial,"$445,440","$445,440","$445,440",1,2026
1198,Cobble Hill,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$15,250,000","$5,100,000","$5,083,333",3,2026
1204,Cobble Hill,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$8,150,000","$4,075,000","$4,075,000",2,2025
1205,Cobble Hill,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$5,000,000","$5,000,000","$5,000,000",1,2025
1209,Cobble Hill,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$6,900,000","$6,900,000","$6,900,000",1,2025
1213,Cobble Hill,Brooklyn,Q4 2025,Condo,Commercial,"$2,118,000","$2,118,000","$2,118,000",1,2025
1215,Cobble Hill,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$19,620,000","$6,850,000","$6,540,000",3,2025
1218,College Point,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$2,595,000","$1,297,500","$1,297,500",2,2025
1222,College Point,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$950,000","$950,000","$950,000",1,2026
1226,College Point,Queens,Q2 2025,Mixed-Use,Commercial,"$2,970,000","$1,485,000","$1,485,000",2,2025
1230,College Point,Queens,Q3 2025,Industrial,Commercial,"$4,118,000","$4,118,000","$4,118,000",1,2025
1231,College Point,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$1,279,750","$639,875","$639,875",2,2025
1234,College Point,Queens,Q4 2024,Condo,Commercial,"$605,000","$605,000","$605,000",1,2024
1239,College Point,Queens,Q4 2025,Mixed-Use,Commercial,"$2,380,000","$1,190,000","$1,190,000",2,2025
1240,College Point,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$2,150,000","$1,075,000","$1,075,000",2,2025
1245,Columbia Waterfront,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$952,981","$952,981","$952,981",1,2025
1246,Columbia Waterfront,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$2,250,000","$2,250,000","$2,250,000",1,2025
1249,Columbia Waterfront,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$2,925,000","$2,925,000","$2,925,000",1,2026
1250,Columbia Waterfront,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$2,500,000","$2,500,000","$2,500,000",1,2026
1254,Columbia Waterfront,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$1,600,000","$1,600,000","$1,600,000",1,2025
1259,Columbia Waterfront,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$2,750,000","$2,750,000","$2,750,000",1,2025
1263,Columbia Waterfront,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$3,975,000","$1,987,500","$1,987,500",2,2025
1265,Concourse,Bronx,Q1 2025,Mixed-Use,Commercial,"$1,824,999","$912,500","$912,500",2,2025
1266,Concourse,Bronx,Q1 2025,Multi-Family Dwelling,Commercial,"$6,520,000","$1,270,000","$2,173,333",3,2025
1269,Concourse,Bronx,Q1 2026,Multi-Family Dwelling,Commercial,"$2,600,000","$1,300,000","$1,300,000",2,2026
1274,Concourse,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$3,200,000","$3,200,000","$3,200,000",1,2025
1276,Concourse,Bronx,Q3 2025,Office,Commercial,"$44,000,000","$44,000,000","$44,000,000",1,2025
1278,Concourse,Bronx,Q4 2024,Multi-Family Dwelling,Commercial,"$16,521,752","$1,973,688","$2,065,219",8,2024
1281,Concourse,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$6,175,000","$1,111,500","$1,235,000",5,2025
1286,Coney Island,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$1,100,000","$1,100,000","$1,100,000",1,2025
1294,Coney Island,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$1,243,150","$621,575","$621,575",2,2025
1295,Coney Island,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$990,000","$990,000","$990,000",1,2025
1301,Coney Island,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$700,000","$700,000","$700,000",1,2024
1305,Coney Island,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$1,225,000","$1,225,000","$1,225,000",1,2025
1306,Coney Island,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$500,000","$500,000","$500,000",1,2025
1311,Corona,Queens,Q1 2025,Mixed-Use,Commercial,"$3,150,000","$900,000","$1,050,000",3,2025
1312,Corona,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$6,475,325","$2,375,325","$2,158,442",3,2025
1317,Corona,Queens,Q1 2026,Mixed-Use,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2026
1318,Corona,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$3,075,000","$1,537,500","$1,537,500",2,2026
1323,Corona,Queens,Q2 2025,Mixed-Use,Commercial,"$1,600,000","$1,600,000","$1,600,000",1,2025
1324,Corona,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$4,165,000","$835,000","$1,041,250",4,2025
1329,Corona,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$3,006,000","$950,000","$1,002,000",3,2025
1333,Corona,Queens,Q4 2024,Condo,Commercial,"$628,453","$628,453","$628,453",1,2024
1337,Corona,Queens,Q4 2025,Condo,Commercial,"$14,431,212","$14,431,212","$14,431,212",1,2025
1339,Corona,Queens,Q4 2025,Mixed-Use,Commercial,"$2,450,000","$1,225,000","$1,225,000",2,2025
1340,Corona,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$5,805,000","$1,775,000","$1,935,000",3,2025
1349,Country Club,Bronx,Q1 2026,Single-Family Home,Commercial,"$585,000","$585,000","$585,000",1,2026
1352,Country Club,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2025
1360,Country Club,Bronx,Q4 2024,Multi-Family Dwelling,Commercial,"$838,000","$838,000","$838,000",1,2024
1363,Country Club,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$500,000","$500,000","$500,000",1,2025
1365,Country Club,Bronx,Q4 2025,Single-Family Home,Commercial,"$695,000","$695,000","$695,000",1,2025
1368,Crotona Park East,Bronx,Q1 2025,Multi-Family Dwelling,Commercial,"$1,665,000","$1,665,000","$1,665,000",1,2025
1371,Crotona Park East,Bronx,Q1 2026,Condo,Commercial,"$275,000","$275,000","$275,000",1,2026
1373,Crotona Park East,Bronx,Q1 2026,Multi-Family Dwelling,Commercial,"$2,500,000","$2,500,000","$2,500,000",1,2026
1378,Crotona Park East,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$1,325,000","$1,325,000","$1,325,000",1,2025
1387,Crown Heights,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$8,543,500","$1,400,000","$1,708,700",5,2025
1388,Crown Heights,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$11,375,000","$975,000","$1,625,000",7,2025
1391,Crown Heights,Brooklyn,Q1 2026,Co-op,Commercial,"$6,639,755","$6,639,755","$6,639,755",1,2026
1394,Crown Heights,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$6,547,500","$1,010,000","$1,636,875",4,2026
1395,Crown Heights,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$17,451,334","$1,133,275","$1,342,410",13,2026
1399,Crown Heights,Brooklyn,Q2 2025,Condo,Commercial,"$950,000","$950,000","$950,000",1,2025
1401,Crown Heights,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$7,175,000","$1,375,000","$1,435,000",5,2025
1402,Crown Heights,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$33,282,000","$1,835,000","$3,025,636",11,2025
1406,Crown Heights,Brooklyn,Q3 2025,Condo,Commercial,"$1,323,871","$1,323,871","$1,323,871",1,2025
1408,Crown Heights,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$11,997,225","$1,260,000","$1,499,653",8,2025
1409,Crown Heights,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$30,477,999","$1,815,000","$2,344,461",13,2025
1414,Crown Heights,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$1,535,000","$1,535,000","$1,535,000",1,2024
1415,Crown Heights,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$8,449,000","$2,025,000","$2,112,250",4,2024
1419,Crown Heights,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$9,262,001","$1,325,000","$1,323,143",7,2025
1420,Crown Heights,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$19,228,853","$1,118,000","$2,746,979",7,2025
1426,Ditmas Park,Brooklyn,Q1 2026,Co-op,Commercial,"$5,564,686","$2,782,343","$2,782,343",2,2026
1428,Ditmas Park,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$2,950,000","$1,475,000","$1,475,000",2,2026
1432,Ditmas Park,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$2,710,000","$1,355,000","$1,355,000",2,2025
1433,Ditmas Park,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$15,925,000","$1,800,000","$5,308,333",3,2025
1439,Ditmas Park,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$1,800,000","$1,800,000","$1,800,000",1,2025
1440,Ditmas Park,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$2,200,000","$2,200,000","$2,200,000",1,2025
1444,Ditmas Park,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$1,624,154","$1,624,154","$1,624,154",1,2024
1448,Ditmas Park,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$2,610,500","$465,125","$652,625",4,2025
1449,Ditmas Park,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$3,365,134","$970,067","$1,121,711",3,2025
1454,Dongan Hills,Staten Island,Q1 2025,Land,Commercial,"$560,000","$280,000","$280,000",2,2025
1458,Dongan Hills,Staten Island,Q1 2026,Multi-Family Dwelling,Commercial,"$865,000","$865,000","$865,000",1,2026
1462,Dongan Hills,Staten Island,Q2 2025,Mixed-Use,Commercial,"$1,500,000","$1,500,000","$1,500,000",1,2025
1463,Dongan Hills,Staten Island,Q2 2025,Multi-Family Dwelling,Commercial,"$1,525,000","$1,525,000","$1,525,000",1,2025
1466,Dongan Hills,Staten Island,Q3 2025,Land,Commercial,"$330,000","$330,000","$330,000",1,2025
1473,Dongan Hills,Staten Island,Q4 2025,Multi-Family Dwelling,Commercial,"$3,675,274","$1,837,637","$1,837,637",2,2025
1477,Douglaston,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$730,000","$730,000","$730,000",1,2025
1481,Douglaston,Queens,Q1 2026,Mixed-Use,Commercial,"$1,545,375","$1,545,375","$1,545,375",1,2026
1485,Douglaston,Queens,Q2 2025,Mixed-Use,Commercial,"$5,215,000","$1,715,000","$1,738,333",3,2025
1495,Douglaston,Queens,Q4 2025,Mixed-Use,Commercial,"$1,300,000","$1,300,000","$1,300,000",1,2025
1500,Downtown Brooklyn,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$14,000,000","$14,000,000","$14,000,000",1,2025
1504,Downtown Brooklyn,Brooklyn,Q2 2025,Condo,Commercial,"$5,442,000","$2,721,000","$2,721,000",2,2025
1511,Downtown Brooklyn,Brooklyn,Q4 2025,Condo,Commercial,"$1,910,000","$955,000","$955,000",2,2025
1513,Downtown Brooklyn,Brooklyn,Q4 2025,Office,Commercial,"$2,000,000","$2,000,000","$2,000,000",1,2025
1523,DUMBO,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$85,000,000","$85,000,000","$85,000,000",1,2025
1526,Dyker Heights,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$7,920,000","$1,650,000","$1,584,000",5,2025
1527,Dyker Heights,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$2,398,000","$2,398,000","$2,398,000",1,2025
1530,Dyker Heights,Brooklyn,Q1 2026,Co-op,Commercial,"$350,000","$350,000","$350,000",1,2026
1533,Dyker Heights,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$4,580,000","$2,290,000","$2,290,000",2,2026
1534,Dyker Heights,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$2,150,000","$2,150,000","$2,150,000",1,2026
1539,Dyker Heights,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$2,980,000","$1,490,000","$1,490,000",2,2025
1544,Dyker Heights,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$2,656,000","$1,328,000","$1,328,000",2,2025
1545,Dyker Heights,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$6,500,000","$1,150,000","$2,166,667",3,2025
1548,Dyker Heights,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$1,250,000","$1,250,000","$1,250,000",1,2024
1552,Dyker Heights,Brooklyn,Q4 2025,Condo,Commercial,"$730,000","$730,000","$730,000",1,2025
1554,Dyker Heights,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$9,079,900","$1,700,000","$1,815,980",5,2025
1555,Dyker Heights,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$4,223,000","$1,398,000","$1,407,667",3,2025
1558,East Elmont,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$1,400,000","$1,400,000","$1,400,000",1,2025
1564,East Elmont,Queens,Q2 2025,Land,Commercial,"$1,975,000","$1,975,000","$1,975,000",1,2025
1567,East Elmont,Queens,Q3 2025,Land,Commercial,"$280,000","$280,000","$280,000",1,2025
1570,East Elmont,Queens,Q4 2024,Mixed-Use,Commercial,"$1,150,000","$1,150,000","$1,150,000",1,2024
1573,East Elmont,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$950,000","$950,000","$950,000",1,2025
1578,East Flushing,Queens,Q1 2025,Mixed-Use,Commercial,"$2,110,000","$2,110,000","$2,110,000",1,2025
1579,East Flushing,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$3,078,750","$3,078,750","$3,078,750",1,2025
1584,East Flushing,Queens,Q1 2026,Mixed-Use,Commercial,"$1,580,000","$1,580,000","$1,580,000",1,2026
1585,East Flushing,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$4,250,000","$4,250,000","$4,250,000",1,2026
1591,East Flushing,Queens,Q2 2025,Mixed-Use,Commercial,"$4,830,000","$1,580,000","$1,610,000",3,2025
1592,East Flushing,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$8,500,000","$8,500,000","$8,500,000",1,2025
1606,East Flushing,Queens,Q4 2025,Mixed-Use,Commercial,"$1,750,000","$1,750,000","$1,750,000",1,2025
1612,East Harlem,Manhattan,Q1 2025,Land,Commercial,"$2,653,846","$1,326,923","$1,326,923",2,2025
1613,East Harlem,Manhattan,Q1 2025,Multi-Family Dwelling,Commercial,"$8,721,110","$1,636,000","$1,744,222",5,2025
1616,East Harlem,Manhattan,Q1 2026,Condo,Commercial,"$17,750,000","$17,750,000","$17,750,000",1,2026
1618,East Harlem,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$10,093,000","$1,800,000","$2,018,600",5,2026
1620,East Harlem,Manhattan,Q2 2025,Condo,Commercial,"$1,400,000","$1,400,000","$1,400,000",1,2025
1622,East Harlem,Manhattan,Q2 2025,Multi-Family Dwelling,Commercial,"$11,465,000","$2,425,000","$2,293,000",5,2025
1627,East Harlem,Manhattan,Q3 2025,Mixed-Use,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2025
1628,East Harlem,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$6,830,000","$1,330,000","$1,366,000",5,2025
1632,East Harlem,Manhattan,Q4 2024,Multi-Family Dwelling,Commercial,"$14,131,930","$1,640,000","$4,710,643",3,2024
1636,East Harlem,Manhattan,Q4 2025,Multi-Family Dwelling,Commercial,"$11,000,000","$1,500,000","$1,571,429",7,2025
1640,East New York,Brooklyn,Q1 2025,Industrial,Commercial,"$3,900,000","$3,900,000","$3,900,000",1,2025
1641,East New York,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$9,614,999","$1,135,000","$1,068,333",9,2025
1642,East New York,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$5,062,350","$1,100,000","$1,012,470",5,2025
1644,East New York,Brooklyn,Q1 2025,Single-Family Home,Commercial,"$775,000","$775,000","$775,000",1,2025
1647,East New York,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$2,474,999","$537,500","$618,750",4,2026
1648,East New York,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$8,801,688","$875,000","$880,169",10,2026
1653,East New York,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$8,805,000","$1,300,000","$1,257,857",7,2025
